material_id,pretty_formula
mp-1960,Li2O
mp-1222413,LiB3
mp-736,Li3P
mp-27275,Li3BO3
mp-1184905,K
mp-1001835,LiB
mp-1018134,Li
mp-557632,K2LiBO3
mp-971,K2O
mp-557753,K3PO4
mp-3919,KBO2
mp-28395,B6P
mp-28424,K4P3
mp-1346,B6O
mp-558628,KLi2BO3
mp-1076,KB6
mp-9664,K3BP2
mp-2315,NaB15
mp-784,KZn13
mp-262,Na3B20
mp-30975,Na3BO3
mp-2352,Na2O
mp-1186081,Na
mp-8263,KNa2BO3
mp-7664,Na6ZnO4
mp-28382,K4ZnO3
mp-615,YMg
mp-2652,Y2O3
mp-1187739,Y
mp-865376,YMg3
mp-1188082,YMg149
mp-1056702,Mg
mp-1265,MgO
mp-8409,KYO2
mp-769176,K5YO4
mp-12171,K6MgO4
mp-755802,K2MgO2
mp-1185628,Mg149Sb
mp-7089,KMgSb
mp-14017,K3Sb
mp-1220316,NbW
mp-3744,NaNbO2
mp-7375,KNbO3
mp-75,Nb
mp-91,W
mp-27247,Na3NbO4
mp-504840,K4WO5
mp-5477,Na5NbO5
mp-19334,Na4WO5
mp-3614,KTaO3
mp-50,Ta
mp-8957,Na5TaO5
mp-1087476,K2Mg5Sn3
mp-542374,KSn
mp-1185637,Mg149Sn
mp-8426,K2Se
mp-11534,Np
mp-1179656,Rb
mp-2197,BaHg
mp-11462,KHg
mp-8094,Ba2Hg
mp-122,Ba
mp-1079775,KCrO2
mp-90,Cr
mp-35,Mn
mp-1211715,K4CrO4
mp-540914,K3MnO3
mp-19148,K2Mn2O3
mp-28627,K4Br2O
mp-827,KN3
mp-23251,KBr
mp-49,Os
mp-28166,K3BrO
mp-682,NaF
mp-54,Co
mp-463,KF
mp-23193,KCl
mp-155,Gd
mp-123,Nd
mp-863707,KNa2Bi
mp-31286,K3Bi
mp-38,Pr
mp-22898,KI
mp-129,Mo
mp-72,Ti
mp-67,Sc
mp-14018,K3As
mp-34127,K2NaAs
mp-655,Na3As
mp-510430,Li13In3
mp-1138,LiF
mp-31324,Li2In
mp-21293,Li3In2
mp-582929,K8In11
mp-867226,Li3In
mp-18511,NdF3
mp-557798,K5Li2NdF10
mp-1211860,K2NdF5
mp-1211343,KNdF4
mp-12735,KAg2
mp-74,Rh
mp-568052,K2Ga3
mp-30354,ScAg4
mp-1018128,ScAg2
mp-11237,ScAg
mp-1206322,CeAg2
mp-567332,Ce
mp-30579,ErCu5
mp-30,Cu
mp-1024991,ErCu2
mp-1955,ErCu
mp-1184115,Er
mp-1140,NdCu5
mp-11852,NdCu2
mp-13392,NdCu
mp-1184151,Cs
mp-571222,CsBr
mp-134,Al
mp-2714,Pr2Au
mp-1079915,PrAu
mp-30415,PrAu2
mp-8700,K2Au3
mp-1217874,Tb14Ag51
mp-30358,TbAg2
mp-2268,TbAg
mp-11698,Tb
mp-1236,NdAg
mp-1072737,NdAg2
mp-1220721,Nd14Ag51
mp-101,Ir
mp-1200207,Cs8Ga11
mp-614603,CsI
mp-10658,Dy
mp-1223451,KCeF4
mp-1212012,K10Tl7
mp-28930,KC8
mp-3963,K2CO3
mp-14266,Cu15Si4
mp-1217,KSi
mp-21526,KPb
mp-21949,K4PbO3
mp-1971,HoCu
mp-464,HoSe
mp-10659,Ho
mp-30585,HoCu5
mp-30584,HoCu2
mp-2491,ErSe
mp-685008,Ba20As13
mp-1342,BaO
mp-8300,Ba4As2O
mp-1202778,K3Cd16
mp-1022,K2S
mp-37722,KBH4
mp-1105563,GdB4
mp-24092,GdH2
mp-24239,K(BH)6
mp-28366,Gd2B5
mp-24084,KH
mp-22266,GdB6
mp-768368,K4I2O
mp-1747,K2Te
mp-28171,K3IO
mp-24412,K2NaAlH6
mp-9212,NaAlO2
mp-27335,NaAlSi
mp-5525,KAlO2
mp-4533,Na2SiO3
mp-15379,K2SiO3
mp-7500,Na4SiO4
mp-13998,Na5AlO4
mp-556168,Na7Al3O8
mp-18700,K4SiO4
mp-30990,K6Si2O7
mp-626785,KHO
mp-31008,Na14Al4O13
mp-9157,K3AlO3
mp-13743,K3GaO3
mp-23,Ni
mp-9672,K2NiP2
mp-15417,K2GaP2
mp-11397,Ga3Ni2
mp-1212709,GaNi10P3
mp-2790,Ni12P5
mp-2296,Ni3P
mp-815,GaNi3
mp-11398,Ga3Ni5
mp-21589,Ga9Ni13
mp-1225049,K18Na46Tl31
mp-1185632,Mg149Se
mp-1185556,Mg149H
mp-23956,K2MgH4
mp-24428,KH2N
mp-554146,K14In4O13
mp-667326,K5InO4
mp-14988,K4SnO3
mp-7258,K4SnO4
mp-218,Sm2O3
mp-69,Sm
mp-1200960,K2Na2Sm4Nb2O13
mp-556438,KNaSmNbO5
mp-1178133,KSmO2
mp-754027,NaSmO2
mp-642644,V2H
mp-560869,K3VO4
mp-146,V
mp-8794,K4UO5
mp-674332,U17O31
mp-2489,UC
mp-44,U
mp-1597,UO2
mp-4126,KUO3
mp-2625,U2C3
mp-2486,UC2
mp-1269,SmS
mp-24658,SmH2
mp-5598,Sm2SO2
mp-15783,KSmS2
mp-1045,Nd2O3
mp-24096,NdH2
mp-3211,Nd2SO2
mp-1748,NdS
mp-1006885,KNdS2
mp-1190994,NdHO
mp-754158,KNdO2
mp-7400,NaAlGe
mp-1201758,KGe
mp-2970,Na4GeO4
mp-17015,K4GeO4
mp-862658,LiCu3
mp-1038,MgCu2
mp-2481,Mg2Cu
mp-1185641,Mg149V
mp-28273,K3CuO2
mp-753192,Yb4Sb2O
mp-1216,YbO
mp-972364,Yb
mp-201,Yb5Sb3
mp-1211821,K4MoO5
mp-7020,LiYO2
mp-1018122,Tm
mp-87,Be
mp-679,Er2O3
mp-7959,KErO2
mp-1202900,Al13Fe4
mp-2658,AlFe
mp-1183162,AlFe3
mp-13,Fe
mp-11283,ZrBe5
mp-131,Zr
mp-30445,ZrBe13
mp-2544,Zr2Be17
mp-504886,Gd2O3
mp-757021,KGdO2
mp-21332,LiGdO2
mp-1226185,K6InAs3
mp-1215377,Zr4O
mp-561418,Zr3O
mp-22447,Zr3P
mp-1718,ZrFe2
mp-18449,K2ZrO3
mp-540809,Zr2Fe12P7
mp-1211624,K4ZrO4
mp-11345,ZrP
mp-31205,Zr3Fe
mp-1206409,K(FeP)2
mp-27377,K4Zr5O12
mp-20892,ZrFeP
mp-647729,Zr14P9
