material_id,pretty_formula
mp-554098,Ti6O
mp-568151,Ti5Ge3
mp-1018134,Li
mp-72,Ti
mp-1960,Li2O
mp-1777,Li15Ge4
mp-981935,Li5Mg
mp-91,W
mp-29210,Li2Ga
mp-113,Tc
mp-1197547,Li15Pd4
mp-862658,LiCu3
mp-11644,Li2Ca
mp-1103570,Ca5Pt2
mp-867227,Li3Pt
mp-865875,Li3Ag
mp-29720,Li21Si5
mp-2474,YAg
mp-1187739,Y
mp-567395,Li15Au4
mp-103,Hf
mp-87,Be
mp-23251,KBr
mp-1184905,K
mp-38,Pr
mp-976280,LiBr
mp-129,Mo
mp-23222,Li3Bi
mp-1185319,LiCl
mp-1186081,Na
mp-23193,KCl
mp-50,Ta
mp-1138,LiF
mp-1179656,Rb
mp-22903,RbI
mp-123,Nd
mp-570935,LiI
mp-23295,RbCl
mp-1018122,Tm
mp-1934,LiZn
mp-736,Li3P
mp-1153,Li2S
mp-1021323,LiC12
mp-13,Fe
mp-2074,Li3Sb
mp-1915,Fe2B
mp-1080525,FeB
mp-8365,MnB
mp-20318,Mn2B
mp-35,Mn
mp-1001835,LiB
mp-284,AlCo
mp-54,Co
mp-1210753,Li2Al
mp-542830,Mn23C6
mp-90,Cr
mp-20937,Cr3C2
mp-1196316,Cr7C3
mp-723,Cr23C6
mp-23703,LiH
mp-1207777,Y3Pd
mp-1066136,YPd
mp-279,LiIr
mp-1199558,Sm5Ir3
mp-218,Sm2O3
mp-7342,Sm3Ir
mp-69,Sm
mp-1104500,Sm5Ir2
mp-1191159,LiPrSn
mp-573471,Li17Sn4
mp-1334,Y2C
mp-2114,YN
mp-9459,Y4C5
mp-1029592,Li3YN2
mp-2251,Li3N
mp-9610,Li2CN2
mp-1200885,Y4C7
mp-1200613,Y3C4
mp-37906,LiMgN
mp-5001,Li3BN2
mp-30228,Li4HN
mp-981,SrF2
mp-1187073,Sr
mp-146,V
mp-5840,LiScO2
mp-67,Sc
mp-504886,Gd2O3
mp-155,Gd
mp-21332,LiGdO2
mp-2286,Li2Se
mp-12684,LaAl
mp-2694,LaAl2
mp-2292,La2O3
mp-1206996,La3AlO
mp-26,La
mp-33,Ru
mp-19920,Ce3Ga
mp-567332,Ce
mp-1018276,CeGa
mp-903,ZrCr2
mp-1215377,Zr4O
mp-131,Zr
mp-16705,Pr2O3
mp-1189967,Pr3Os
mp-567339,PrOs2
mp-49,Os
mp-210,BaLi4
mp-10485,BaLiSb
mp-1056,Tb2O3
mp-11698,Tb
mp-7137,LiTbO2
mp-2652,Y2O3
mp-7020,LiYO2
mp-1187696,VCr3
mp-1187695,V3Cr
mp-1216394,VCr
mp-2530,Li2Te
mp-510430,Li13In3
