material_id,pretty_formula,FullWindow
mp-8,Re,True
mp-1103252,ZnPd2,True
mp-1652,ZnPd,True
mp-865357,Zn3Pd,True
mp-1215714,Zn2Pd,True
mp-1184905,K,True
mp-1179656,Rb,True
mp-1066254,YAu,True
mp-979911,Y2Au,True
mp-1187739,Y,True
mp-864675,Yb3N2,True
mp-972364,Yb,True
mp-864757,YbN2,True
mp-571261,Pu,True
mp-542573,ThB4,True
mp-37,Th,True
mp-1756,ThB6,True
mp-1199056,RbGe,True
mp-573471,Li17Sn4,True
mp-1018134,Li,True
mp-30767,Li7Sn2,True
mp-867200,Pm,True
mp-86,Sm,True
mp-20074,SrIn2,True
mp-705522,Sr28In11,True
mp-1187073,Sr,True
mp-608072,SrIn,True
mp-87,Be,True
mp-11807,LiPt,True
mp-2170,Li2Pt,True
mp-867227,Li3Pt,True
mp-49,Os,True
mp-30434,BaTl2,True
mp-21246,Ba2Pb,True
mp-20136,BaPb,True
mp-1185581,Mg149Cd,True
mp-30490,Mg3Cd,True
mp-1094909,Mg2Cd,True
mp-1188292,Y5Pb3,True
mp-1646,Li3Hg,True
mp-1184151,Cs,True
mp-21294,Y2In,True
mp-22704,YIn,True
mp-1105835,Y3In5,True
mp-571262,CaRh2,True
mp-74,Rh,True
mp-1214063,Ca5Rh,True
mp-132,Ca,True
mp-1185579,Mg149Hg,True
mp-11375,EuHg,True
mp-1057315,Eu,True
mp-867164,Pm3Sn,True
mp-10659,Ho,True
mp-10658,Dy,True
mp-90,Cr,True
mp-1079438,Ta2N,True
mp-50,Ta,True
mp-1279,TaN,True
mp-134,Al,True
mp-862690,Ac,True
mp-2541,SmTl,True
mp-319,Sm2Tl,True
mp-570469,Pr5Tl3,True
mp-38,Pr,True
mp-12599,PrTl,True
mp-1079915,PrAu,True
mp-2714,Pr2Au,True
mp-11469,PrHg,True
mp-30422,Sr7Au3,True
mp-30420,SrAu,True
mp-30421,Sr3Au2,True
mp-464,HoSe,True
mp-510404,GdSe,True
mp-155,Gd,True
mp-2434,SrTl,True
mp-30828,Sr2Pb,True
mp-677,SrCd2,True
mp-30496,SrCd,True
mp-542484,Sr5Cd3,True
mp-1078721,InPd3,True
mp-21215,InPd,True
mp-22146,In3Pd5,True
mp-22646,InPd2,True
mp-2114,YN,True
mp-2286,Li2Se,True
mp-1240,HoS,True
mp-101,Ir,True
mp-570491,TaNi3,True
mp-23,Ni,True
mp-1867,Ta2Ni,True
mp-867199,Pm3Tl,True
mp-734,LaHg,True
mp-26,La,True
mp-1079811,SmAu,True
mp-1080709,NdAu,True
mp-1102098,Nd2Au,True
mp-123,Nd,True
mp-1105965,Er5Tl3,True
mp-1184115,Er,True
mp-1079938,TlPd3,True
mp-2861,CaTl,True
mp-718,SnPd3,True
mp-1610,TbS,True
mp-11698,Tb,True
mp-814,DySe,True
mp-11266,BaCd2,True
mp-527,BaCd,True
mp-8093,Ba2Cd,True
mp-75,Nb,True
mp-867318,Eu3Tl,True
mp-19966,GdTl,True
mp-579628,Gd2Tl,True
mp-13,Fe,True
mp-1018122,Tm,True
mp-286,YbSe,True
mp-10740,Pa,True
mp-697068,SiPd2,True
mp-20622,SiPd3,True
mp-582067,Hf3As,True
mp-103,Hf,True
mp-1190267,Hf3As2,True
mp-1025468,CeAu,True
mp-567332,Ce,True
mp-1540,HoTl,True
mp-1181055,Ho5Tl3,True
mp-1002136,LaAu,True
mp-1103395,La2Au,True
mp-371,La3Tl,True
mp-11488,LaTl,True
mp-11374,DyTl,True
mp-1181553,Dy5Tl3,True
mp-1190038,Tm5Tl3,True
mp-1199133,Y11Sn10,True
mp-567412,Y5Sn3,True
mp-574275,Li17Pb4,True
mp-30761,Li7Pb2,True
mp-861939,Ac3Sn,True
mp-20849,Pd3Pb,True
mp-1561,TbSe,True
mp-1476,ScS,True
mp-67,Sc,True
mp-1185570,Mg149Pb,True
mp-11286,CaHg,True
mp-1103139,Ca2Hg,True
mp-11288,Ca3Hg2,True
mp-867297,AcIn3,True
mp-985305,Ac3In,True
mp-11422,GdHg,True
mp-30878,TbTl,True
mp-30879,Tb5Tl3,True
mp-11575,YTl,True
mp-1188434,Y5Tl3,True
mp-11544,Yb2Pb,True
mp-145,Lu,True
mp-570050,Yb2Sn,True
mp-569304,C,True
mp-21412,Ce3Tl,True
mp-1206755,CeTl,True
mp-11467,NdHg,True
mp-1533,Nd3Tl,True
mp-571405,NdTl,True
mp-1084808,YbAu,True
mp-570119,Yb7Au3,True
mp-570527,Yb5Au4,True
mp-568944,Yb5Au3,True
mp-8094,Ba2Hg,True
mp-2197,BaHg,True
mp-656,LuS,True
mp-1191538,Ca8In3,True
mp-20263,CaIn,True
mp-542,SrHg,True
mp-13427,Sr3Hg2,True
mp-20711,Fe3Ge,True
mp-601833,Fe13Ge3,True
mp-984,BN,True
mp-827,KN3,True
mp-551835,Ba2I2O,True
mp-1342,BaO,True
mp-29909,Ba4I6O,True
mp-23260,BaI2,True
mp-865985,CdPd3,True
mp-1696,CdPd,True
mp-636334,SnRh2,True
mp-317,SnRh,True
mp-23251,KBr,True
mp-23193,KCl,True
mp-129,Mo,True
mp-614603,CsI,True
mp-571222,CsBr,True
mp-1080443,YCu,True
mp-2698,YCu2,True
mp-2797,YCu5,True
mp-30,Cu,True
mp-1185319,LiCl,True
mp-1018029,CuPd,True
mp-580357,Cu3Pd,True
mp-22867,RbBr,True
mp-2532,PrTe,True
mp-1078589,EuAu,True
mp-1189094,Eu3Au,True
mp-1106137,Eu7Au3,True
mp-1104457,Eu3Au2,True
mp-981,SrF2,True
mp-419,YbB6,True
