id,material_id,pretty_formula
1,mp-1001615,LiZrSe2
2,mp-1001787,LiRh3
3,mp-1001835,LiB
4,mp-1006328,LiCeSn
5,mp-1018026,LiAg
6,mp-1018133,LiHPd
7,mp-1018761,Li3CeSb2
8,mp-1018762,Li3CeBi2
9,mp-1018766,Li3LaAs2
10,mp-1018768,Li3LaBi2
11,mp-1018781,Li3SmSb2
12,mp-1018782,Li3YBi2
13,mp-1020013,Li2S2O7
14,mp-1020014,Li3B11O18
15,mp-1020059,LiGe2N3
16,mp-1021323,LiC12
17,mp-1029251,LiRuN
18,mp-1029338,LiV2N3
19,mp-1029522,Li7SbN4
20,mp-1029739,Li6FeN4
21,mp-1029826,Li6OsN4
22,mp-1029903,LiNbN2
23,mp-1067,LiAl
24,mp-1077191,Li2Tl
25,mp-1077469,Li3GdBi2
26,mp-1078961,LiTbGe
27,mp-1079483,LiAuF6
28,mp-1079855,LiPd7
29,mp-1094598,Li3Mg
30,mp-1094889,LiMg
31,mp-1095265,LiYbBi
32,mp-1095291,Li2SnSe3
33,mp-1095406,Ba3(LiSb)4
34,mp-1095425,LiEuSb
35,mp-1097065,Li2HfN2
36,mp-1098000,LiEu3O4
37,mp-1104121,Li2La2Si3
38,mp-1105393,Li7(Eu2Bi3)2
39,mp-11171,LiRhF6
40,mp-11247,Li3Au
41,mp-11248,LiAu3
42,mp-11305,Li2CdPb
43,mp-1138,LiF
44,mp-11489,Li3Pd
45,mp-11512,LiAl2Ir
46,mp-1153,Li2S
47,mp-11743,LiYGa4
48,mp-1176792,LiAgF2
49,mp-1177695,Li3CuS2
50,mp-11807,LiPt
51,mp-1184972,Li2InBi
52,mp-1184978,Li2InHg
53,mp-1184985,Li2InPb
54,mp-1185207,LiCdHg2
55,mp-1185263,LiPaO3
56,mp-1185294,LiAc2Pb
57,mp-1185305,LiGePt2
58,mp-1185319,LiCl
59,mp-1185359,LiMg2Cd
60,mp-1185365,LiMg2Au
61,mp-1185374,LiMgPb2
62,mp-1185392,LiGd2Al
63,mp-1185409,LiPmGa2
64,mp-1185418,LiZnPt2
65,mp-1185421,LiZnNi2
66,mp-1185422,LiZn2Ag
67,mp-1185434,LiSnPt2
68,mp-1185462,LiThRh2
69,mp-1185609,LiGd2Rh
70,mp-1188187,Li3(ZnSn2)2
71,mp-1188344,CsLiCl2
72,mp-1188392,LiInS2
73,mp-1190624,LiLuSn
74,mp-1190768,LiSmSn
75,mp-1190809,Li8TeN2
76,mp-1191877,LiGdSn
77,mp-1192002,LiHoSn
78,mp-1192133,LiBH4
79,mp-1194726,Li2Se2O7
80,mp-1195042,Sr19Li44
81,mp-1195831,Li(HoGe)4
82,mp-1195868,LiCeF5
83,mp-1196169,LiThF5
84,mp-1197547,Li15Pd4
85,mp-1201871,Li7Si3
86,mp-12029,Li2CuP
87,mp-1205739,Li2SnF6
88,mp-1205878,LiLuGe
89,mp-1205902,Li5(CuGe)2
90,mp-1205930,Li5Ga4
91,mp-1206595,LiTiSe2
92,mp-1206794,LiAu
93,mp-1206962,LiTaF6
94,mp-1210753,Li2Al
95,mp-1210877,Li2TcO3
96,mp-1211048,Li2Pr5Sn7
97,mp-1211055,LiPt3O4
98,mp-1211140,Li8Ag5
99,mp-1211142,Li5IO6
100,mp-1211143,LiEuP
101,mp-1211433,Li6Yb17Hg9
102,mp-1211465,Li3NiF6
103,mp-1211496,Li(TmGe)4
104,mp-1211673,Li7Mg8Zn9
105,mp-1212343,Li22(Cu3Si2)7
106,mp-1213704,Cs3LiPb4
107,mp-1222296,LiSmS2
108,mp-1222392,LiUI6
109,mp-1222404,LiBiS2
110,mp-1222413,LiB3
111,mp-1222490,Li4(CdSb)5
112,mp-1222492,Li3ErBr6
113,mp-1222600,Li2ZnSn
114,mp-1222613,Li2MgTl
115,mp-1222617,Li2ZnCu3
116,mp-1222646,Li2MgHg
117,mp-1222647,Li2MgGa
118,mp-1222648,Li2MgCd
119,mp-1222651,Li2MgGe
120,mp-1222657,Li2GePd
121,mp-1222769,Li2Ga7
122,mp-1222772,Li(TiTe2)5
123,mp-1222798,Li14MgSi4
124,mp-12283,Li5Tl2
125,mp-1235059,LiO8
126,mp-12403,LiBF4
127,mp-1245798,LiFeN
128,mp-12558,LiMgAs
129,mp-12645,LiHoO2
130,mp-12716,LiTlPd2
131,mp-12815,Na2LiAu3
132,mp-1307,LiGa
133,mp-13139,SrLiGe2
134,mp-1314,Li12Si7
135,mp-13276,SrLiP
136,mp-13277,BaLiP
137,mp-135,Li
