id,material_id,pretty_formula,band_gap,e_above_hull,theoretical
1,mp-661,AlN,4.054,0,FALSE
2,mp-29909,Ba4I6O,3.979,0,FALSE
3,mp-23260,BaI2,3.443,0,FALSE
4,mp-18337,Be3N2,3.313,0,FALSE
5,mp-2542,BeO,7.460,0,FALSE
6,mp-2605,CaO,3.645,0,FALSE
7,mp-571222,CsBr,4.258,0,FALSE
8,mp-573697,CsCl,4.849,0,FALSE
9,mp-614603,CsI,3.857,0,FALSE
10,mp-1188344,CsLiCl2,5.115,0,FALSE
11,mp-2345,Dy2O3,3.925,0,FALSE
12,mp-679,Er2O3,3.964,0,FALSE
13,mp-812,Ho2O3,3.950,0,FALSE
14,mp-23193,KCl,5.027,0,FALSE
15,mp-22898,KI,3.851,0,FALSE
16,mp-2292,La2O3,3.532,0,FALSE
17,mp-4511,La2SO2,3.080,0,FALSE
18,mp-14871,Li16Ta2N8O,3.403,0,FALSE
19,mp-9610,Li2CN2,3.720,0,FALSE
20,mp-1960,Li2O,4.917,0,FALSE
21,mp-1153,Li2S,3.411,0,FALSE
22,mp-5001,Li3BN2,3.371,0,FALSE
23,mp-1020016,Li4Ca2Mg(SiN3)2,3.303,0,FALSE
24,mp-772185,Li6Hf2O7,4.414,0,TRUE
25,mp-3503,Li6WN4,3.059,0,FALSE
26,mp-14827,Li7NbN4,3.333,0,FALSE
27,mp-14753,Li7TaN4,3.341,0,FALSE
28,mp-4604,Li7VN4,3.011,0,FALSE
29,mp-976280,LiBr,4.935,0,TRUE
30,mp-1185319,LiCl,5.928,0,TRUE
31,mp-976726,LiDyO2,4.566,0,FALSE
32,mp-10970,LiErO2,4.104,0,FALSE
33,mp-1138,LiF,8.716,0,FALSE
34,mp-21332,LiGdO2,3.282,0,FALSE
35,mp-23703,LiH,3.018,0,FALSE
36,mp-12645,LiHoO2,4.026,0,FALSE
37,mp-570935,LiI,4.382,0,FALSE
38,mp-754605,LiLuO2,4.501,0,TRUE
39,mp-5840,LiScO2,3.904,0,FALSE
40,mp-7137,LiTbO2,4.547,0,FALSE
41,mp-754237,LiTmO2,4.315,0,TRUE
42,mp-7020,LiYO2,4.108,0,FALSE
43,mp-1427,Lu2O3,4.023,0,FALSE
44,mp-1045,Nd2O3,3.708,0,FALSE
45,mp-16705,Pr2O3,3.659,0,FALSE
46,mp-22867,RbBr,4.193,0,FALSE
47,mp-23295,RbCl,4.839,0,FALSE
48,mp-22903,RbI,3.777,0,FALSE
49,mp-218,Sm2O3,3.782,0,FALSE
50,mp-569782,Sr2LiCBr3N2,3.974,0,FALSE
51,mp-567744,SrBr2,4.470,0,FALSE
52,mp-12317,SrCN2,3.218,0,TRUE
53,mp-981,SrF2,6.753,0,FALSE
54,mp-1056,Tb2O3,3.901,0,FALSE
55,mp-643,ThO2,4.425,0,FALSE
56,mp-1767,Tm2O3,3.980,0,FALSE
57,mp-972256,Xe,6.167,0,TRUE
58,mp-2652,Y2O3,4.056,0,FALSE
59,mp-865934,YbF2,6.735,0,TRUE
60,mp-1216,YbO,3.473,0,FALSE
