id,chemsys
1,Se-Zr-Li
2,Ce-Sn-Li
3,H-Li-Pd
4,Ce-Li-Sb
5,Ce-Bi-Li
6,As-Li-La
7,Bi-Li-La
8,Sm-Li-Sb
9,Bi-Li-Y
10,N-Ru-Li
11,N-Li-V
12,N-Li-Sb
13,Os-N-Li
14,Gd-Bi-Li
15,Tb-Li-Ge
16,F-Au-Li
17,Yb-Bi-Li
18,Eu-Li-Sb
19,N-Li-Hf
20,Bi-Eu-Li
21,Cd-Li-Pb
22,Ir-Li-Al
23,Ga-Li-Y
24,F-Li-Ag
25,S-Li-Cu
26,In-Li-Bi
27,Hg-In-Li
28,In-Pb-Li
29,Hg-Cd-Li
30,O-Li-Pa
31,Ac-Pb-Li
32,Pt-Li-Ge
33,Au-Li-Mg
34,Pb-Li-Mg
35,Gd-Li-Al
36,Ga-Pm-Li
37,Pt-Zn-Li
38,Zn-Li-Ni
39,Zn-Li-Ag
40,Li-Rh-Th
41,Gd-Li-Rh
42,Sn-Lu-Li
43,Sm-Sn-Li
44,Gd-Sn-Li
45,Sn-Li-Ho
46,Li-Ge-Ho
47,F-Li-Th
48,F-Sn-Li
49,Lu-Li-Ge
50,Ge-Li-Cu
51,Se-Li-Ti
52,O-Tc-Li
53,Pr-Sn-Li
54,Pt-O-Li
55,Hg-Yb-Li
56,Tm-Li-Ge
57,Li-Cu-Si
58,Sm-S-Li
59,U-Li-I
60,Bi-S-Li
61,Cd-Li-Sb
62,Er-Li-Br
63,Li-Tl-Mg
64,Zn-Li-Cu
65,Hg-Li-Mg
66,Ga-Li-Mg
67,Li-Ge-Pd
68,As-Li-Mg
69,Li-Tl-Pd
70,Au-Li-Na
71,Pt-F-Li
72,Li-Ge-Y
73,As-Li-Cu
74,S-Li-Y
75,Dy-Li-S
76,S-Li-Ho
77,Tb-Li-Se
78,Se-Li-Ho
79,Se-Er-Li
80,Sm-Li-Ge
81,Li-Si-Ni
82,Li-Ag-Sb
83,Sn-Li-Rh
84,Se-In-Li
85,Pt-In-Li
86,In-Li-Te
87,Ca-Pb-Li
88,In-Li-Pd
89,Yb-Pb-Li
90,Sn-Ru-Li
91,F-Li-Mo
92,N-Li-Th
93,Se-Li-Na
94,Be-N-Li
95,Au-Li-I
96,Ga-Li-Rh
97,Nb-Cl-Li
98,In-Li-Ag
99,In-Au-Li
100,Au-Li-Sb
101,Sn-Au-Li
102,Li-Al-Pd
103,Pt-Li-Al
104,Ga-Li-Cu
105,Ir-In-Li
106,Pt-Li-Sb
107,Ga-Li-Pd
108,Se-Sm-Li
109,Ga-Li-Pt
110,Ce-Li-Ge
111,Sn-Li-Y
112,Li-Sb-Na
113,Ga-Ir-Li
114,S-Li-Te
115,Sn-Li-Ag
116,Nd-Li-Si
117,In-Li-Y
118,Rb-Sn-Li
119,N-Li-Ti
120,O-Li-Hf
121,N-Zn-Li
122,F-Li-W
123,F-Li-Ge
124,Li-La-Sb
125,Nd-As-Li
126,Pt-Mn-Li
127,Pb-Li-Rh
128,In-Tm-Li
129,Hg-Li-Ho
130,Pb-Li-La
131,Ga-Au-Li
132,Pm-Li-Al
133,Li-Ta-Rh
134,Pm-Li-Ge
135,Os-Lu-Li
136,Li-Al-Rh
137,As-Li-Pd
138,Er-Li-Tl
139,Ac-Li-Tl
140,Ir-Er-Li
141,Al-Li-Y
142,Os-Er-Li
143,Hg-Er-Li
144,Ru-Er-Li
145,Os-Li-Hf
146,Au-Li-Al
147,Ca-Li-Rh
148,Gd-Ir-Li
149,Os-Pm-Li
150,Os-Li-Sc
151,Pm-Li-Au
152,Pm-Li-Tl
153,Sn-Pm-Li
154,Bi-Li-Na
155,Sm-Li-Tl
156,Gd-Li-Tl
157,Pt-Li-Sc
158,Gd-In-Li
159,In-Er-Li
160,Cd-Li-Pd
161,Li-Tl-Ho
162,Pr-Li-Ge
163,Pr-Li-Tl
164,In-Sn-Li
165,Pr-Hg-Li
166,Li-Sc-Rh
167,Ru-Li-Si
168,Pt-Zr-Li
169,Li-Tl-Y
170,Zr-Li-Rh
171,Os-Zr-Li
172,Zn-Li-Au
173,Zr-Au-Li
174,Ir-Li-Si
175,Tc-Li-Sc
176,Au-Li-Th
177,Ca-Sn-Li
178,Au-Li-Pd
179,Nd-Li-Tl
180,Nd-In-Li
181,Yb-Li-Si
182,Pr-Pb-Li
183,Dy-Li-Tl
184,Cd-Li-Rh
185,Tm-Li-Rh
186,Pb-Li-Sr
187,Ga-Li-Ni
188,Pt-Cd-Li
189,Ir-Li-Y
190,Ir-Zn-Li
191,Os-Li-Ho
192,Li-Cu-Al
193,Tb-Ir-Li
194,Sn-Eu-Li
195,Hg-Li-Y
196,Li-Al-Ni
197,Se-K-Li
198,O-Li-Np
199,Ru-Lu-Li
200,Lu-Li-Rh
201,Pt-Li-Ti
202,Ir-Nb-Li
203,Zn-Li-Sb
204,S-Li-Sc
205,Li-Pd-Sb
206,Dy-Li-Sb
207,Li-Ho-Sb
208,Nd-Li-Sb
209,Pr-Bi-Li
210,Pr-Li-Sb
211,Se-Nb-Li
212,N-Sn-Li
213,N-In-Li
214,Sn-Li-Cu
215,H-Li-Pt
216,F-Nb-Li
217,Os-F-Li
218,Dy-Li-Ge
219,Sn-Li-La
220,Yb-As-Li
221,Eu-Li-As
222,Yb-Li-Sb
223,Nd-Li-Ge
224,Re-S-Li
225,Cd-Li-Tl
226,Hg-Li-Tl
227,Hg-Bi-Li
228,Cd-Li-Ag
229,Li-Ti-Pd
230,Ru-Li-Np
231,Li-Np-Rh
232,Be-Li-Pt
233,Ac-Li-Rh
234,Hg-Ce-Li
235,Eu-Li-Tl
236,Gd-Li-Os
237,Li-Tl-La
238,In-Li-Ni
239,Lu-Li-Tl
240,Gd-Li-Ga
241,Hg-Li-Th
242,Li-Ge-La
243,Nd-Sn-Li
244,Sn-Dy-Li
245,Ag-Li-Al
246,Ca-Hg-Li
247,Li-Y-Sb
248,Zr-S-Li
249,S-Li-Hf
250,Sm-Li-Si
251,Pr-Li-Si
252,Br-Li-Fe
253,As-Li-Ni
254,Er-Li-Ge
255,Tb-S-Li
256,Au-Li-Si
257,Ir-Sn-Li
258,Ga-Li-Ag
259,Ga-Li-Al
260,In-Cd-Li
261,U-Li-Br
262,In-Li-Rh
263,F-Li-Pd
264,Gd-Li-Ge
265,Er-Li-S
266,Gd-Li-Se
267,Se-Li-Y
268,Se-Dy-Li
269,Sn-Tm-Li
270,Pt-B-Li
271,Ga-Ru-Li
272,B-Li-Pd
273,Co-As-Li
274,O-Li-Ag
275,O-Li-Tl
276,H-Li-Rh
277,N-Cl-Li
278,Au-Li-Ge
279,Sn-Li-Ba
280,Pb-Li-Ag
281,Pb-Li-Pd
282,U-N-Li
283,B-Ir-Li
284,Li-Al-Te
285,Ga-Li-Te
286,N-Li-Sc
287,Ca-Bi-Li
288,Be-H-Li
289,B-Li-Rh
290,H-Li-Os
291,S-Li-Mo
292,Se-Li-Al
293,Ce-As-Li
294,Ce-N-Li
295,Ir-Li-Sc
296,Hg-Li-La
297,Mn-Li-Pd
298,Hg-Nd-Li
299,Ru-Li-W
300,Li-Rh-Sb
301,Re-Li-Hf
302,Ac-Li-Si
303,Ir-Li-Ge
304,Hg-Dy-Li
305,Hg-Li-Pd
306,Bi-Li-Rh
307,Ir-Dy-Li
308,Ir-Pm-Li
309,Ir-Lu-Li
310,Tm-Li-Tl
311,As-Li-Rh
312,Be-Ir-Li
313,Ir-Li-Hf
314,Ac-Li-Ga
315,Ru-Tm-Li
316,Li-Cu-Pd
317,Ac-Li-Ge
318,Ru-Li-Y
319,Ac-Ir-Li
320,Ac-Ru-Li
321,Os-Li-Y
322,Li-Tl-Sr
323,Au-Li-Sc
324,Pt-Pm-Li
325,Hg-Pm-Li
326,In-Pm-Li
327,Pm-Li-Pb
328,Pm-Li-Rh
329,Ru-Pm-Li
330,Pm-Li-Si
331,Li-Ag-Mg
332,Li-Rh-Mg
333,Nb-Li-Rh
334,Ac-Li-Te
335,Yb-Ir-Li
336,Yb-Li-Rh
337,Tb-Hg-Li
338,Ir-Li-Ti
339,Li-Si-Pd
340,Ru-Li-Pa
341,Pt-Li-Pa
342,Li-Sc-Pd
343,In-Dy-Li
344,In-Li-Ho
345,Li-Tl-Ag
346,Bi-Li-Tl
347,Ru-Li-Sc
348,Hg-Sm-Li
349,Hg-Li-Ag
350,Au-Li-Ag
351,Zr-Tc-Li
352,Ac-In-Li
353,Ac-Sn-Li
354,Zr-Ir-Li
355,Ru-Li-Ho
356,Li-Ag-Pd
357,Gd-Ru-Li
358,Yb-Sn-Li
359,In-Li-La
360,Pr-In-Li
361,Hg-Li-Sr
362,Ru-Dy-Li
363,Li-Hf-Rh
364,Cd-Li-Au
365,Ca-Li-Tl
366,Sn-Li-Sr
367,Ir-Tm-Li
368,Zn-Li-Pd
369,Os-Tm-Li
370,Ce-Li-Tl
371,Os-Dy-Li
372,Ca-Cd-Li
373,Li-Rh-V
374,Pt-Li-Hf
375,Li-Si-Rh
376,Lu-Li-Au
377,Ir-Li-Ho
378,Ir-Li-V
379,Li-Ge-Ag
380,Tb-Li-Tl
381,Zn-Pm-Li
382,Sn-Er-Li
383,Yb-Li-Al-F
384,Sm-Li-Bi
385,P-Ce-Li-Cu
386,P-Li-Cu-Y
387,P-N-O-Li
388,B-O-S-Li
389,P-Yb-Li-Cu
390,P-Zr-O-Li
391,Re-N-Li-Ba
392,B-N-Eu-Li
393,Ca-H-C-Li
394,Mn-Sn-S-Li
395,O-Au-Li-S
396,Ce-Li-Si
397,K-Li-Sc-F
398,K-Lu-Li-Cl
399,K-Li-Tl-F
400,K-In-Li-F
401,K-Ru-Li-F
402,K-Li-Cr-F
403,K-As-Li-F
404,K-Cl-Li-Sc
405,Gd-Cs-Cl-Li
406,Cs-I-Li-Y
407,Cs-Sm-Cl-Li
408,Cs-In-Li-F
409,Cs-Dy-Li-Cl
410,P-Zn-Li-S
411,O-Li-Si-Mg
412,Mn-O-Li-Cr
413,Cs-O-Li-W
414,Pt-Sn-Li-Mg
415,Ac-Hg-Li
416,Pt-Li-Si
417,P-S-Li-Al
418,Sn-Cd-Li-S
419,Cd-Li-Ge-S
420,Cs-Cl-Li-Sc
421,N-C-Li-La
422,O-Li-Sb-Sr
423,In-O-Li-W
424,O-Ir-Eu-Li
425,Ir-Sm-O-Li
426,Nb-O-Li-Sr
427,O-Li-Ta-Sr
428,Nd-Ir-O-Li
429,Pr-Ir-O-Li
430,O-Lu-Li-W
431,O-Li-Y-W
432,O-Li-Ho-W
433,Ca-O-Li-Os
434,O-Dy-Li-W
435,H-As-Li-Sr
436,P-Cd-Li-Ba
437,Mn-O-S-Li
438,F-Li-Al-Mg
439,H-Li-Al-Mg
440,Mn-Li-F-V
441,Ca-O-Li-Ta
442,O-As-Li-Th
443,Se-B-O-Li
444,H-K-N-Li
445,Ga-O-Li-Se
446,Ir-O-Li-La
447,Ca-H-Li-Ge
448,Zr-O-As-Li
449,Cl-Li-Tl-Sc
450,Rb-Cl-Li-V
451,Cs-Li-Cr-F
452,I-O-Li-Ba
453,Ga-F-Li-Sr
454,F-V-Li-Sr
455,F-Li-Cr-Sr
456,Rb-O-Li-Ga
457,F-Er-Li-Na
458,F-Li-Ti-Na
