material_id,pretty_formula
mp-10659,Ho
mp-79,Zn
mp-32,Ge
mp-149,Si
mp-23154,Br
mp-91,W
mp-126,Pt
mp-111,Ne
mp-87,Be
mp-1067793,F2
mp-760482,F2
mp-561203,F2
mp-134,Al
mp-131,Zr
mp-39,Tl
mp-23152,Bi
mp-44,U
mp-972256,Xe
mp-86,Sm
mp-96,S
mp-132,Ca
mp-862690,Ac
mp-155,Gd
mp-10740,Pa
mp-74,Rh
mp-1094122,Mg
mp-37,Th
mp-1018134,Li
mp-1198724,P
mp-129,Mo
mp-67,Sc
mp-561367,F2
mp-1018122,Tm
mp-1187073,Sr
mp-567332,Ce
mp-21848,F2
mp-1184554,Hg
mp-11,As
mp-10658,Dy
mp-12957,O2
mp-22848,Cl2
mp-11698,Tb
mp-75,Nb
mp-35,Mn
mp-50,Ta
mp-49,Os
mp-1080711,N2
mp-1184905,K
mp-23153,I
mp-38,Pr
mp-20483,Pb
mp-972364,Yb
mp-30,Cu
mp-104,Sb
mp-1184502,In
mp-33,Ru
mp-94,Cd
mp-570752,H2
mp-101,Ir
mp-1187739,Y
mp-571261,Pu
mp-123,Nd
mp-146,V
mp-113,Tc
mp-19,Te
mp-90,Cr
mp-142,Ga
mp-26,La
mp-54,Co
mp-570778,Cl2
mp-612118,Kr
mp-117,Sn
mp-23,Ni
mp-103,Hf
mp-867200,Pm
mp-11534,Np
mp-72,Ti
mp-122,Ba
mp-2,Pd
mp-1184151,Cs
mp-145,Lu
mp-1184115,Er
mp-23158,He
mp-10172,Na
mp-569304,C
mp-570481,Se
mp-8,Re
mp-13,Fe
mp-1057315,Eu
mp-81,Au
mp-23155,Ar
mp-1179656,Rb
mp-1008394,Cl2
mp-989737,Ag
mp-160,B
