material_id,pretty_formula
mp-1001787,LiRh3
mp-1018086,CePd
mp-1018147,EuPd
mp-1018149,ScCu2
mp-1018151,NbPd2
mp-1018799,MgSc3Ru2
mp-1025013,GdCu4Pd
mp-1025409,TmPt
mp-1039148,CaMg
mp-10659,Ho
mp-1071732,EuCu2
mp-1077154,SmCu2
mp-1077518,ErCu4Pd
mp-1078527,ThAlPd
mp-1078543,YbAlCu
mp-1078895,Mn3Pd5
mp-1078938,YAl2Pd5
mp-1079357,TbAlCu
mp-1079796,Ti3Pd
mp-1079868,CeAlCu
mp-1080612,GdAlCu
mp-1080703,PrAlPd
mp-1087523,TmAlNi
mp-1089,TiIr3
mp-10910,Al2Ru
mp-1095443,ScFe2
mp-1095464,YAlPd
mp-1095561,NdNi3
mp-1095579,TmAlPt
mp-1095605,GdAl4Ni
mp-1095667,TmAlPd
mp-1100787,YbMg149
mp-1101970,TbRu2
mp-1102084,DyTc2
mp-1102143,ErRe2
mp-1102328,HoRe2
mp-1102354,ThTc2
mp-1102662,CaMgPd
mp-1102728,Dy2Al
mp-1102737,HoAlPd
mp-1103421,Dy2Pt
mp-1103785,Pr3Al11
mp-1103863,Ho3Pt4
mp-1104206,Ho3Pd4
mp-1104294,Ce3Pt4
mp-1104397,Yb5Pd2
mp-1104610,Eu5Pd2
mp-1104741,Tb(Al2Cu)4
mp-1104856,La3Pt4
mp-1105001,Tm3Pt4
mp-1105057,Yb3Pd4
mp-1105083,Th3Pd4
mp-1105479,Dy3Pt
mp-1109,Sr5Al9
mp-11098,YbMgPd
mp-111,Ne
mp-11225,TbAl
mp-11385,YFe5
mp-11453,HfPd3
mp-11476,HoIr
mp-11483,TmIr
mp-11525,TmNi
mp-11557,ScRe2
mp-11564,TmRh
mp-1163,UBe13
mp-11807,LiPt
mp-1183162,AlFe3
mp-1184159,ErHfRu2
mp-1184217,ErMgRh2
mp-1184237,ErZrRu2
mp-1184321,EuMg2
mp-1184370,Gd2NiRu
mp-1184417,Gd3Al
mp-1184422,Gd2CuRu
mp-1184510,GdLuRu2
mp-1184532,GdTmIr2
mp-1184572,HfMgPt2
mp-1184589,HfTc2Mo
mp-1184592,Hf2RePd
mp-1184594,Hf2TcPd
mp-1184607,HfZrOs2
mp-1184609,Hf2CuTc
mp-1184663,Ho2RuPt
mp-1184769,HoErIr2
mp-1184831,HoTmRu2
mp-1185270,LiNpRh2
mp-1185467,Lu2CoIr
mp-1185508,LuScCu2
mp-1185509,LuAlCu2
mp-1185585,Mg149Cr
mp-1185586,Mg149Be
mp-1185620,MgVRu2
mp-1185625,MgZrPt2
mp-1185627,Mg149Mn
mp-1185655,Mg149Zr
mp-1186117,NiPt3
mp-1186210,Nb2TcOs
mp-1186231,NbIr3
mp-1186307,NdHoMg2
mp-1186437,Pd3W
mp-1186462,Pm2CuPd
mp-1186482,Pm2NiPt
mp-1186575,PmEuPd2
mp-1186655,PmTmRu2
mp-1186677,PmYRh2
mp-1186681,PmYIr2
mp-1186761,Ta2MnRe
mp-1186767,Ta2NbRe
mp-1187245,TiMo2W
mp-1187361,TbMg3
mp-1187417,Ti2MoPd
mp-1187427,Ti2FeOs
mp-1187509,YbYPt2
mp-1187606,TmLuCu2
mp-1187696,VCr3
mp-1187856,YHoIr2
mp-1188031,ZrScCo2
mp-1189402,Ta2Be17
mp-1189474,Y7Rh3
mp-1189887,Dy3Os
mp-1190028,TmAl3Ni2
mp-1190029,Sm3Os
mp-1190157,Ba3(AlPt)4
mp-1190626,Hf2Rh
mp-1191559,NbRh3
mp-1191806,Mg3TiNi2
mp-1192485,Yb(Al5Os)2
mp-1192498,Tm6Mn23
mp-1193121,Ti6Al16Ir7
mp-1193241,Hf6Al16Pd7
mp-1193397,Zr9NiMo4
mp-1193840,Zr6Al16Pd7
mp-1193957,Pr(Al5Ru)2
mp-1194170,Dy6Al7Cu16
mp-11945,SmAl4Ni
mp-1199106,Tm5Pt4
mp-1199558,Sm5Ir3
mp-1199732,Yb6Ti4Al43
mp-1199868,Y6Al43W4
mp-1200559,Er2Ni7
mp-1200594,Nd23Mg4Pt7
mp-1200753,Ho3Rh2
mp-1201649,Ti2Be17
mp-1201665,Er6Al43Cr4
mp-1202486,La7Ru3
mp-1203605,Hf21Re25
mp-1203616,Y6Al43Cr4
mp-1204409,Yb6Al43Mo4
mp-1204502,Pr(TiAl10)2
mp-1205254,U6Al43W4
mp-1205407,Sm3Rh
mp-1205562,Ho2MgNi2
mp-1205707,Tb2MgCu2
mp-1206769,Tm2MgNi2
mp-1206944,LaMgCu
mp-1207440,Zr7Pt10
mp-1207592,Yb4(Al8Pt3)3
mp-1207711,Y2(Al3Rh)3
mp-1207755,Yb6Nb4Al43
mp-1207781,Y3Ru
mp-1207785,Y3Ir
mp-1207829,Yb6Mn4Al43
mp-1208029,Tm4MgNi
mp-1208049,Tm4MgRh
