material_id,pretty_formula,FullWindow
mp-669692,NbPd3,True
mp-2,Pd,True
mp-1018151,NbPd2,True
mp-1220678,Nb2Pd,True
mp-75,Nb,True
mp-567750,ScRu2,True
mp-625,Mg3Ru2,True
mp-30867,ScRu,True
mp-33,Ru,True
mp-1194143,Sc11Ru4,True
mp-1018799,MgSc3Ru2,True
mp-1063566,MgSc2Ru,True
mp-1185631,Mg149Sc,True
mp-1185790,Mg3Sc,True
mp-864941,MgSc2,True
mp-1185555,Mg149Ru,True
mp-1094122,Mg,True
mp-1210377,Sc57Ru13,True
mp-1209947,Sc44Ru7,True
mp-67,Sc,True
mp-21427,GdPd3,True
mp-580357,Cu3Pd,True
mp-1018029,CuPd,True
mp-30,Cu,True
mp-614455,GdCu,True
mp-11427,GdPd,True
mp-155,Gd,True
mp-1077933,GdCu2,True
mp-636253,GdCu5,True
mp-1184119,CuPd3,True
mp-1025013,GdCu4Pd,True
mp-2825,ErPd3,True
mp-1077518,ErCu4Pd,True
mp-1024991,ErCu2,True
mp-851,ErPd,True
mp-1104774,Er3Pd4,True
mp-30579,ErCu5,True
mp-12545,Er3Pd2,True
mp-1955,ErCu,True
mp-1184115,Er,True
mp-1184092,Er2CuPd,True
mp-1306,ThAl3,True
mp-669,ThAl2,True
mp-7189,AlPd,True
mp-2824,AlPd2,True
mp-570184,ThPd3,True
mp-1078527,ThAlPd,True
mp-1498,Al21Pd8,True
mp-134,Al,True
mp-605663,AlPd5,True
mp-1651,Th2Al,True
mp-37,Th,True
mp-10901,Al3Pd2,True
mp-1148,Th2Pd,True
mp-30838,ThPd,True
mp-1105083,Th3Pd4,True
mp-1937,YbCu,True
mp-969,YbAl2,True
mp-972364,Yb,True
mp-1607,YbCu5,True
mp-1215553,YbAlCu5,True
mp-567538,YbCu2,True
mp-12802,AlCu3,True
mp-1215672,YbAl7Cu5,True
mp-985806,Al2Cu,True
mp-2500,AlCu,True
mp-1215808,Yb(AlCu)6,True
mp-593,Al4Cu9,True
mp-1078543,YbAlCu,True
mp-1104848,Yb(Al2Cu)4,True
mp-977428,YbAl2Cu,True
mp-1193533,Yb6Al7Cu16,True
mp-1095464,YAlPd,True
mp-1207714,Y2(Al3Pd)3,True
mp-2322,YAl2,True
mp-865527,YAl3,True
mp-1078242,YAlPd2,True
mp-1066136,YPd,True
mp-1104019,Y3Pd4,True
mp-11230,Y2Al,True
mp-559,YPd3,True
mp-1078938,YAl2Pd5,True
mp-1207777,Y3Pd,True
mp-1187739,Y,True
mp-1104741,Tb(Al2Cu)4,True
mp-1217839,Tb(AlCu)6,True
