material_id,pretty_formula
mp-867934,KF3
mp-640333,K49Tl108
mp-784,KZn13
mp-542374,KSn
mp-1196514,KS3
mp-31104,KBi
mp-1196998,K3Ge17
mp-1202778,K3Cd16
mp-23251,KBr
mp-7670,K2Se3
mp-22481,KIn4
mp-827,KN3
mp-24084,KH
mp-18609,K2Se5
mp-21613,K5Pb24
mp-14018,K3As
mp-2072,KTe
mp-1193208,KHg6
mp-30718,K5Hg7
mp-1185536,KMg149
mp-1747,K2Te
mp-1103373,KSn2
mp-21526,KPb
mp-31473,K2Hg7
mp-1212012,K10Tl7
mp-23279,KBi2
mp-28424,K4P3
mp-463,KF
mp-1185099,KHg3
mp-28930,KC8
mp-1211471,KP15
mp-2672,K2O2
mp-21170,KPb2
mp-17146,K2S5
mp-2146,KGe
mp-7667,K2S3
mp-30021,K5Sb4
mp-22898,KI
mp-569570,K8Tl11
mp-582929,K8In11
mp-680682,K3Ga13
mp-181,KGa3
mp-1287,KS
mp-1298,KAu5
mp-541000,K3As11
mp-8700,K2Au3
mp-11462,KHg
mp-569940,K3Bi
mp-8426,K2Se
mp-1223503,K5As4
mp-640781,K17In41
mp-7441,KP
mp-11952,KHg11
mp-12735,KAg2
mp-1217,KSi
mp-7289,K2Te3
mp-1076,KB6
mp-680329,K3As7
mp-30717,KHg2
mp-568052,K2Ga3
mp-713,KAs
mp-13909,K4Sn23
mp-14017,K3Sb
mp-569857,K2P3
mp-1022,K2S
mp-976802,KF2
mp-23193,KCl
mp-1568,K3P11
mp-397,KCd13
mp-1866,KO2
mp-9268,KSe
mp-971,K2O
mp-1536,KSb
mp-29055,KSb2
