material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-984,BN,4.482,0.000,False,"[240999, 24644, 168893, 240996, 186246, 168892, 167799, 35538, 162870, 168894, 183256]"
mp-7991,BN,4.182,0.002,False,"[186247, 236992, 236991, 27987]"
mp-1060281,BN,3.570,0.852,False,"[26574, 237077]"
mp-2653,BN,5.242,0.093,False,"[614869, 614873, 162873, 236994, 41486, 236993, 183257]"
mp-1639,BN,4.450,0.076,False,"[77271, 56315, 83728, 187045, 40914, 184566, 83729, 86357, 236990, 236989, 185152, 614868, 27879, 182731, 42002, 162874, 248502, 183258, 614864, 191805]"
mp-629015,BN,4.002,0.003,False,"[77374, 186248]"
mp-551835,Ba2I2O,3.113,0.000,False,[391434]
mp-17612,Ba2SiO4,4.629,0.000,False,"[291355, 291359, 6246, 28476]"
mp-755417,Ba3(BO3)2,4.170,0.000,True,[]
mp-1196869,Ba3Al2O6,3.828,0.000,False,"[79558, 246227]"
mp-542201,Ba3Nb2O8,4.500,0.000,True,[]
mp-4202,BaAl2O4,4.097,0.000,False,"[291360, 291356, 75426, 246027, 10036]"
mp-3828,BaAl2O4,3.942,0.004,False,"[16845, 21080, 75427]"
mp-555585,BaF2,6.857,0.041,False,"[183923, 41650]"
mp-8644,BaF2,5.931,0.137,False,[41651]
mp-1029,BaF2,6.623,0.000,False,"[236606, 41649, 64717, 53980, 181246, 236587, 64718, 183922]"
mp-6499,BaLiBO3,4.401,0.000,False,"[73218, 92843]"
mp-3952,BaY2O4,3.249,0.000,False,"[78483, 166845, 89640, 427510]"
mp-6977,Be3N2,3.353,0.029,False,[25656]
mp-18337,Be3N2,3.313,0.000,False,"[616348, 412667]"
mp-2542,BeO,7.460,0.000,False,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-7599,BeO,7.084,0.012,False,"[18147, 654407]"
mp-1794,BeO,8.175,0.482,False,"[163825, 163826, 162676, 163827, 163828, 26957, 163829]"
mp-4481,Ca2SiO4,4.199,0.000,False,"[39005, 166637, 82995, 82994, 68753, 68754, 200707, 417503, 81095, 18179, 9095, 181558]"
mp-560821,Ca2SiO4,4.428,0.037,False,[82996]
mp-556942,Ca2SiO4,4.445,0.015,False,[280995]
mp-8682,Ca2SiO4,4.371,0.189,False,[40657]
mp-1019562,Ca2SiO4,4.172,0.140,False,[182052]
mp-1019563,Ca2SiO4,3.302,0.234,False,"[182054, 182053]"
mp-4180,Ca2SiO4,4.678,0.035,False,"[196150, 79554, 81096, 245077, 245076, 245078, 245074, 963, 16616, 245075, 421708, 24640, 79551, 79550, 79555, 79552, 245079, 79553, 245080]"
mp-10464,CaF2,7.457,0.052,False,"[656449, 51283]"
mp-2741,CaF2,7.115,0.000,False,"[53978, 76045, 181244, 52754, 60370, 60368, 28730, 44937, 82707, 246961, 655133, 60559, 44618, 60369, 40938, 41413, 181020, 656448, 60371]"
mp-23713,CaH2,3.008,0.000,False,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]"
mp-2605,CaO,3.645,0.000,False,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]"
mp-1205574,Cs2KScF6,6.818,0.000,True,[]
mp-571222,CsBr,4.258,0.000,False,[61516]
mp-22906,CsBr,4.243,0.040,False,"[53834, 44290, 22174, 53848, 236387]"
mp-614603,CsI,3.857,0.000,False,[61517]
mp-1079694,CsI,3.126,0.114,False,[29207]
mp-1056920,CsI,3.666,0.033,False,"[5422, 53835, 53849, 44938, 56523, 56522, 9204, 60498, 44291, 56524]"
mp-17718,CsKNa2Li12(SiO4)4,4.730,0.000,False,[74864]
mp-2345,Dy2O3,3.925,0.000,False,"[630047, 82421, 630042, 61269, 248579, 184538, 185242, 248578, 185606, 96208, 27994, 180837, 41269, 66736]"
mp-2460,Er2O3,4.112,0.048,False,"[160230, 419435]"
mp-679,Er2O3,3.964,0.000,False,"[39185, 55832, 39187, 53406, 39521, 94888, 180843, 96210, 33656, 184540, 39189, 630890, 630897, 186592, 39190, 39186, 39188, 27992, 27774]"
mp-12671,Er2SO2,3.073,0.000,False,[109334]
mp-753721,GdOF,3.304,0.000,False,"[247803, 247805, 247806, 184007, 247802, 247804]"
mp-741,HfO2,3.393,0.139,False,"[83863, 173968, 87456, 87457]"
mp-1858,HfO2,4.206,0.024,False,"[79913, 71354, 173965]"
mp-550893,HfO2,3.824,0.089,False,"[180834, 180833, 236853, 173967, 53033]"
mp-352,HfO2,4.016,0.000,False,"[60903, 173964, 60902, 638740, 27313, 638737, 638744, 57385, 173158, 187015, 172165]"
mp-1018721,HfO2,4.669,0.055,False,[173966]
mp-558336,Ho2O3,4.061,0.046,False,"[420710, 160229]"
mp-812,Ho2O3,3.950,0.000,False,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]"
mp-24239,K(BH)6,5.532,0.000,False,"[98616, 36148]"
mp-10408,K2CN2,3.145,0.000,False,"[423580, 411094]"
mp-10662,K2CO3,3.284,0.007,False,[52535]
mp-554072,K2CO3,3.620,0.002,False,[662]
mp-3963,K2CO3,3.639,0.000,False,"[10191, 66943]"
mp-1212010,K2DyF5,6.752,0.000,True,[]
mp-17371,K2ErF5,6.798,0.000,False,[20404]
mp-642655,K2GdF5,4.512,0.000,False,[60085]
mp-974713,K2H4Pt,3.263,0.000,False,"[638221, 201992]"
mp-24589,K2HBrO,3.529,0.000,False,[78734]
mp-1201301,K2Hf2O5,4.432,0.000,False,[180185]
mp-1212022,K2HoF5,6.778,0.000,True,[]
mp-1019777,K2La2B2O7,4.203,0.000,False,[174543]
mp-17208,K2Li14Zr3O14,4.281,0.000,False,[65445]
mp-17774,K2Li3GaO4,3.419,0.000,False,[35290]
mp-557632,K2LiBO3,3.623,0.000,False,[60949]
mp-759900,K2LiNbO4,4.096,0.000,True,[]
mp-1111110,K2LiScF6,6.773,0.000,True,[]
mp-31212,K2MgF4,6.410,0.000,False,[33519]
mp-23956,K2MgH4,3.452,0.000,False,"[68358, 93378]"
mp-15171,K2MgSiO4,4.003,0.000,False,[83226]
mp-680381,K2Na2Gd4Nb2O13,3.170,0.000,False,"[94744, 380307]"
mp-1201519,K2Na2Nd4Nb2O13,3.759,0.000,False,[380309]
mp-1200960,K2Na2Sm4Nb2O13,3.758,0.000,False,[380306]
mp-1198935,K2Na2Sm4Ta2O13,3.971,0.000,False,[308311]
mp-6058,K2NaScF6,6.758,0.000,False,"[22112, 65730]"
mp-1211860,K2NdF5,6.673,0.000,True,[]
mp-15379,K2SiO3,3.744,0.000,False,[201163]
mp-17434,K2SmF5,6.705,0.000,False,[20118]
mp-1211691,K2TbF5,6.791,0.000,True,[]
mp-1211547,K2ThO3,3.724,0.000,True,[]
mp-13133,K2TiO3,3.412,0.000,False,[162216]
mp-1211536,K2TmF5,6.803,0.000,True,[]
mp-17077,K2YF5,6.808,0.000,False,[20692]
mp-695998,K2ZnH4,4.127,0.000,False,"[79584, 187277, 658386]"
mp-18449,K2ZrO3,3.664,0.000,False,[16264]
mp-1211654,K3DyF6,6.436,0.000,True,[]
mp-16595,K3DySi2O7,3.706,0.000,False,[412523]
mp-1211695,K3ErF6,6.506,0.000,True,[]
mp-16597,K3ErSi2O7,3.738,0.000,False,[412525]
mp-680437,K3GdSi2O7,3.142,0.000,False,[412521]
mp-1211714,K3HoF6,6.492,0.000,True,[]
mp-16596,K3HoSi2O7,3.722,0.000,False,[412524]
mp-561474,K3LiSiO4,3.673,0.000,False,[65291]
mp-1211659,K3Lu(BO3)2,3.280,0.000,True,[]
mp-1211665,K3LuF6,6.483,0.000,True,[]
mp-557543,K3LuSi2O7,3.612,0.000,False,[412528]
mp-17850,K3NaTh2O6,3.667,0.000,False,[38325]
mp-1211700,K3Nd(BO3)2,3.367,0.000,True,[]
mp-8614,K3NdSi2O7,3.556,0.000,False,[62179]
mp-14565,K3P6N11,3.996,0.000,False,[50211]
mp-557753,K3PO4,4.002,0.000,False,[158801]
mp-1111079,K3ScF6,6.163,0.000,True,[]
mp-557577,K3ScSi2O7,3.638,0.000,False,[413432]
mp-1212001,K3Si6H6N11,3.106,0.000,True,[]
mp-559574,K3Sm(BO3)2,3.418,0.000,False,[245924]
