material_id,pretty_formula
mp-1194624,K2Pb3C3O9F2
mp-1223759,K2MgZr(MoO4)4
mp-40143,Cs2KZrOF5
mp-696630,K2MnH2OF5
mp-1198325,KMnP(OF)3
mp-1211727,K2RbYbV2O8
mp-644015,KVHSe2O7
mp-15541,KNa2Si12(BO10)3
mp-722684,KAlP4(H2O7)2
mp-698655,KMgIn(MoO4)3
mp-1178149,K3MnPCO7
mp-695298,K22Nb13In11(PO5)24
mp-560322,K2RuN3Cl3O5
mp-866662,K5La4Si4O16F
mp-1201463,K4Mn3P6(HO3)8
mp-42091,K3Sn2S3ClO12
mp-1224541,K2TiCr(PO4)3
mp-21331,K2RbGdV2O8
mp-1213137,CsK2LaV2O8
mp-554643,K2SbSO4F3
mp-707782,K6Zr3H8(OF)12
mp-1203993,K2Na2Eu4Ta2O13
mp-645301,K2CoP2WO10
mp-676934,KCaNd(PO4)2
mp-775466,K2InSi4HO11
mp-1194865,KMgFe(PO4)2
mp-1195894,K9Li3Nd3(BO3)7
mp-1224543,K2NbV(PO5)2
mp-24835,K2MgCr2(H2O5)2
mp-704360,K6Na2V2S7O30
mp-18838,K2MnSO4F3
mp-697910,K2SiH4(NO)2
mp-758391,KMn2P2HO9
mp-1211692,KCaEr2CuS5
mp-1211711,KNa2Ga3(SiO4)3
mp-861957,KNaSmTaO5
mp-560541,K3Na3Nb8(PO7)5
mp-1213422,CsKZr6BCl15
mp-24133,K2NiH12(SO7)2
mp-723378,KAlH6(OF3)2
mp-735566,KFe2P2H5O11
mp-1211720,K2RbErV2O8
mp-555060,K9Eu3Si12(O16F)2
mp-557470,K2Sb2S(O2F3)2
mp-709186,K4LiH3(SO4)4
mp-1192490,K5Pr4Si4O16F
mp-1211702,K2RbDyV2O8
mp-761179,K2NiP4(HO2)8
mp-561222,K2HgBr2(NO6)2
mp-756981,K2SbPCO7
mp-1197395,K2Mn3H6S3O16
mp-1198935,K2Na2Sm4Ta2O13
mp-24340,K3GeH3S3O2
mp-6834,KFePO4F
mp-695800,KScAs2(HO4)2
mp-761185,KPH3O4F
mp-1211929,K2TeMo2(PO7)2
mp-561529,KEu2Si4O10F
mp-1211577,KSr2Si4O10F
mp-1019774,K2CeAl(SiO3)4
mp-554726,KNaCu3S3O13
mp-677250,K2LuZr(PO4)3
mp-861868,KNaLaTaO5
mp-556438,KNaSmNbO5
mp-1198462,KNaNbOF5
mp-557941,K4AsH5S3O16
mp-510562,KMnP3HO10
mp-554673,KZnB(PO4)2
mp-505771,K2NaH5(CO4)2
mp-644334,K2CoH4(SeO5)2
mp-1193724,KZn2P2HO8
mp-773453,K2FePCO7
mp-1195006,K2Mn3V2CO11
mp-15079,Cs4KLiGa2F12
mp-23149,K4Al3Si3ClO12
mp-510629,K2Co3H6S3O16
mp-1211717,K2RbTmV2O8
mp-554248,KNaMn(Si2O5)2
mp-557863,K2Ag4Pt3(NO2)12
mp-1223694,KBaV3Cd2O11
mp-696528,KPH3NO3
mp-1205183,KFe2P3(O4F3)2
mp-1211434,KMg3V3CuO12
mp-758597,K2TiSi3(HO5)2
mp-1194804,K2Th3Mg(MoO4)8
mp-677017,KRb5Zn4Sn5S17
mp-561037,K8UCr4(NO12)2
mp-1178146,K2TlPCO7
mp-684010,K8Ti5P2(O4F11)2
mp-733853,K2HI2ClO6
mp-532656,K2FeSn(PO4)3
mp-560966,K2RuNCl5O
mp-1223526,KBaB(PO4)2
mp-1224589,K2Mg3Zn2(Si2O5)6
mp-1225542,K6Sr2Ni5(P2O7)5
mp-6870,KBe2BO3F2
mp-560688,K4V5CdClO15
mp-758527,K3ErSi3(HO5)2
mp-1212024,K2ScSn(AsO4)3
mp-14484,KNaLi2(SO4)2
mp-695069,K5HfIn(MoO4)6
mp-555398,K2MgP2WO10
mp-9468,KCa9Mg(PO4)7
mp-723540,K6BiH3(Cl2F)4
mp-542266,KSmP3HO10
mp-8564,CsK2Sc(PO4)2
mp-1203386,K2H3IrNCl5
mp-644285,KAlH2CO5
mp-772808,K2BiPCO7
mp-1211841,KH8W(NF3)2
mp-39938,K2Re3CS5N
mp-1225259,K5Mo8As(H3O16)2
mp-723043,K2TeH6SeO10
mp-759030,KSmH4(N2O7)2
mp-1198799,K2EuSi4O10F
mp-532727,K2YZr(PO4)3
mp-1078186,KZn2BCl2O3
mp-680381,K2Na2Gd4Nb2O13
mp-24009,KCr3H6(SO7)2
mp-695887,K3Cu2P4HO14
mp-861607,KNaNdTaO5
mp-1181784,K2MgMo2(H2O5)2
mp-677520,KBa6Zn4(GaO3)7
mp-720729,K3Fe3P4H2O17
mp-554157,KNaZnP2O7
mp-556764,K2UMo(IO6)2
mp-1223640,KBaCr2(PO4)3
mp-581225,KLiNd2(MoO4)4
mp-510545,K2BeH4(SO5)2
mp-20737,KNaEuNbO5
mp-554043,KCa9Mn(PO4)7
mp-558532,K2PtN3(ClO2)3
mp-1223429,KNaP6(PbO3)8
mp-556606,K2BiMoPO8
mp-561000,Cs4KLiFe2F12
mp-694852,K5RbZn4Sn5S17
mp-1224486,K3Mn4P5H3O20
mp-532755,K4MgFe3(PO4)5
mp-1211416,KMg3Cu(AsO4)3
mp-707485,K4Cu3As4(HO8)2
mp-759928,K3TbSi3(HO5)2
mp-1211699,K2RbLuV2O8
mp-1223595,KCr12Si8ClO28
mp-641018,CsK5Zn4Sn5S17
mp-773432,KMnPCO7
mp-720110,KRe3Os3(Se4Cl3)2
mp-1211510,KLiSm2(MoO4)4
mp-1226339,K5Mn2B2P5O21
mp-758551,K3EuSi3(HO5)2
mp-1203080,K2AlSO4F3
mp-1224080,KCa2Mg2V3O12
mp-42190,K2NaTiOF5
mp-758619,KPHO3F
mp-680168,K2Re3C2Se5N2
mp-746371,KCo2As2HO8
mp-555392,K6NaAu2IO8
mp-558240,K3Al4P2O8F9
mp-555155,KNa2Y(Si2O5)3
mp-1211745,K2RbScV2O8
mp-1195899,K2CoP4(HO2)8
mp-1224290,K4TiSn3(PO5)4
mp-554164,KLiZnP2O7
mp-743671,K4Ti3Mn(PO4)6
mp-1194949,KFeNi(PO4)2
mp-579086,KSrNb2O6F
mp-1197978,K2BiH4Cl5O2
mp-560601,K2CuS(ClO2)2
mp-557200,K4Nb11Al2O20F
