material_id,pretty_formula
mp-1019775,K2Ge(S2O7)3
mp-1019777,K2La2B2O7
mp-1019789,K3B(SO4)3
mp-1019797,K5B(SO4)4
mp-1019804,KB(SO4)2
mp-1019805,KB(S2O7)2
mp-1019889,KSi2BO6
mp-1079339,K2NaMnF6
mp-1079645,K2CdSnSe4
mp-10973,K2Ga3CuSe6
mp-1104232,K3Ca(PO4)2
mp-1104363,K3ScV2O8
mp-1111110,K2LiScF6
mp-1111126,K2LiLuCl6
mp-1111621,K2NaScCl6
mp-1111658,K2LiTlF6
mp-1111671,K2LiInF6
mp-1111923,K2LiRuF6
mp-1111927,K2LiCrF6
mp-1111928,K2LiAsF6
mp-1111949,K2AlAgF6
mp-1111950,K2AgRhF6
mp-1112229,K2LuCuCl6
mp-1112689,Cs2KTmCl6
mp-1112760,Cs2KLuCl6
mp-1112787,Cs2KCeBr6
mp-1112792,Cs2KAsBr6
mp-1113037,Cs2KPdF6
mp-1147551,KCuTeO6
mp-1147553,KCuIO6
mp-11602,KY2CuS4
mp-11604,KSm2CuS4
mp-11625,KCa(PO3)3
mp-11643,K2Mg(PSe3)2
mp-1180593,KH3(SeO3)2
mp-1180718,KSn2(PO4)3
mp-1188845,K2Ag2GeSe4
mp-1189091,K3B6ClO10
mp-1192188,KHo(WO4)2
mp-1192306,K2U(PdS2)3
mp-1192668,KV3Ge2O9
mp-1193412,KSnPS4
mp-1194433,K3NaOs2O9
mp-1194626,KCoAs3F18
mp-1194826,K2CdSnS4
mp-1194980,KY(TeO3)2
mp-1195072,K2Zn(SnSe3)2
mp-1195089,KMgAs3F18
mp-1195253,KIn(TeO3)2
mp-1195296,KSb(SO4)2
mp-1195305,K4Ge(PS3)4
mp-1195357,K4Yb2Si8O21
mp-1195407,KBOF2
mp-1195515,K2U(Si2O5)3
mp-1195538,K2ScP2Se7
mp-1195548,K2Th(AsO4)2
mp-1195606,K2Zn3(SeO3)4
mp-1195778,K2Mn3(AsO4)3
mp-1196758,KCd(BO2)3
mp-1197125,K3Al2(AsO4)3
mp-1197369,K16Na9(Tl6Cd)3
mp-1197797,K3Ta2Cu3S8
mp-1198481,KAsW2O9
mp-1198979,K6Na14MgTl18
mp-1200142,KPr(PO3)4
mp-1200554,KTa3(TeO6)2
mp-12011,KTbGeS4
mp-12015,KAg2AsO4
mp-1201694,K2Tc9O27F11
mp-1202514,K4Ca(SiO3)3
mp-1203145,K3Yb(SO4)3
mp-1203391,K4Sr(SiO3)3
mp-1203541,KGa(SeO3)2
mp-1203661,KRb2CrF6
mp-1203991,K2Pd(S4O13)2
mp-1205075,KBa2Cd2Sb3
mp-1205512,KBa2IO6
mp-1206641,KTl2GaF6
mp-1207104,Cs2KHoCl6
mp-1211247,KYBeF6
mp-1211249,KTb(CO3)2
mp-1211257,KTl(SO4)2
mp-1211301,KSm(CO3)2
mp-1211306,KSm(MoO4)2
mp-1211320,KRb2InF6
mp-1211333,KSm(WO4)2
mp-1211338,KTm(CO3)2
mp-1211368,KLaCuTe4
mp-1211409,KTb(MoO4)2
mp-1211413,KMo2(P2O7)2
mp-1211425,KPr(WO4)2
mp-1211497,KSc(WO4)2
mp-1211517,KLu(CO3)2
mp-1211525,KZr6BI14
mp-1211532,KTm(MoO4)2
mp-1211538,KNdTiO4
mp-1211556,KHo(MoO4)2
mp-1211601,KEr(MoO4)2
mp-1211641,KLa(SeO4)2
mp-1211647,K2PrNb5O15
mp-1211656,KCr(SO4)2
mp-1211659,K3Lu(BO3)2
mp-1211681,KSm(SeO4)2
mp-1211700,K3Nd(BO3)2
mp-1211747,K2Zr6BeCl15
mp-1211748,K3Ta2AsS11
mp-1211761,K3Zr6BeCl15
mp-1211782,KZr6NCl15
mp-1211783,KAgTeS3
mp-1211804,K6Na14Tl18Cd
mp-1211819,K3Hf4Ag2F23
mp-1211829,KCe(SO4)2
mp-1211836,K8Zr6BeBr20
mp-1211883,K5In4(Ge3As7)2
mp-1211901,KLaTiO4
mp-1211936,K5Ta(TlAs2)2
mp-1211941,K2TiZnO4
mp-1212001,K3Si6H6N11
mp-1212002,KEr(SeO4)2
mp-1212005,KLiWO4
mp-1212020,K8Zr6MnBr20
mp-1212053,K2MgGeO4
mp-1212266,K2Th(NO3)6
mp-1212816,KGd(SeO4)2
mp-1212978,K7Nb14(P3O20)3
mp-1213357,K3Sm2(NO3)9
mp-1213396,KGaGeO4
mp-12194,K2Zn2(MoO4)3
mp-1223321,KTaSi2O7
mp-1223353,KRb(InAu2)4
mp-1223442,KSnAuSe3
mp-1223468,KTaW2O9
mp-1223469,KLiZn3O4
mp-1223493,KBa2Nb3O9
mp-1223506,KBa2Bi2O7
mp-1223540,KNb3(PO5)3
mp-1223560,KH2(IO3)3
mp-1223605,KPr5(CCl5)2
mp-1223607,KAs3(PbO3)4
mp-1223632,KNa2WN3
mp-1223690,KAgSnSe3
mp-1223800,K2NbO3F
mp-1223853,K2Zr(PO4)2
mp-1223855,K2SnHgTe4
mp-1223905,K2Ti(TeO4)3
mp-1224039,K4BaNb5O15
mp-1224049,K3H(SeO4)2
mp-1224063,K4Ba2SnAs4
mp-1224145,K2Mo2P2O11
mp-1224154,K2P2PdO7
mp-1224161,K2Mg5(Si2O5)6
mp-1224236,K3W2(O2F3)2
mp-1224276,K2VOF4
mp-1224518,KGd(NbCl3)6
mp-1224600,K10Mn4Sn4S17
mp-1224616,K5U(PS4)3
mp-1224638,K10NbInAs6
mp-12376,KYbSiS4
mp-13687,Cs2KAgF6
mp-13798,K2NaTlF6
mp-14036,KRb2RhF6
mp-14039,K2NaRhF6
mp-14058,KMg(PO3)3
mp-14316,KPr(SeO4)2
mp-14324,K2Na4Be2O5
mp-14334,K2RbPdF5
mp-14352,KGeSbO5
mp-14377,KTaGeO5
mp-14383,KGePO5
mp-14429,CsK4GaO4
mp-14665,KNd(SO4)2
mp-14721,KSiSbO5
mp-15107,KSnAsO5
mp-15553,KGd2CuS4
mp-15598,K2Ni2(SO4)3
mp-15600,K2Ca2(SO4)3
mp-16382,KCd6P7O24
mp-16559,KHo2CuSe4
mp-16560,KEr2CuSe4
mp-16599,K3YbSi2O7
mp-16690,K2NdP2S7
mp-16780,KBaNbS4
mp-16799,K3NdV2O8
mp-16812,KVP2O7
mp-16847,K3Na2SnP3
mp-16871,K2ZrGe2O7
mp-16955,K2Li3FeO4
mp-17187,K3Nd(PO4)2
mp-17208,K2Li14Zr3O14
mp-17306,KMo3(PO7)2
mp-17307,K2Hg3(GeSe4)2
mp-17375,K2Na3TlO4
mp-17439,KSm(PO3)4
mp-17522,K4Rb2Co2O5
mp-17774,K2Li3GaO4
mp-17839,K3Na(SeO4)2
mp-17850,K3NaTh2O6
mp-17870,KYb(WO4)2
mp-17888,K2Zr3OF12
mp-17902,K3Na(RuO4)2
mp-18115,K2Sn2Hg3S8
mp-18184,KYbP2O7
mp-18203,KGe2(PO4)3
mp-18251,K2MnV2O7
mp-18387,KCrP2O7
mp-18429,KAg(NO3)2
mp-18447,K3Na2SnAs3
mp-18460,K2Si6GeO15
mp-18555,KEr(SO4)2
mp-19189,K2Co(SeO3)2
mp-19352,KAl(MoO4)2
mp-21097,KLaGeSe4
mp-21510,K2NaInAs2
mp-21542,K2CeTa5O15
mp-21557,K3Ce(PS4)2
mp-21705,K2In3AgSe6
mp-22634,K4SrU3O12
mp-22809,KCeSiS4
mp-23083,KAs4BrO6
mp-23136,KBi(WO4)2
mp-23572,KBiP2S7
mp-23612,K3B6BrO10
mp-23634,KSbClF3
mp-23800,KHSO4
mp-23959,KP(HO2)2
mp-24589,K2HBrO
mp-504863,KNa2FeO3
mp-504962,K2Na3InO4
mp-505040,Cs2K4Fe2O5
mp-505285,K2CoSiO4
mp-505431,K2LiInAs2
mp-510264,KY(WO4)2
mp-540631,KTa(GeO3)3
mp-540729,Cs2KCoF6
mp-540753,KCe(PO3)4
mp-540876,KTh2(PO4)3
mp-540962,KLa(PO3)4
mp-541393,K3NaRe2O9
mp-541459,KSnPO5
mp-541508,KVPbO4
mp-541520,KV3(SeO6)2
mp-541915,K2Ag(AsSe2)3
mp-542181,K3EuV2O8
mp-542332,K2Cu(CO3)2
mp-542558,KUCrO6
mp-542972,KNb2PS10
mp-545469,KV(SO4)2
mp-553975,K3Na2InO4
mp-554034,KLa2NbO6
mp-554057,KPr(SO4)2
mp-554148,KFe(MoO4)2
mp-554168,KRb2MoF6
mp-554252,K2NaCrF6
mp-554554,K9Bi(PS4)4
mp-554581,KSmP2S7
mp-554684,K2SrV3O9
mp-554741,KErP2S7
mp-554783,KUN3O11
mp-554818,KTe3O6F
mp-554835,KZrVF7
mp-554859,KGeAuS3
mp-554864,K2Ni(MoO4)2
mp-555076,KNaSnF6
mp-555085,KAu(NO3)4
mp-555150,KTa(BO3)2
mp-555206,KLiCrO4
mp-555318,K2Zn(SiO3)2
mp-555354,KMn(SeO4)2
mp-555364,KVS2O9
mp-555393,KBi6BrO9
mp-555490,KRe2O4F7
mp-555554,KGa(PO3)4
mp-555568,K2Zn(Si2O5)2
mp-555576,KNaS2O7
mp-555605,KMnPO4
mp-555607,K8Hf(MoO4)6
mp-555710,K5In(MoO4)4
mp-555717,K2Nd2IrO7
mp-555776,K3Sc(MoO4)3
mp-555866,K6Be4C6O19
mp-555898,K2Cr3(ClF3)2
mp-555914,K2CaP2O7
mp-556059,K2Ni(NO3)4
mp-556136,KMoIO6
mp-556250,KSrB5O9
mp-556254,K4Pt2(SO4)5
mp-556374,K2U3(IO5)4
mp-556400,Cs2K2TeO5
mp-556518,K2Pd(NO3)4
mp-556552,K4VP2S9
mp-556609,KSb(PS3)2
mp-556623,K2TiOF4
mp-556719,K2Ti(SiO3)3
mp-556756,KSb2PO8
mp-556902,KLi4NbO5
mp-556966,KSrVO4
mp-557133,Cs2KMoF6
mp-557183,KNaZnO2
mp-557231,KTeO2F
mp-557237,K5In3(SiO3)7
mp-557268,KLi4AlO4
mp-557301,K2Ti(Si2O5)3
mp-557365,K6U5V2O23
mp-557411,KRb2VF6
mp-557442,K2Mo2H8O15
mp-557472,K2Be2(SiO3)3
mp-557473,K5LiGe2O7
mp-557543,K3LuSi2O7
mp-557577,K3ScSi2O7
mp-557698,K4Na2TeO6
mp-557711,K3Nb3(BO6)2
mp-557743,KCaAl2F9
mp-557747,K2SrP2O7
mp-557798,K5Li2NdF10
mp-557872,K4MoS3O14
mp-557918,KGaAs2O7
mp-557947,KV2PO8
mp-557981,KCoPO4
mp-558030,KMo2Cl7O2
mp-558062,K6Ti2S6O
mp-558075,K2U(MoO5)2
mp-558102,KLiSi2O5
mp-558121,K4Ba(VS4)2
mp-558128,KNd2NbO6
mp-558227,K2RbMn2F7
mp-558324,K2Ni4P4O15
mp-558415,K3CuP2S7
mp-558483,K4LiIO6
mp-558628,KLi2BO3
mp-558666,KVOF4
mp-558674,K2NaFeF6
mp-558707,K2UAs2O9
mp-558825,K4Mn(MoO4)3
mp-558826,KHoBeF6
mp-558886,K2Ce(NO3)6
mp-558895,Cs2KVF6
mp-558932,KNiAs3F18
mp-558956,K2VPO6
mp-559020,KBi(PO3)4
mp-559043,KLaGeS4
mp-559067,KNa2AuO2
mp-559106,KLi3PbO4
mp-559142,KLi(PO3)2
mp-559163,KFeAs2O7
mp-559242,KNaMnO2
mp-559454,Cs2KFeF6
mp-559456,KNd(WO4)2
mp-559489,K2ZrSi2O7
mp-559516,K3Nb(SO4)4
mp-559574,K3Sm(BO3)2
mp-559878,K2Na2IrO4
mp-559880,K2Ag6Sn3S10
mp-559932,KTeOF3
mp-560208,K3NbAs2O9
mp-560268,K2Mo3(AsO5)4
mp-560292,KEu(PO3)4
mp-560398,K2Zn(GeO3)2
mp-560406,K8Zr(MoO4)6
mp-560407,KNbSi2O7
mp-560419,KZn4(PO4)3
mp-560420,K3Bi2(PO4)3
mp-560465,K11LiMn4O16
mp-560548,KNi3As3O11
mp-560629,K3Al2(PO4)3
mp-560675,K6Cu(SiO4)2
mp-560739,K3Li3TeO6
mp-560767,KNaTiO3
mp-560785,K2Y4Sn2S11
mp-560812,KU2(PO4)3
mp-560861,Cs2KMnF6
mp-561144,K3CaV5O15
mp-561202,K6NbAs3O
mp-561267,KFePO4
mp-561288,K3LiIrO4
mp-561311,K2P2WO9
mp-561312,KHfCuF7
mp-561369,K3Bi2(AsO4)3
mp-561406,K3Nb6VO19
mp-561474,K3LiSiO4
mp-561478,KSbMoO5
mp-561512,K4Cu4Cl10O
mp-561525,K2Ga2B2O7
mp-561539,K2Mn2(SO4)3
mp-561561,Cs2KRhF6
mp-562074,CsK4TlO4
mp-562137,KLiCO3
mp-565929,K2EuTa5O15
mp-566325,KEu(MoO4)2
mp-567177,KNb(AgSe2)2
mp-567322,KSm2Sb3Se8
mp-567836,K2NaBP2
mp-568011,K3P5RuSe10
mp-568329,K3Na2SnBi3
mp-568343,KPr6OsI10
mp-568357,K4La6OsI14
mp-568611,KCuPSe3
mp-568855,K2Hg(PSe3)2
mp-568904,KTh(SbSe3)2
mp-568916,K6InTe4Cl
mp-568968,K2SnHgSe4
mp-569435,KBi(PSe3)2
mp-569806,K5Na(Ti2Se9)3
mp-570158,KRb3CdCl6
mp-570311,K4Sr2SnAs4
mp-570836,K5Ag2(AsSe3)3
mp-571124,Cs2KScCl6
mp-571240,KLa5(CCl5)2
mp-571288,KTa(AgSe2)2
mp-571371,CsK2BiCl6
mp-571544,KTiPSe5
mp-572298,Cs2KMn3F12
mp-573202,K3Ta2Ag3S8
mp-581115,K3Nb2Ag3S8
mp-582161,K3Ta2Ag3Se8
mp-5997,KMn6P7O24
mp-6013,KTa(CuSe2)2
mp-6059,Cs2KYF6
mp-606691,KU2P3O14
mp-608014,K2Ge2Pb2O7
mp-6168,K3Nb2CuSe12
mp-619092,K2Fe2As2O9
mp-6268,KTiPO5
mp-628185,K3NaSn3Se8
mp-628305,K2MnSnSe4
mp-628735,KEuPS4
mp-628804,K2EuSiSe5
mp-633668,K23Na8(CdIn4)12
mp-638150,KPPbS4
mp-6386,K2ZnGeO4
mp-640227,KEu(WO4)2
mp-642313,K3Y3(BO3)4
mp-6441,K2PO3F
mp-645555,KUVO6
mp-6488,KTiAsO5
mp-649470,K3Nd2(NO3)9
mp-649608,K3Pr2(NO3)9
mp-650532,Cs2K2Cd3O5
mp-651434,K2Mn2(MoO4)3
mp-653182,K4US3O14
mp-6560,KSO2F
mp-6586,K2NaAlF6
mp-667288,K2P4PbO12
mp-667292,K2MgSi5O12
mp-669410,K2Mn(SnSe3)2
mp-6724,K2Cd2(SO4)3
mp-6755,KSn4(PO4)3
mp-6800,KLiSO4
mp-680045,K2CeAg3Te4
mp-6805,K3Ga2(PO4)3
mp-683905,K3Ta2AsSe11
mp-695892,KH(IF6)2
mp-696683,K3SnHF8
mp-6968,Cs2KCuF6
mp-697670,KAlSi3O8
mp-699937,K2Mn2Be3F12
mp-706621,KB5(H2O3)4
mp-707463,KNaReH9
mp-707536,KHSeO4
mp-7147,KCrP2S7
mp-7148,K2SrTa2O7
mp-7324,KBePO4
mp-733468,K2PHO4
mp-753940,KLiMnS2
mp-759183,K2Mg(H2N)4
mp-759900,K2LiNbO4
mp-767165,K2LiVS4
mp-773066,KTa2PO8
mp-8263,KNa2BO3
mp-861606,KLaSiSe4
mp-861926,KGd2CuSe4
mp-861938,KLaSiS4
mp-862780,K2InP2S7
mp-865937,KNpAgS3
mp-866639,KSr2Cd2Sb3
mp-866641,K2Na(H2N)3
mp-866646,KGeBiS4
mp-866651,KSiBiS4
mp-866660,K3P2AuSe8
mp-866661,K3Dy(AsS4)2
mp-866664,K8Zr6BBr20
mp-867419,KEuAsS4
mp-8900,K2VAgS4
mp-9059,KLi6TaO6
mp-9230,KAlAs2O7
mp-9317,KZrCuS3
mp-9318,KZrCuSe3
mp-9511,K2AsAuS4
mp-9637,K3NpO2F5
mp-9666,K2NaGaP2
mp-9703,K2LiGaAs2
mp-975577,K3La(AsO4)2
mp-9763,K2NbCuS4
mp-977368,K2Dy4Cu4Se9
mp-978099,K3Gd(PO4)2
mp-9804,KHo(CO3)2
mp-9805,KYb(CO3)2
mp-9870,K3Ta3(BO6)2
mp-989531,Cs2KGaF6
mp-989585,Cs2KPbF6
mp-989591,K2BrCl6F
mp-10091,KV(CuSe2)2
mp-1019746,K2Ca4Si8O21
mp-1019793,K3La(PO4)2
mp-1019794,K3LiP2O7
mp-1019806,KMg6P7O24
mp-1019888,KNa2BN2
mp-1023132,K2Cu(ClF)2
mp-10382,KEuPSe4
mp-10776,K2Sn(AsS3)2
mp-1079871,Cs2KSmCl6
mp-1097997,KEu(GeO3)2
mp-1104447,KGdGeS4
mp-1106233,KNb(CuS2)2
mp-1111106,K2NaGaF6
mp-1111108,K2NaAsF6
mp-1111112,K2LiGaF6
mp-11114,KCuPdSe5
mp-1111627,K2NaPdF6
mp-1111639,K2NaLuCl6
mp-1111649,K2NaScBr6
mp-1111665,K2LiRhF6
mp-1111926,K2LiIrF6
mp-1111932,K2LiScCl6
mp-1111986,K2LuAgCl6
mp-1112448,K2ScAgCl6
mp-1112583,Cs2KRuF6
mp-1112690,Cs2KYCl6
mp-1112710,Cs2KScI6
mp-1112754,Cs2KPrBr6
mp-1112758,Cs2KNdBr6
mp-1112759,Cs2KInCl6
mp-1112785,Cs2KDyCl6
mp-1113046,Cs2KInBr6
mp-1113049,Cs2KGdCl6
mp-1113058,Cs2KErCl6
mp-11603,KNd2CuS4
