material_id,pretty_formula
mp-1002123,KZrS2
mp-1003314,KMn2O4
mp-1006888,KYS2
mp-1006891,KSmSe2
mp-1007636,KLuS2
mp-1016153,KMn8O16
mp-1018137,KEuS2
mp-1018652,KCdSb
mp-1019089,KMgAs
mp-1019796,K4P2O7
mp-1024073,K2Sn3O7
mp-1025158,K2PuO4
mp-1025162,K2NpO4
mp-1029404,KGe2N3
mp-1029815,KMoN2
mp-1029863,K15Re7N19
mp-10381,K2CuSb
mp-10417,KSbO2
mp-1068941,K2PdS2
mp-1079513,K2As2Pt
mp-1080221,KMn16O32
mp-1080452,KCd4As3
mp-1084770,K2BiAu
mp-1087504,KZn4P3
mp-10914,K3Cu5O4
mp-1095079,K3AlF6
mp-1095186,K(NpSe3)2
mp-1103869,KCr5Te8
mp-1103956,K(TeMo)3
mp-1104293,K2AgF4
mp-1106094,KCO3
mp-1111079,K3ScF6
mp-1111421,K3LuCl6
mp-1111695,K3CrF6
mp-1120730,K3(CuS)4
mp-1120789,K6Sn2S7
mp-1147626,K6ZnSe4
mp-1147664,K2Zn3S4
mp-1147773,K2ZnS2
mp-1147776,K3VSe4
mp-11739,KLaTe2
mp-1178133,KSmO2
mp-1178135,KLuO2
mp-1178141,KDyO2
mp-1185015,KNpO3
mp-1188829,KTeP2
mp-1191100,K2Zn5As4
mp-1191206,K6HgSe4
mp-1192374,K(GeAs)3
mp-1192552,KAsO3
mp-1193111,K3AsS3
mp-1194266,K3SbS3
mp-1195471,K2Ta4O11
mp-1196816,K5In3F14
mp-1197539,K3AsSe4
mp-1200675,KIO3
mp-1201270,KErF4
mp-1201301,K2Hf2O5
mp-1201514,K2RuO5
mp-1201533,K9FeS7
mp-1201536,K12Sn4Au21
mp-1201545,K2LaCl5
mp-1202279,KHoF4
mp-1202353,K2PS3
mp-1203502,KTi4Cl11
mp-1203532,K4Ag18Te11
mp-1204061,K4As2Se5
mp-1204657,K8Tl10Zn
mp-1205449,K3TiCl6
mp-1205548,KSrI3
