entry_id,pretty_formula
mp-1007636,KLuS2
mp-1184905,K
mp-145,Lu
mp-1007636,KLuS2
mp-1022,K2S
mp-1184905,K
mp-14018,K3As
mp-1184905,K
mp-126,Pt
mp-8700,K2Au3
mp-569940,K3Bi
mp-1184905,K
mp-8426,K2Se
mp-1184905,K
mp-11534,Np
mp-1747,K2Te
mp-1184905,K
mp-90,Cr
mp-1201270,KErF4
mp-1184905,K
mp-99,Er
mp-1211695,K3ErF6
mp-1184905,K
mp-463,KF
mp-17371,K2ErF5
mp-1201270,KErF4
mp-1184905,K
mp-17371,K2ErF5
mp-1211695,K3ErF6
mp-1184905,K
mp-1184905,K
mp-72,Ti
mp-23193,KCl
mp-1212012,K10Tl7
mp-1184905,K
mp-784,KZn13
mp-1747,K2Te
mp-1184905,K
mp-2,Pd
mp-1184905,K
mp-113,Tc
mp-23251,KBr
mp-1184905,K
mp-2364,PaO2
mp-10740,Pa
mp-1206970,KPaO3
mp-1184905,K
mp-2364,PaO2
mp-971,K2O
mp-1206970,KPaO3
mp-1184905,K
mp-2732,PRh2
mp-1184905,K
mp-74,Rh
mp-12098,K(PRh)2
mp-28424,K4P3
mp-1184905,K
mp-12098,K(PRh)2
mp-2732,PRh2
mp-1184905,K
mp-1184905,K
mp-76,Sr
mp-23251,KBr
mp-1184905,K
mp-613989,Pu
mp-463,KF
mp-1184905,K
mp-865934,YbF2
mp-463,KF
mp-1184905,K
mp-865934,YbF2
mp-162,Yb
mp-1211645,K3TmF6
mp-1184905,K
mp-463,KF
mp-1202753,KTmF4
mp-1184905,K
mp-143,Tm
mp-1211536,K2TmF5
mp-1211645,K3TmF6
mp-1184905,K
mp-1211536,K2TmF5
mp-1202753,KTmF4
mp-1184905,K
mp-1211691,K2TbF5
mp-1184905,K
mp-11698,Tb
mp-1211691,K2TbF5
mp-1184905,K
mp-463,KF
mp-1184905,K
mp-113,Tc
mp-24084,KH
mp-1184905,K
mp-69,Sm
mp-23251,KBr
mp-1184905,K
mp-134,Al
mp-23251,KBr
mp-8700,K2Au3
mp-1184905,K
