material_id,pretty_formula,FullWindow
mp-2675,MgNi2,True
mp-23,Ni,True
mp-2137,Mg2Ni,True
mp-1185599,Mg149Ni,True
mp-1094122,Mg,True
mp-1179656,Rb,True
mp-10172,Na,True
mp-1184151,Cs,True
mp-286,YbSe,True
mp-972364,Yb,True
mp-90,Cr,True
mp-867200,Pm,True
mp-1018122,Tm,True
mp-697068,SiPd2,True
mp-20622,SiPd3,True
mp-505071,Si2Pd9,True
mp-2,Pd,True
mp-35,Mn,True
mp-1203760,Si7Tc4,True
mp-1079910,SiTc,True
mp-113,Tc,True
mp-1072399,Be5Pt,True
mp-126,Pt,True
mp-87,Be,True
mp-13,Fe,True
mp-2197,BaHg,True
mp-8094,Ba2Hg,True
mp-122,Ba,True
mp-38,Pr,True
mp-1185570,Mg149Pb,True
mp-1185637,Mg149Sn,True
mp-2364,PaO2,True
mp-10740,Pa,True
mp-1187073,Sr,True
mp-10658,Dy,True
mp-11698,Tb,True
mp-865934,YbF2,True
mp-1958,SrTe,True
mp-134,Al,True
mp-155,Gd,True
mp-44,U,True
mp-571261,Pu,True
mp-72,Ti,True
mp-19876,InNi,True
mp-54,Co,True
mp-12174,HfNi3,True
mp-1018056,HfNi,True
mp-103,Hf,True
mp-30849,TaPt2,True
mp-50,Ta,True
mp-567638,TaPt3,True
mp-131,Zr,True
mp-75,Nb,True
mp-253,ScCo2,True
mp-2212,ScCo,True
mp-27162,Sc3Co,True
mp-67,Sc,True
mp-8,Re,True
mp-569535,Ca2Bi,True
mp-132,Ca,True
mp-27145,Ca5Bi3,True
mp-2512,AsPd5,True
mp-123,Nd,True
mp-1184115,Er,True
mp-101,Ir,True
mp-2732,PRh2,True
mp-74,Rh,True
mp-145,Lu,True
mp-1299,SiPt2,True
mp-864675,Yb3N2,True
mp-864757,YbN2,True
mp-91,W,True
mp-1057315,Eu,True
mp-33,Ru,True
mp-49,Os,True
mp-705522,Sr28In11,True
mp-20074,SrIn2,True
mp-608072,SrIn,True
mp-2286,Li2Se,True
mp-1018134,Li,True
mp-1187198,SrMg2,True
mp-30782,Sr6Mg23,True
mp-86,Sm,True
mp-1519,CaTe,True
mp-37,Th,True
mp-1079438,Ta2N,True
mp-1279,TaN,True
mp-975834,MoRu3,True
mp-129,Mo,True
mp-1183252,BIr,True
mp-1185513,HfMg149,True
mp-1265,MgO,True
mp-352,HfO2,True
mp-615,YMg,True
mp-2652,Y2O3,True
mp-1187739,Y,True
mp-865376,YMg3,True
mp-1188082,YMg149,True
mp-1185557,Mg149Bi,True
mp-11534,Np,True
