material_id,pretty_formula
mp-1029418,KSi2N3
mp-1029584,KSi5N7
mp-1111079,K3ScF6
mp-1111110,K2LiScF6
mp-1178133,KSmO2
mp-1178135,KLuO2
mp-1178141,KDyO2
mp-1205574,Cs2KScF6
mp-1206970,KPaO3
mp-1211343,KNdF4
mp-1211536,K2TmF5
mp-1211547,K2ThO3
mp-1211631,K3Tb(BO3)2
mp-1211645,K3TmF6
mp-1211654,K3DyF6
mp-1211659,K3Lu(BO3)2
mp-1211665,K3LuF6
mp-1211691,K2TbF5
mp-1211695,K3ErF6
mp-1211700,K3Nd(BO3)2
mp-1211714,K3HoF6
mp-1211860,K2NdF5
mp-1212001,K3Si6H6N11
mp-1212010,K2DyF5
mp-1212022,K2HoF5
mp-1222825,Lu4Zr3O12
mp-1223421,KPr9(Si3O13)2
mp-1223447,KLaF4
mp-542201,Ba3Nb2O8
mp-642817,KHO
mp-753774,KTmO2
mp-754027,NaSmO2
mp-754158,KNdO2
mp-754883,KHoO2
mp-755013,Li5TaO5
mp-755417,Ba3(BO3)2
mp-755586,NaLaO2
mp-756510,K4TiO4
mp-757021,KGdO2
mp-759900,K2LiNbO4
mp-769173,PrOF
mp-769271,Sr4Ta2O9
mp-770771,SrSc2O4
mp-865934,YbF2
mp-990440,Na2ZrO3
