material_id,pretty_formula
mp-1019777,K2La2B2O7
mp-1019967,LaSi3N5
mp-1029418,KSi2N3
mp-1029584,KSi5N7
mp-10408,K2CN2
mp-1111079,K3ScF6
mp-1111110,K2LiScF6
mp-1138,LiF
mp-1178133,KSmO2
mp-1178135,KLuO2
mp-1178141,KDyO2
mp-1191101,KMgBO3
mp-1192490,K5Pr4Si4O16F
mp-1195475,K3SmSi2O7
mp-1195556,K5Y2Si4O13F
mp-1195894,K9Li3Nd3(BO3)7
mp-1196869,Ba3Al2O6
mp-1196988,K5Li2PrF10
mp-1198935,K2Na2Sm4Ta2O13
mp-1200960,K2Na2Sm4Nb2O13
mp-1201270,KErF4
mp-1201301,K2Hf2O5
mp-1201519,K2Na2Nd4Nb2O13
mp-1202279,KHoF4
mp-1202514,K4Ca(SiO3)3
mp-1202753,KTmF4
mp-1205574,Cs2KScF6
mp-1206970,KPaO3
mp-1211343,KNdF4
mp-1211536,K2TmF5
mp-1211547,K2ThO3
mp-1211631,K3Tb(BO3)2
mp-1211645,K3TmF6
mp-1211654,K3DyF6
mp-1211659,K3Lu(BO3)2
mp-1211665,K3LuF6
mp-1211691,K2TbF5
mp-1211695,K3ErF6
mp-1211700,K3Nd(BO3)2
mp-1211714,K3HoF6
mp-1211860,K2NdF5
mp-1212001,K3Si6H6N11
mp-1212010,K2DyF5
mp-1212022,K2HoF5
mp-1216,YbO
mp-1222825,Lu4Zr3O12
mp-1223421,KPr9(Si3O13)2
mp-1223447,KLaF4
mp-12671,Er2SO2
mp-13133,K2TiO3
mp-13230,K3YF6
mp-1427,Lu2O3
mp-14565,K3P6N11
mp-14726,Na4TiO4
mp-14964,Pr3TaO7
mp-15171,K2MgSiO4
mp-15379,K2SiO3
mp-16432,Sr3(BO3)2
mp-16594,K3TbSi2O7
mp-16595,K3DySi2O7
mp-16596,K3HoSi2O7
mp-16597,K3ErSi2O7
mp-16598,K3TmSi2O7
mp-17077,K2YF5
mp-17208,K2Li14Zr3O14
mp-17371,K2ErF5
mp-17434,K2SmF5
mp-17612,Ba2SiO4
mp-1767,Tm2O3
mp-17697,KSmF4
mp-17718,CsKNa2Li12(SiO4)4
mp-17774,K2Li3GaO4
mp-17850,K3NaTh2O6
mp-17891,NaYSiO4
mp-17904,Nd2TiO5
mp-18040,KPrF4
mp-18051,La2TiO5
mp-18449,K2ZrO3
mp-1960,Li2O
mp-216,Sc2O3
mp-2345,Dy2O3
mp-23703,LiH
mp-23713,CaH2
mp-23714,SrH2
mp-23956,K2MgH4
mp-24084,KH
mp-24239,K(BH)6
mp-24383,Mg(H2N)2
mp-24589,K2HBrO
mp-2472,SrO
mp-2605,CaO
mp-27275,Li3BO3
mp-27377,K4Zr5O12
mp-28158,K4Be3O5
mp-28549,Li8SiO6
mp-28559,Na6Be8O11
mp-28940,Sr4Nb2O9
mp-2931,Li2TiO3
mp-30980,NaYO2
mp-30990,K6Si2O7
mp-31212,K2MgF4
mp-31415,La3TaO7
mp-37722,KBH4
mp-3919,KBO2
mp-3952,BaY2O4
mp-4156,Li2ZrO3
mp-4511,La2SO2
mp-4519,KPrO2
mp-4533,Na2SiO3
mp-5088,NaGdO2
mp-5152,La2SiO5
mp-5418,Li6Zr2O7
mp-542201,Ba3Nb2O8
mp-551835,Ba2I2O
mp-5525,KAlO2
mp-554034,KLa2NbO6
mp-554346,KSr4(BO3)3
mp-555023,KCa4(BO3)3
mp-555495,K3Y(BO3)2
mp-556168,Na7Al3O8
mp-556438,KNaSmNbO5
mp-556902,KLi4NbO5
mp-557268,KLi4AlO4
mp-557543,K3LuSi2O7
mp-557577,K3ScSi2O7
mp-557632,K2LiBO3
mp-557753,K3PO4
mp-557798,K5Li2NdF10
mp-558128,KNd2NbO6
mp-558212,KNaNdNbO5
mp-558317,KNaPrNbO5
mp-558628,KLi2BO3
mp-559574,K3Sm(BO3)2
mp-559670,KBaYSi2O7
mp-559904,NaLi3SiO4
mp-560767,KNaTiO3
mp-561474,K3LiSiO4
mp-6058,K2NaScF6
mp-642655,K2GdF5
mp-643,ThO2
mp-6499,BaLiBO3
mp-680381,K2Na2Gd4Nb2O13
mp-680437,K3GdSi2O7
mp-6812,KBaPO4
mp-695998,K2ZnH4
mp-7500,Na4SiO4
mp-753721,GdOF
mp-753774,KTmO2
mp-754027,NaSmO2
mp-754158,KNdO2
mp-754883,KHoO2
mp-755013,Li5TaO5
mp-755417,Ba3(BO3)2
mp-755586,NaLaO2
mp-756510,K4TiO4
mp-757021,KGdO2
mp-759900,K2LiNbO4
mp-7610,Li2CaSiO4
mp-769173,PrOF
mp-769271,Sr4Ta2O9
mp-770771,SrSc2O4
mp-777297,K5H(CN2)2
mp-7958,KLaO2
mp-7959,KErO2
mp-8128,NaNdO2
mp-8188,KScO2
mp-827,KN3
mp-8409,KYO2
mp-8430,KLiS
mp-8470,NaPrO2
mp-8614,K3NdSi2O7
mp-861607,KNaNdTaO5
mp-861868,KNaLaTaO5
mp-861944,KNaPrTaO5
mp-861957,KNaSmTaO5
mp-865934,YbF2
mp-866662,K5La4Si4O16F
mp-9059,KLi6TaO6
mp-9172,Li4TiO4
mp-9488,SmOF
mp-974482,K4Hf5O12
mp-974713,K2H4Pt
mp-990440,Na2ZrO3
