material_id,pretty_formula
mp-1079585,Nb2N
mp-1184905,K
mp-75,Nb
mp-2634,NbN
mp-1029504,KNbN2
mp-827,KN3
mp-1029869,K15Mo7N19
mp-129,Mo
mp-11462,KHg
mp-14017,K3Sb
mp-1080848,KVN2
mp-1018027,VN
mp-33090,V2N
mp-1188283,V8N
mp-146,V
mp-1087476,K2Mg5Sn3
mp-542374,KSn
mp-1185637,Mg149Sn
mp-1185536,KMg149
mp-22898,KI
mp-101,Ir
mp-463,KF
mp-23193,KCl
mp-1201270,KErF4
mp-1184115,Er
mp-1211695,K3ErF6
mp-17371,K2ErF5
mp-72,Ti
mp-1747,K2Te
mp-2,Pd
mp-14018,K3As
mp-113,Tc
mp-23251,KBr
mp-1206920,K(PIr)2
mp-28424,K4P3
mp-1211665,K3LuF6
mp-145,Lu
mp-21526,KPb
mp-1211691,K2TbF5
mp-11698,Tb
mp-1202753,KTmF4
mp-1018122,Tm
mp-1211645,K3TmF6
mp-1211536,K2TmF5
mp-1212010,K2DyF5
mp-10658,Dy
mp-1211654,K3DyF6
mp-1057315,Eu
mp-24084,KH
mp-8426,K2Se
mp-134,Al
mp-8700,K2Au3
mp-1217,KSi
mp-26,La
mp-567332,Ce
mp-1299,SiPt2
mp-126,Pt
mp-1223832,K(SiPt)4
mp-131,Zr
mp-1246385,K2MnN2
mp-9981,Mn2N
mp-505622,Mn4N
mp-35,Mn
mp-784,KZn13
mp-1202778,K3Cd16
mp-568052,K2Ga3
mp-91,W
mp-155,Gd
mp-54,Co
mp-44,U
mp-50,Ta
mp-34232,K(AsRh)2
mp-74,Rh
mp-571261,Pu
mp-582929,K8In11
mp-1079438,Ta2N
mp-1279,TaN
mp-570755,KTaN2
mp-974713,K2H4Pt
mp-31286,K3Bi
mp-29484,K4HgAs2
mp-12735,KAg2
mp-49,Os
mp-971,K2O
mp-86,Sm
mp-1212012,K10Tl7
mp-132,Ca
mp-1201758,KGe
mp-1007636,KLuS2
mp-1022,K2S
mp-1185557,Mg149Bi
mp-11534,Np
mp-90,Cr
mp-30,Cu
mp-123,Nd
mp-674332,U17O31
mp-1597,UO2
mp-4126,KUO3
mp-8794,K4UO5
mp-685008,Ba20As13
mp-1253,BaSe
mp-122,Ba
mp-2652,Y2O3
mp-1187739,Y
mp-8409,KYO2
mp-769176,K5YO4
mp-554146,K14In4O13
mp-667326,K5InO4
mp-1211821,K4MoO5
mp-1187073,Sr
mp-33,Ru
mp-2364,PaO2
mp-10740,Pa
mp-1206970,KPaO3
mp-2732,PRh2
mp-12098,K(PRh)2
mp-972364,Yb
mp-13,Fe
mp-1960,Li2O
mp-1018134,Li
mp-504840,K4WO5
mp-1223451,KCeF4
mp-1223845,K(SiPd)4
mp-697068,SiPd2
mp-20622,SiPd3
mp-505071,Si2Pd9
mp-37,Th
mp-1079938,TlPd3
mp-15379,K2SiO3
mp-30990,K6Si2O7
mp-18700,K4SiO4
mp-17015,K4GeO4
mp-1427,Lu2O3
mp-1178135,KLuO2
mp-8,Re
mp-23,Ni
mp-29584,K4BeAs2
mp-87,Be
mp-504498,K2CdPb
mp-38,Pr
mp-2384,LaP
mp-2292,La2O3
mp-557753,K3PO4
mp-7958,KLaO2
mp-1045,Nd2O3
mp-1800,Nd2C3
mp-28930,KC8
mp-754158,KNdO2
mp-3963,K2CO3
mp-1184151,Cs
mp-28273,K3CuO2
mp-574275,Li17Pb4
mp-30761,Li7Pb2
mp-30760,Li3Pb
mp-21949,K4PbO3
mp-1225049,K18Na46Tl31
mp-2352,Na2O
mp-10172,Na
mp-1346,B6O
mp-1076,KB6
mp-3919,KBO2
mp-13743,K3GaO3
mp-2795,ZrC
mp-684623,Zr10C9
mp-103,Hf
mp-21279,EuSi
mp-21009,EuSe
mp-1190061,Eu5Si3
mp-1072248,EuSi2
mp-682,NaF
mp-1185628,Mg149Sb
mp-7089,KMgSb
mp-569535,Ca2Bi
mp-27145,Ca5Bi3
mp-773137,KCaBi
mp-2512,AsPd5
mp-862690,Ac
mp-2286,Li2Se
mp-8756,KLiSe
mp-976876,K2PtC2
mp-1640,Ho2C
mp-812,Ho2O3
mp-10659,Ho
mp-15238,Ho4C5
mp-1202754,Ho3C4
mp-1154,Ho4C7
mp-754883,KHoO2
mp-7283,LaB4
mp-2680,LaB6
mp-1019777,K2La2B2O7
mp-1183995,GaCu3
mp-1197621,Ga4Cu9
mp-655,Na3As
mp-34127,K2NaAs
mp-1138,LiF
mp-67,Sc
mp-1111110,K2LiScF6
mp-1111079,K3ScF6
mp-863707,KNa2Bi
mp-23222,Li3Bi
mp-510430,Li13In3
mp-31324,Li2In
mp-21293,Li3In2
mp-867226,Li3In
mp-1018131,LuAg2
mp-568953,LuAg4
mp-30354,ScAg4
mp-1018128,ScAg2
mp-11237,ScAg
mp-571222,CsBr
mp-980769,SmCu
mp-1269,SmS
mp-1077154,SmCu2
mp-227,SmCu5
mp-15783,KSmS2
mp-1837,TbCu
mp-1610,TbS
mp-1527,TbCu2
mp-999129,KTbS2
mp-11363,TbCu5
mp-1971,HoCu
mp-1240,HoS
mp-30584,HoCu2
mp-15786,KHoS2
mp-30585,HoCu5
mp-972521,SmGe
mp-1506,Sm5Ge4
mp-1447,SmSe
mp-1006891,KSmSe2
mp-1018737,KMgP
mp-1056,Tb2O3
mp-1221,V3Ge
mp-560869,K3VO4
mp-2104,UAs
mp-504425,Nb3As
mp-1326,Nb3Sn
mp-18361,K7NbAs4
mp-31212,K2MgF4
mp-1019089,KMgAs
mp-2807,ScP
mp-22600,Sc3P2
mp-1188800,Sc3P
mp-1753,ThAs
mp-643,ThO2
mp-1211547,K2ThO3
mp-10688,CeO
mp-2154,CeP
mp-2629,Ce7O12
mp-542313,Ce2O3
mp-760323,Ce5O9
mp-9778,K2AgP
mp-18040,KPrF4
mp-1196988,K5Li2PrF10
mp-983509,Na3Cd
mp-1197369,K16Na9(Tl6Cd)3
mp-30228,Li4HN
mp-2251,Li3N
mp-23703,LiH
mp-23702,LiH2N
mp-1198663,K2Li(H2N)3
mp-24428,KH2N
mp-1201065,Li15H9N8
mp-1200910,Li7H5N4
mp-1019608,Cs3BO3
mp-3614,KTaO3
mp-1405,TbGe
mp-2610,Tb5Ge3
mp-1673,Tb5Ge4
mp-504731,EuF2
mp-1216,YbO
mp-1820,YbS
mp-201,Yb5Sb3
mp-1857,YbCd
mp-1187653,YbCd3
mp-1179656,Rb
mp-1623,ErS
mp-12671,Er2SO2
mp-679,Er2O3
mp-4326,KErS2
mp-7959,KErO2
mp-11266,BaCd2
mp-9909,Ba5Sb3
mp-527,BaCd
mp-8093,Ba2Cd
mp-551835,Ba2I2O
mp-1342,BaO
mp-768368,K4I2O
mp-28171,K3IO
mp-21708,CeCu6
mp-1096,CeS
mp-862658,LiCu3
mp-15237,Tb4C5
mp-692,Tb2C
mp-1334,Y2C
mp-9459,Y4C5
mp-1200613,Y3C4
mp-1200885,Y4C7
mp-218,Sm2O3
mp-1219177,Sm2C
mp-569335,Sm2C3
mp-1178133,KSmO2
mp-1767,Tm2O3
mp-753774,KTmO2
mp-1205180,Tm3C4
mp-1216546,Tm2C
mp-2051,LaCu2
mp-1560,LaTe
mp-1078920,LaCu
mp-2613,LaCu5
mp-1194443,LaCu13
mp-4511,La2SO2
mp-2350,LaS
mp-15781,KLaS2
mp-16705,Pr2O3
mp-4519,KPrO2
mp-742,Ti2Cu
mp-616559,Ti2S
mp-1188441,TiCu4
mp-2078,TiCu
mp-2643,Ti3Cu4
mp-12546,TiCu3
mp-601,PrP
mp-1674,PrSe
mp-504886,Gd2O3
mp-757021,KGdO2
mp-5598,Sm2SO2
mp-11219,LuB2
mp-571495,LuB4
mp-1211659,K3Lu(BO3)2
mp-1104289,LuB12
mp-546552,KCrO2
mp-1211715,K4CrO4
mp-2345,Dy2O3
mp-1178141,KDyO2
mp-558482,K17Fe5O16
mp-1199147,K9Fe2O7
mp-7171,TmP
mp-28302,K4CdP2
mp-21075,HfC
mp-1215,Ti2O
mp-2591,Ti3O
mp-554098,Ti6O
mp-18051,La2TiO5
mp-1071163,TiO
mp-756510,K4TiO4
mp-5455,K6Ti2O7
mp-13133,K2TiO3
mp-1211901,KLaTiO4
mp-18073,K7TaAs4
mp-13975,Er2SeO2
mp-2491,ErSe
mp-2116,ZrMn2
mp-467,Th3N4
mp-834,ThN
mp-2147,SrGe
mp-2472,SrO
mp-30950,Sr3GeO
mp-2576,Sr2Ge
mp-1500,BaS
mp-979289,TaW3
mp-1187206,Ta3W
mp-1217811,TaW
mp-11192,TaSi2
mp-1989,Ta5Si3
mp-568646,Ta3Si
mp-7375,KNbO3
mp-561202,K6NbAs3O
mp-1195947,K23(Sn3Au4)3
mp-3020,BaNbO3
mp-542201,Ba3Nb2O8
mp-1223493,KBa2Nb3O9
mp-1224039,K4BaNb5O15
mp-1065,LaSb
mp-759,La2Sb
mp-1223,La4Sb3
mp-32606,Ba3P2
mp-504502,Ta3P
mp-22477,Ta2P
mp-1067587,TaP
mp-1223894,K5BaTaP4
mp-17566,Ba5P4
mp-28823,Ba4P3
mp-1981,Ba2Sn
mp-872,BaSn
mp-1224114,K4Ba2SnP4
mp-29621,Ba5Bi3
mp-1226185,K6InAs3
mp-1377,ThCu2
mp-503,ThS
mp-1217740,Th14Cu51
mp-12834,ThCu6
mp-1077404,YbSi2
mp-10651,YbSi
mp-1207599,Yb2Si
mp-19148,K2Mn2O3
mp-14988,K4SnO3
mp-540914,K3MnO3
mp-7258,K4SnO4
mp-9968,PrSi
mp-1079937,Pr3Si2
mp-27760,PrSi2
mp-4764,Pr2SeO2
mp-2542,BeO
mp-28559,Na6Be8O11
mp-28588,Na2BeO2
mp-14324,K2Na4Be2O5
mp-27915,K2BeO2
mp-28158,K4Be3O5
mp-639805,Ta3Ge
mp-17593,Ta5Ge3
mp-1200207,Cs8Ga11
mp-14429,CsK4GaO4
mp-279,LiIr
mp-30738,LiIr3
mp-8753,K4HgP2
mp-3211,Nd2SO2
mp-1006885,KNdS2
mp-1748,NdS
mp-464,HoSe
mp-30579,ErCu5
mp-1024991,ErCu2
mp-1955,ErCu
mp-2836,Dy5Si3
mp-2620,DySi
mp-569825,Dy10Si17
mp-16595,K3DySi2O7
mp-1025162,K2NpO4
mp-1203025,Np2N3
mp-2596,NpN
mp-2616,NpO2
mp-1185015,KNpO3
mp-1203324,Zr3Ge
mp-17706,Zr5Ge3
mp-561418,Zr3O
mp-1215377,Zr4O
mp-1211624,K4ZrO4
mp-18449,K2ZrO3
mp-27377,K4Zr5O12
mp-1025513,ZrGe
mp-1200749,Zr5Ge4
mp-28825,K3CoO2
mp-29210,Li2Ga
mp-9568,Li3Ga2
mp-1205930,Li5Ga4
mp-17774,K2Li3GaO4
mp-4657,Li5GaO4
mp-28595,KNaSe
mp-1777,Li15Ge4
mp-27932,Li9Ge4
mp-1084830,LaGe
mp-1161,LaSe
mp-1188469,La5Ge3
mp-1211472,La4Ge7
mp-1224505,K6InP3
mp-530539,Sr4U2O9
mp-3956,Sr3UO6
mp-1210753,Li2Al
mp-16506,Li3Al2
mp-10890,LiAl3
mp-1067,LiAl
mp-28166,K3BrO
mp-626785,KHO
mp-28627,K4Br2O
mp-24589,K2HBrO
mp-31430,Na2In
mp-504962,K2Na3InO4
mp-553975,K3Na2InO4
mp-757,Li3As
mp-28994,KLi2As
mp-7956,Na3Sb
mp-15724,KNa2Sb
mp-931,ThP
mp-1200894,Zr3As
mp-1682,ZrAs
mp-972228,Zr3As2
mp-1191610,Zr7As4
mp-1203256,Zr14As9
mp-8253,Na5ReO6
mp-1598,Na3P
mp-541694,K2Na3SiP3
mp-8235,K2SiP2
mp-3236,Pr2SO2
mp-15782,KPrS2
mp-2495,PrS
mp-710,SmP
mp-1144,ErP
mp-9200,K3AuO
mp-13415,Ta3B2
mp-1097,TaB
mp-1108,TaB2
mp-10142,Ta3B4
mp-1199558,Sm5Ir3
mp-7342,Sm3Ir
mp-1104500,Sm5Ir2
mp-1542,YB2
mp-637,YB4
mp-555495,K3Y(BO3)2
mp-890,NdIr2
mp-30522,Nd5Ir3
mp-1104605,Nd5Ir2
mp-1189686,Nd3Ir
mp-769284,Dy2SeO2
mp-814,DySe
mp-1569,Be2C
mp-2011,UP
mp-787,U3P4
mp-11908,Lu5Si3
mp-1001612,LuSi
mp-557543,K3LuSi2O7
mp-17833,Ba3GeO
mp-13922,Ba2Ge
mp-9858,Ba3Ge4
mp-1188954,Ba3Ge5
mp-9774,Ba4Sb2O
mp-18511,NdF3
mp-557798,K5Li2NdF10
mp-1211860,K2NdF5
mp-1211343,KNdF4
mp-2667,CsAu
mp-1225940,K30Ga9As19
mp-2970,Na4GeO4
mp-7439,K3Cu3P2
mp-8446,K2CuP
mp-1193889,HoBe13
mp-1202279,KHoF4
mp-1212022,K2HoF5
mp-1211714,K3HoF6
mp-20689,Nb3B2
mp-2580,NbB
mp-450,NbB2
mp-10255,Nb3B4
mp-1080021,Nb2B3
mp-2493,CeN
mp-2602,NdAs
mp-570421,Sm2B5
mp-8546,SmB4
mp-559574,K3Sm(BO3)2
mp-6996,SmB6
mp-567735,Nd5Si3
mp-884,NdSi2
mp-9967,NdSi
mp-355,Nd5Si4
mp-8614,K3NdSi2O7
mp-28382,K4ZnO3
mp-9872,K4BeP2
mp-1738,SmAs
mp-1224756,Hf14Cu51
mp-30581,Hf2Cu
mp-1200988,Hf7Cu10
mp-7353,Hf3Cu8
mp-19891,Pu2C3
mp-637224,Pu2O3
mp-862794,K2Pu2O5
mp-1025158,K2PuO4
mp-510401,GdP
mp-21394,EuO
mp-768949,KEuO2
mp-1189967,Pr3Os
mp-567339,PrOs2
mp-1751,ThSb
mp-978,Sr2Sn
mp-15698,Sr5As3
mp-17720,Sr5Sn3
mp-1698,SrSn
mp-29424,Sr4As3
mp-7642,K2AgAs
mp-994,YP
mp-2637,YSe
mp-570240,La14C14Cl9
mp-2367,LaC2
mp-567694,La2C2Cl
mp-1184,La2C3
mp-1219144,Sm2AsSe
mp-739,TiP
mp-31214,Ti3P
mp-30218,Ti2P
mp-1191079,Ti7P4
mp-510402,GdS
mp-15784,KGdS2
mp-571095,Na7Ga13
mp-30794,Na15Sn4
mp-736,Li3P
mp-6450,K2LiAlP2
mp-541684,K3AlP2
mp-6500,KRb2ScF6
mp-2296,Ni3P
mp-9672,K2NiP2
mp-2790,Ni12P5
mp-2334,DyCu
mp-2470,DyS
mp-1071835,DyCu2
mp-15785,KDyS2
mp-1225307,DyCu5
mp-11270,MnBe2
mp-1104792,MnBe12
mp-23870,NaH
mp-769271,Sr4Ta2O9
mp-7148,K2SrTa2O7
mp-1153,Li2S
mp-8430,KLiS
mp-24650,YH2
mp-2114,YN
mp-23956,K2MgH4
mp-1559,Mg3N2
mp-759183,K2Mg(H2N)4
mp-10408,K2CN2
