material_id,pretty_formula,FullWindow
mp-1025137,NpNi5,True
mp-23,Ni,True
mp-11534,Np,True
mp-356,Nd2Co17,True
mp-54,Co,True
mp-1106011,Nd3Co,True
mp-123,Nd,True
mp-1104652,Nd5Co2,True
mp-1084826,Nd2Co3,True
mp-1085,UOs2,True
mp-49,Os,True
mp-44,U,True
mp-1095482,YbOs2,True
mp-972364,Yb,True
mp-2645,YbNi5,True
mp-1189509,Yb3Ni,True
mp-1980,YbNi2,True
mp-1095559,YbNi3,True
mp-1824,NdNi5,True
mp-1188200,Nd3Ni,True
mp-999339,NdNi,True
mp-1095561,NdNi3,True
mp-1101970,TbRu2,True
mp-33,Ru,True
mp-1189033,Tb3Ru,True
mp-11698,Tb,True
mp-1102043,LaOs2,True
mp-26,La,True
mp-1102143,ErRe2,True
mp-8,Re,True
mp-1184115,Er,True
mp-1102217,NdRu2,True
mp-1103979,Nd5Ru2,True
mp-1106300,Nd3Ru,True
mp-1102249,TbRe2,True
mp-865382,V3Ru,True
mp-214,ZrRu,True
mp-1395,VRu,True
mp-1102307,Zr2V3Ru,True
mp-146,V,True
mp-131,Zr,True
mp-971788,VRu3,True
mp-1102328,HoRe2,True
mp-10659,Ho,True
mp-1102508,DyOs2,True
mp-1189887,Dy3Os,True
mp-10658,Dy,True
mp-1163,UBe13,True
mp-87,Be,True
mp-2370,PrNi5,True
mp-1106122,Pr3Ni,True
mp-38,Pr,True
mp-11799,PrNi,True
mp-1102445,PrNi3,True
mp-1181137,GdFe5,True
mp-13,Fe,True
mp-155,Gd,True
mp-50,Ta,True
mp-11572,TaTc,True
mp-1095545,ZrTc2,True
mp-113,Tc,True
mp-1183039,ZrTaTc2,True
mp-1183416,BeCrFe2,True
mp-90,Cr,True
mp-30438,Be2Cr,True
mp-2225,Be2Fe,True
mp-983590,Be3Fe,True
mp-1105841,Dy3Ru,True
mp-569220,ErRu2,True
mp-30622,Dy5Ru2,True
mp-1183786,DyHoRu2,True
mp-103,Hf,True
mp-2802,HfRu,True
mp-1184159,ErHfRu2,True
mp-30867,ScRu,True
mp-1210377,Sc57Ru13,True
mp-1194143,Sc11Ru4,True
mp-567750,ScRu2,True
mp-1209947,Sc44Ru7,True
mp-67,Sc,True
mp-1184237,ErZrRu2,True
mp-1018122,Tm,True
mp-1184242,ErTmRu2,True
mp-10740,Pa,True
mp-1184323,ErPaOs2,True
mp-145,Lu,True
mp-568630,LuRu2,True
mp-11495,LuRu,True
mp-669713,Gd2Ni7,True
mp-646926,GdRu2,True
mp-542632,GdNi,True
mp-21305,GdNi5,True
mp-543019,GdNi2,True
mp-1184496,Gd3Lu,True
mp-11452,HfOs,True
mp-1190841,Hf2Co,True
mp-2027,HfCo,True
mp-1192795,Hf6Co23,True
mp-2337,HfCo2,True
mp-1184586,Hf2CoOs,True
mp-2363,HfMo2,True
mp-11460,HfTc,True
mp-129,Mo,True
mp-1184589,HfTc2Mo,True
mp-1095669,HfTc2,True
mp-1220023,OsRu,True
mp-1184604,Hf2OsRu,True
mp-570684,ZrOs2,True
mp-1184607,HfZrOs2,True
mp-11541,ZrOs,True
mp-1553,HoNi5,True
mp-1080523,Ho3Ni2,True
mp-11871,HoNi,True
mp-1224476,Ho3(NiRu2)2,True
mp-2042,HoNi3,True
mp-673,HoNi2,True
mp-1223854,HoCoRu,True
mp-622565,Ho3Co,True
mp-30969,Ho12Co7,True
mp-2396,HoCo2,True
mp-2435,HoCo5,True
mp-1184822,HoZrRu2,True
mp-1184831,HoTmRu2,True
mp-573601,Th7Ru3,True
mp-12775,ThRu,True
mp-37,Th,True
mp-1184846,HoThRu2,True
mp-1184890,HoPaRu2,True
mp-1184905,K,True
mp-1222465,Lu4Co3,True
mp-2206,LuCo2,True
mp-1185511,LuHfCo2,True
mp-1185527,LuPaRe2,True
mp-1932,Nb3Os,True
mp-1220327,NbMo,True
mp-75,Nb,True
mp-1186205,Nb2MoOs,True
mp-1220934,Nb3Os2,True
mp-977434,Nb3Ru,True
mp-1220322,NbRe,True
mp-1186207,Nb2ReRu,True
mp-974455,Re3Ru,True
mp-862630,ReRu3,True
mp-11517,NbRu3,True
mp-432,NbRu,True
mp-1186208,Nb2ReTc,True
mp-974492,ReTc3,True
mp-1186915,ReTc,True
mp-1220323,NbTc,True
mp-1220634,Nb2Tc,True
mp-1186209,Nb2TcRu,True
mp-867356,TcRu3,True
mp-1217363,TcRu,True
mp-861630,Tc3Ru,True
mp-867212,TcOs3,True
mp-1186210,Nb2TcOs,True
mp-862779,Tc3Os,True
mp-863718,PmNi3,True
mp-1183837,Co3Ni,True
mp-1186456,Pm2CoNi,True
mp-867200,Pm,True
mp-1186655,PmTmRu2,True
mp-12678,TaMn2,True
mp-35,Mn,True
mp-1186761,Ta2MnRe,True
mp-1187203,Ta3Re,True
mp-1217894,TaRe,True
mp-1186763,Ta2MoW,True
mp-1217895,TaMo,True
mp-979289,TaW3,True
mp-91,W,True
mp-1217811,TaW,True
mp-1187206,Ta3W,True
mp-1187242,TaNbRe2,True
mp-1186767,Ta2NbRe,True
mp-977390,Ta3Ru,True
mp-867816,TaRu3,True
mp-1218044,Ta3Ru2,True
mp-1187200,Ta2TcRu,True
mp-1601,TaRu,True
mp-1187208,Ta2ReW,True
mp-1187197,Ta3Os,True
mp-1218177,Ta3Os2,True
mp-1187210,Ta2TcOs,True
mp-1187243,TaOs3,True
mp-1216621,TiW,True
mp-1187245,TiMo2W,True
mp-72,Ti,True
mp-1017983,TiMo3,True
