material_id,pretty_formula
mp-1183783,DyErRu2
mp-1183818,DyLuRu2
mp-1184159,ErHfRu2
mp-1184223,ErScRu2
mp-1184242,ErTmRu2
mp-1184246,ErThRu2
mp-1184363,ErLuRu2
mp-1184370,Gd2NiRu
mp-1184510,GdLuRu2
mp-1184525,GdPaRu2
mp-1184613,GdThRu2
mp-1184689,Ho2NiRu
mp-1184716,GdYRu2
mp-1184724,Ho2CoRu
mp-1184742,GdZrRu2
mp-1184790,GdErRu2
mp-1186457,Pm2CoRu
mp-1187865,YTmRu2
mp-1193087,Zr11Os4
mp-1223925,HoFeRu
mp-1247744,BaNa
mp-31198,Er3Ru2
mp-861889,Sc3Tc
mp-865209,TmHfOs2
mp-865241,TmNbOs2
mp-865275,TmZrOs2
mp-865303,Tm2CoOs
mp-865304,Tm2CoRu
mp-865325,Lu2CoRu
mp-865334,Lu2NiOs
mp-865368,Tm2NiOs
mp-865383,Tm2OsRu
mp-865451,Tm2MnOs
mp-866026,ErNbOs2
mp-867216,TaFeRu2
mp-867344,Er2NiOs
mp-972649,SmHoRu2
mp-973101,LaHoRu2
mp-973114,HoLuRu2
mp-976311,HoErRu2
mp-978539,SmTmRu2
mp-979042,Tm2BeOs
mp-979426,YHoRu2
mp-980647,TmThOs2
mp-983429,PmDyRu2
