material_id,pretty_formula
mp-2049,ZrMo2
mp-929,ZrCo2
mp-2283,ZrCo
mp-129,Mo
mp-30569,Zr6Co23
mp-1139,Co3Mo
mp-54,Co
mp-1005986,Zr9CoMo4
mp-30619,Zr3Co
mp-131,Zr
mp-628,Zr2Co
mp-356,Nd2Co17
mp-1106011,Nd3Co
mp-123,Nd
mp-1104652,Nd5Co2
mp-1084826,Nd2Co3
mp-1102043,LaOs2
mp-49,Os
mp-26,La
mp-1102143,ErRe2
mp-8,Re
mp-1184115,Er
mp-1102210,DyRe2
mp-10658,Dy
mp-1102328,HoRe2
mp-10659,Ho
mp-1102508,DyOs2
mp-1189887,Dy3Os
mp-11275,Be2Re
mp-569364,Be22Re
mp-87,Be
mp-11277,ScBe5
mp-67,Sc
mp-972891,ScBe13
mp-1163,UBe13
mp-44,U
mp-1181137,GdFe5
mp-13,Fe
mp-155,Gd
mp-1183416,BeCrFe2
mp-90,Cr
mp-30438,Be2Cr
mp-2225,Be2Fe
mp-983590,Be3Fe
mp-1183732,CeTh3
mp-37,Th
mp-567332,Ce
mp-1105841,Dy3Ru
mp-33,Ru
mp-569220,ErRu2
mp-30622,Dy5Ru2
mp-1183786,DyHoRu2
mp-1018122,Tm
mp-1184074,DyTmRu2
mp-573601,Th7Ru3
mp-1184103,DyThRu2
mp-12775,ThRu
mp-1184151,Cs
mp-103,Hf
mp-2802,HfRu
mp-1184159,ErHfRu2
mp-30867,ScRu
mp-1210377,Sc57Ru13
mp-1194143,Sc11Ru4
mp-567750,ScRu2
mp-1209947,Sc44Ru7
mp-214,ZrRu
mp-1184237,ErZrRu2
mp-1184242,ErTmRu2
mp-10740,Pa
mp-1184323,ErPaOs2
mp-145,Lu
mp-568630,LuRu2
mp-11495,LuRu
mp-669713,Gd2Ni7
mp-646926,GdRu2
mp-542632,GdNi
mp-21305,GdNi5
mp-23,Ni
mp-543019,GdNi2
mp-1184496,Gd3Lu
mp-11452,HfOs
mp-1190841,Hf2Co
mp-2027,HfCo
mp-1192795,Hf6Co23
mp-2337,HfCo2
mp-1184586,Hf2CoOs
mp-2363,HfMo2
mp-11460,HfTc
mp-1184589,HfTc2Mo
mp-113,Tc
mp-1095669,HfTc2
mp-35,Mn
mp-1185970,Mn3Co
mp-11449,HfMn2
mp-1184602,Hf2MnCo
mp-1220023,OsRu
mp-1184604,Hf2OsRu
mp-570684,ZrOs2
mp-1184607,HfZrOs2
mp-11541,ZrOs
mp-2754,Hf2Fe
mp-1184648,HfZrFe2
mp-1224188,HfZrFe4
mp-1191401,HfFe2
mp-31205,Zr3Fe
mp-1190681,ZrFe2
mp-582924,Zr6Fe23
mp-1553,HoNi5
mp-1080523,Ho3Ni2
mp-11871,HoNi
mp-1224476,Ho3(NiRu2)2
mp-2042,HoNi3
mp-673,HoNi2
mp-1223854,HoCoRu
mp-622565,Ho3Co
mp-30969,Ho12Co7
mp-2396,HoCo2
mp-2435,HoCo5
mp-1184822,HoZrRu2
mp-1184831,HoTmRu2
mp-1184843,HoPaTc2
mp-1101968,HoTc2
mp-1184846,HoThRu2
mp-1184890,HoPaRu2
mp-1184905,K
mp-1222465,Lu4Co3
mp-2206,LuCo2
mp-1185511,LuHfCo2
mp-1185527,LuPaRe2
mp-863718,PmNi3
mp-1183837,Co3Ni
mp-1186456,Pm2CoNi
mp-867200,Pm
mp-1186772,Ta2CrRe
mp-1217894,TaRe
mp-2385,TaCr2
mp-1187203,Ta3Re
mp-50,Ta
mp-291,TiOs
mp-1191331,Ti2Co
mp-72,Ti
mp-608,TiCo3
mp-1187422,Ti2CoOs
mp-823,TiCo
mp-1187427,Ti2FeOs
mp-305,TiFe
mp-1187470,TiCrTc2
mp-11573,TiTc
mp-568636,TiCr2
mp-1095545,ZrTc2
mp-1187984,Zr2FeTc
mp-27162,Sc3Co
mp-2212,ScCo
mp-1188062,Zr3Sc
mp-1188031,ZrScCo2
mp-253,ScCo2
mp-1077791,ZrSc2
mp-1192350,NbFe2
mp-1221111,NbFe
mp-75,Nb
mp-91,W
mp-2157,Co3W
mp-1400,HfW2
mp-1192784,Hf9CoW4
mp-1193092,ErBe13
mp-1193176,Lu6Mn23
mp-1193251,LaBe13
mp-865960,CoRe3
mp-1193334,Hf9CoRe4
mp-1203605,Hf21Re25
mp-864877,Hf2CoRe
mp-1689,HfRe2
mp-567490,Hf5Re24
mp-1193529,PrBe13
mp-38,Pr
mp-1193534,YBe13
mp-1187739,Y
mp-1193832,Zr9FeMo4
mp-1193889,HoBe13
mp-1194288,PaBe13
mp-2773,BeCo
mp-1207415,Zr6Be15Co8
mp-2544,Zr2Be17
mp-1183425,Be3Co
mp-11283,ZrBe5
mp-30445,ZrBe13
mp-1071690,Be5Co
mp-328,Zr2Ni
mp-2717,Zr2Ni7
mp-1033,BeNi
mp-485,ZrNi3
mp-556,ZrNi
mp-865168,Be3Ni
mp-1207425,Zr6Be15Ni8
mp-570491,TaNi3
mp-1208343,Ta6Be15Ni8
mp-1189402,Ta2Be17
mp-1102049,TaBe3
mp-1078957,Ta3Be2
mp-1867,Ta2Ni
mp-11278,Ta2Be
mp-567842,TaBe12
mp-1208596,SmBe13
mp-86,Sm
mp-12174,HfNi3
mp-1018056,HfNi
mp-2025,HfBe5
mp-1212567,Hf2Be17
mp-1212450,Hf6Be15Ni8
mp-1878,HfBe13
mp-1212451,Hf6Be15Co8
mp-11272,Be2Nb3
