material_id,pretty_formula
mp-10103,LiYbAlF6
mp-1018784,LiCe(CuP)2
mp-1018791,LiY(CuP)2
mp-1019716,CsLi4(BO2)5
mp-1019794,K3LiP2O7
mp-1020011,Li14P2(N2O)3
mp-1020015,Li2B3PO8
mp-1020019,Li2PNO2
mp-1020023,Li3AlSiO5
mp-1020031,LiCaAlN2
mp-1020106,LiB(SO4)2
mp-1020109,LiMg3P3O11
mp-1020164,Na3LiP2O7
mp-1020620,Rb5Li6(BO2)11
mp-1020664,Rb2Li5(BO2)7
mp-1021497,Li2SiSnS4
mp-1024988,LiYb(CuP)2
mp-10499,LiZr2(PO4)3
mp-10555,Ba2LiReN4
mp-1097959,LiEu4(BN2)3
mp-1104693,LiCa2HC3
mp-1105291,Li2MnSnS4
mp-1105750,LiAu(S2O7)2
mp-1111110,K2LiScF6
mp-1111112,K2LiGaF6
mp-1111126,K2LiLuCl6
mp-1111658,K2LiTlF6
mp-1111665,K2LiRhF6
mp-1111671,K2LiInF6
mp-1111923,K2LiRuF6
mp-1111927,K2LiCrF6
mp-1111928,K2LiAsF6
mp-1111932,K2LiScCl6
mp-1112624,Cs2LiGdCl6
mp-1112663,Cs2LiYI6
mp-1112669,Cs2LiTbCl6
mp-1112671,Cs2LiSmCl6
mp-1112998,Cs2LiTmCl6
mp-1113016,Cs2LiInF6
mp-1113018,Cs2LiDyCl6
mp-1113020,Cs2LiCeCl6
mp-11175,LiZnPS4
mp-11189,Li2MgSiO4
mp-1176640,LiMnCrO4
mp-1177863,Li2Ti3FeO8
mp-1178391,CsLiWO4
mp-11806,LiMgSnPt
mp-1188124,LiAl(PS3)2
mp-1188784,Li2CdSnS4
mp-1189383,Li2CdGeS4
mp-1189625,Cs2LiScCl6
mp-1189974,LiLa(CN2)2
mp-1190151,Sr3LiSbO6
mp-1190195,LiIn(WO4)2
mp-11903,LiEu2IrO6
mp-11904,LiSm2IrO6
mp-1190404,Sr3LiNbO6
mp-1190486,Sr3LiTaO6
mp-11905,LiNd2IrO6
mp-11906,LiPr2IrO6
mp-1190882,LiLu(WO4)2
mp-1191085,LiY(WO4)2
mp-1191729,LiHo(WO4)2
mp-1191787,LiCa3OsO6
mp-1192153,LiDy(WO4)2
mp-1192357,Sr3LiAs2H
mp-1192527,Ba4Li2(CdP2)3
mp-1192528,LiCa3As2H
mp-1192746,LiAs2H3O7
mp-1193106,Li2Mg(HN)2
mp-1193172,Li2Mn(SO4)2
mp-1193222,LiMgAlF6
mp-1193498,LiMgAlH6
mp-1193542,LiMnVF6
mp-1194523,Li2CaTa2O7
mp-1194965,Li2Th(AsO4)2
mp-1195001,Na5Li(Mo3O10)3
mp-1195211,LiNd(PN2)4
mp-1196457,Li2B3O4F3
mp-1196988,K5Li2PrF10
mp-1198025,LiZn2(BH4)5
mp-1198049,Li6Nd(BO3)3
mp-1198324,Li2B8SeO15
mp-1198596,Li2P7(H3N)9
mp-1198663,K2Li(H2N)3
mp-1198930,LiGa(SeO3)2
mp-1199122,Li2Ca(SiN2)2
mp-11992,LiLa2IrO6
mp-1199453,KLiMoO4
mp-1201314,Li8Be6P7O29
mp-1202424,Li5La5(SiN3)4
mp-1202682,LiCa7(GeH)3
mp-1202818,LiZr2(AsO4)3
mp-1203059,LiAs3H2O9
mp-1204402,LiAl(CN2)2
mp-1205078,LiCe(PO3)4
mp-1205649,LiSc(TlCl3)2
mp-1206399,Rb2LiVCl6
mp-1206440,Cs2LiCrF6
mp-1207120,Ba2LiIO6
mp-1207213,K2LiCuF6
mp-1208619,SrLiGaF6
mp-1208625,SrLiVF6
mp-1208634,SrLiCrF6
mp-1208758,Sr3Li6Ta2O11
mp-1208770,Sr3Li6Nb2O11
mp-1209478,Rb2Li3GaO4
mp-1209986,NaLiEr2F8
mp-1210400,Na3LiTi2F12
mp-1210682,Na3Li3Rh2F12
mp-1210796,Li2MnGeO4
mp-1210797,Li2MgGeO4
mp-1210804,Li2ZnGeS4
mp-1210849,Li2Fe(WO4)2
mp-1210866,LiVCdF6
mp-1210920,LiGd(WO4)2
mp-1210924,LiTb2RuO6
mp-1210974,LiH2CN5
mp-1210977,LiMn2TeO6
mp-1210986,Li14Be6(BO3)9
mp-1210997,LiTm(WO4)2
mp-1211004,LiSm(WO4)2
mp-1211005,LiTb(WO4)2
mp-1211079,LiTb6B3O14
mp-1211098,LiCrCdF6
mp-1211108,LiGd(SO4)2
mp-1211126,LiSc(WO4)2
mp-1211137,LiNd(WO4)2
mp-1211167,LiCr4GaS8
mp-1211182,LiCr4InS8
mp-1211215,Li2Nd(NO3)5
mp-1211223,Li3Yb3(TeO6)2
mp-1211233,LiDy6B3O14
mp-1211248,Li3Tm3(TeO6)2
mp-1211256,Li3Sm3(TeO6)2
mp-1211322,Li2Sm(NO3)5
mp-1211340,Li6Tm(BO3)3
mp-1211386,Li3Pr3(TeO6)2
mp-1211468,Li6Er(BO3)3
mp-1211486,LiPr6B3O14
mp-1211541,Li6Sm(BO3)3
mp-1211542,Li3Ho3(TeO6)2
mp-1211552,Li3Mn2(SeO3)4
mp-1211562,LiEu2RuO6
mp-1211646,Li3Lu3(TeO6)2
mp-1211772,Li3Dy(NO3)6
mp-1212005,KLiWO4
mp-1212059,Li3Tm(NO3)6
mp-1212130,Li3Tb(NO3)6
mp-1212171,Li3Y(NO3)6
mp-1212254,Li3Yb(NO3)6
mp-1212270,Li3Lu(NO3)6
mp-1212457,Li3Gd3(TeO6)2
mp-1212476,Li3Gd(NO3)6
mp-1213345,LiEu6B3O14
mp-1214461,Ba4Li(BiO4)3
mp-12160,Li6Ho(BO3)3
mp-12185,LiCu(PO3)3
mp-1218749,Sr2LiMgSi3
mp-1219554,RbLiZnS2
mp-1220967,NaLiCdS2
mp-1222326,LiMgCoF6
mp-1222336,LiZnRhF6
mp-1222349,LiGeRhO4
mp-1222353,LiMnRhO4
mp-1222411,LiCa2CuN2
mp-1222458,LiB12PC
mp-1222462,Li4CoTeO6
mp-1222477,LiVZnO4
mp-1222537,LiZr5TlF22
mp-1222618,Li2ZnCdP2
mp-1222711,Li2GeTeO6
mp-1223032,Li9Nd2(PS4)5
mp-1223108,LiU4As3O20
mp-1223469,KLiZn3O4
mp-1225887,CsLiZnS2
mp-1225894,CsLiMnS2
mp-1226357,Cs2LiCr3F12
mp-1228109,Ba8Li13GaSb12
mp-1228258,Ba5Li2(TeO5)3
mp-1228411,Ba5Li2U3O15
mp-12451,LiLa2OsO6
mp-12829,LiCaGaF6
mp-13182,Li2TiGeO5
mp-13634,Cs2LiAl3F12
mp-13772,Li3Pr2(BO3)3
mp-14023,Na3Li3Sc2F12
mp-14457,Na3Li3Ti2F12
mp-14458,Na3Li3Cr2F12
mp-14629,Li2EuSiO4
mp-14646,Li2Mg2(SO4)3
mp-14704,Li6Y(BO3)3
mp-14871,Li16Ta2N8O
mp-15066,LiTmSiO4
mp-15363,Li6Yb(BO3)3
mp-16792,Ba4LiTa3O12
mp-16933,LiFe(WO4)2
mp-16955,K2Li3FeO4
mp-16996,Li3GaSiO5
mp-17208,K2Li14Zr3O14
mp-17288,Li2ZnSiO4
mp-17672,BaLi(B3O5)3
mp-17685,Li3GaGeO5
mp-17774,K2Li3GaO4
mp-17854,LiInGeO4
mp-18002,KLi3GeO4
mp-18147,LiGaSiO4
mp-18220,LiAlSiO4
mp-18640,LiTi2(PO4)3
mp-18704,CsLiBeF4
mp-18711,LiNd(PO3)4
mp-18860,Li2VSiO5
mp-18911,LiVP2O7
mp-18932,LiPr(WO4)2
mp-18997,LiMnPO4
mp-19103,LiCrP2O7
mp-19123,Rb2LiVO4
mp-19294,LiFeP2O7
mp-19377,LiLa2MoO6
mp-19896,Li2GePbS4
mp-21549,LiCr(GeO3)2
mp-21778,Li2Fe2(MoO4)3
mp-22417,LiNiPO4
mp-22694,LiPPbO4
mp-23122,Li10B14Cl2O25
mp-23582,KLi6BiO6
mp-24610,LiP(HO2)2
mp-25977,LiFe(PO3)4
mp-25983,LiMo(PO4)2
mp-25993,Li3Fe2(PO4)3
mp-26003,LiFe(PO3)3
mp-26005,LiMn6P7O24
mp-26015,LiCo(PO3)3
mp-26019,LiMn(PO3)3
mp-26086,LiMo2(PO4)3
mp-26262,LiCu(PO3)4
mp-26712,LiV2(PO4)3
mp-26955,LiV(PO3)4
mp-26965,Li2CrP2O7
mp-26971,Li3Cr2(PO4)3
mp-26975,Li9Cr3P8O29
mp-26977,LiMn2P3O10
mp-26981,LiMnP2O7
mp-26983,LiMn(PO3)4
mp-26985,Li2Fe3(P2O7)2
mp-26997,LiCo(PO3)4
mp-27003,Li3Mo2(PO4)3
mp-27007,LiFe2P3O10
mp-504353,LiSb(PO3)4
mp-504460,LiMnGaF6
mp-504810,Rb2Li14Pb3O14
mp-505381,NaLi3(H2N)4
mp-505431,K2LiInAs2
mp-510073,RbLi(H2N)2
mp-510338,Cs2LiVS4
mp-540945,Na2Li3GaO4
mp-540965,Na2Li3FeO4
mp-541190,Cs2LiVO4
mp-541569,Sr2Li3TaN4
mp-542008,Li3Fe2(AsO4)3
mp-542122,Ba3LiRu2O9
mp-542207,Ba3LiOs2O9
mp-543044,BaLiAlF6
mp-552307,Li2Co(WO4)2
mp-552663,LiScAs2O7
mp-553926,NaLiB4O7
mp-553962,Rb2LiNbS4
mp-554028,Na5LiMn2O8
mp-554076,BaLiBS3
mp-554131,SrLiCoF6
mp-554752,RbLi7(SiO4)2
mp-554804,Li2MnP2O7
mp-554837,Ba3LiIr2O9
mp-554917,LiSn2(PO4)3
mp-555082,CsLi5(BO3)2
mp-555206,KLiCrO4
mp-555232,LiU4P3O20
mp-555743,LiZnPO4
mp-555965,Li2ZnSn3O8
mp-555979,Li2Pr(NO3)5
mp-556085,Rb2LiTaS4
mp-556209,RbLiMoO4
mp-556531,LiSi2BO6
mp-556655,Li2AlBO4
mp-556792,LiCaCrF6
mp-556902,KLi4NbO5
mp-557104,LiAlB2O5
mp-557177,Li2Al(BO2)5
mp-557268,KLi4AlO4
mp-557293,Li2CdSiO4
mp-557309,Na3LiWO5
mp-557467,Li4Ca(BO3)2
mp-557473,K5LiGe2O7
mp-557632,K2LiBO3
mp-557652,Li3Mo3P3O17
