material_id,pretty_formula
mp-135,Li
mp-131,Zr
mp-2286,Li2Se
mp-573471,Li17Sn4
mp-135,Li
mp-28,Ce
mp-1197547,Li15Pd4
mp-23703,LiH
mp-135,Li
mp-2074,Li3Sb
mp-135,Li
mp-28,Ce
mp-23222,Li3Bi
mp-135,Li
mp-28,Ce
mp-135,Li
mp-708,LaAs
mp-26,La
mp-1018766,Li3LaAs2
mp-757,Li3As
mp-135,Li
mp-1018766,Li3LaAs2
mp-135,Li
mp-708,LaAs
mp-1077063,La2Bi
mp-135,Li
mp-26,La
mp-1077063,La2Bi
mp-1105962,La5Bi3
mp-135,Li
mp-1018768,Li3LaBi2
mp-1105962,La5Bi3
mp-135,Li
mp-23222,Li3Bi
mp-1018768,Li3LaBi2
mp-135,Li
mp-980757,Sm5Sb3
mp-135,Li
mp-69,Sm
mp-2074,Li3Sb
mp-980757,Sm5Sb3
mp-135,Li
mp-23222,Li3Bi
mp-135,Li
mp-112,Y
mp-2251,Li3N
mp-135,Li
mp-33,Ru
mp-1188283,V8N
mp-135,Li
mp-146,V
mp-4604,Li7VN4
mp-1188283,V8N
mp-135,Li
mp-4604,Li7VN4
mp-2251,Li3N
mp-135,Li
mp-2251,Li3N
mp-2074,Li3Sb
mp-135,Li
mp-2251,Li3N
mp-135,Li
mp-49,Os
mp-23222,Li3Bi
mp-135,Li
mp-155,Gd
mp-1078961,LiTbGe
mp-135,Li
mp-11698,Tb
mp-1078961,LiTbGe
mp-1777,Li15Ge4
mp-135,Li
mp-567395,Li15Au4
mp-135,Li
mp-1138,LiF
mp-1095265,LiYbBi
mp-135,Li
mp-162,Yb
mp-23222,Li3Bi
mp-1095265,LiYbBi
mp-135,Li
mp-1095425,LiEuSb
mp-135,Li
mp-1057315,Eu
mp-2074,Li3Sb
mp-1095425,LiEuSb
mp-135,Li
mp-864647,Hf2N
mp-135,Li
mp-103,Hf
mp-1097065,Li2HfN2
mp-2828,HfN
mp-135,Li
mp-1224388,Hf3N2
mp-2828,HfN
mp-135,Li
mp-1224388,Hf3N2
mp-864647,Hf2N
mp-135,Li
mp-2251,Li3N
mp-1097065,Li2HfN2
mp-135,Li
mp-1095380,LiEuBi
mp-135,Li
mp-1057315,Eu
mp-23222,Li3Bi
mp-1095380,LiEuBi
mp-135,Li
mp-574275,Li17Pb4
mp-975904,Li3Cd
mp-135,Li
mp-1885,AlIr
mp-135,Li
mp-279,LiIr
mp-11512,LiAl2Ir
mp-1885,AlIr
mp-135,Li
mp-568404,Li9Al4
mp-11512,LiAl2Ir
mp-135,Li
mp-1204352,Y3Ga2
mp-135,Li
mp-112,Y
mp-1204352,Y3Ga2
mp-11420,YGa
mp-135,Li
mp-29210,Li2Ga
mp-11420,YGa
mp-135,Li
mp-976408,Li3Ag
mp-135,Li
mp-1138,LiF
mp-862658,LiCu3
mp-1153,Li2S
mp-135,Li
mp-510430,Li13In3
mp-23222,Li3Bi
mp-135,Li
mp-510430,Li13In3
mp-1646,Li3Hg
mp-135,Li
mp-574275,Li17Pb4
mp-510430,Li13In3
mp-135,Li
mp-975904,Li3Cd
mp-1646,Li3Hg
mp-135,Li
mp-1960,Li2O
mp-135,Li
mp-10740,Pa
mp-574275,Li17Pb4
mp-135,Li
mp-1183069,Ac
mp-867227,Li3Pt
mp-1777,Li15Ge4
mp-135,Li
mp-981935,Li5Mg
mp-567395,Li15Au4
mp-135,Li
mp-981935,Li5Mg
mp-574275,Li17Pb4
mp-135,Li
mp-568404,Li9Al4
mp-19923,GdAl2
mp-135,Li
mp-1185392,LiGd2Al
mp-135,Li
mp-155,Gd
mp-1078585,GdAl
mp-19923,GdAl2
mp-135,Li
mp-1078585,GdAl
mp-1185392,LiGd2Al
mp-135,Li
mp-861947,LiPm2Ga
mp-135,Li
mp-867200,Pm
mp-983460,Li2PmGa
mp-29210,Li2Ga
mp-135,Li
mp-983460,Li2PmGa
mp-861947,LiPm2Ga
mp-135,Li
mp-867227,Li3Pt
mp-1934,LiZn
mp-135,Li
mp-1185421,LiZnNi2
mp-135,Li
mp-23,Ni
mp-867252,LiZn2Ni
mp-135,Li
mp-1934,LiZn
mp-867252,LiZn2Ni
mp-1185421,LiZnNi2
mp-135,Li
mp-976408,Li3Ag
mp-1934,LiZn
mp-135,Li
mp-2509,ThRh3
mp-135,Li
mp-600561,LiRh
mp-1107,Th7Rh3
mp-135,Li
mp-37,Th
mp-1107,Th7Rh3
mp-12755,ThRh
mp-135,Li
mp-1185462,LiThRh2
mp-12755,ThRh
mp-135,Li
mp-1185462,LiThRh2
mp-2509,ThRh3
mp-135,Li
mp-20084,GdRh2
mp-135,Li
mp-600561,LiRh
mp-20084,GdRh2
mp-1742,GdRh
mp-135,Li
mp-1185609,LiGd2Rh
mp-135,Li
mp-155,Gd
mp-1185609,LiGd2Rh
mp-1742,GdRh
mp-135,Li
mp-573471,Li17Sn4
mp-135,Li
mp-145,Lu
mp-1190768,LiSmSn
mp-135,Li
mp-69,Sm
mp-573471,Li17Sn4
mp-1190768,LiSmSn
mp-135,Li
mp-1191877,LiGdSn
mp-135,Li
mp-155,Gd
mp-573471,Li17Sn4
mp-1191877,LiGdSn
mp-135,Li
mp-30735,Ho5Sn3
mp-135,Li
mp-144,Ho
mp-1192002,LiHoSn
mp-573471,Li17Sn4
mp-135,Li
mp-1192002,LiHoSn
mp-30735,Ho5Sn3
mp-135,Li
mp-15820,LiHoGe
mp-135,Li
mp-144,Ho
mp-15820,LiHoGe
mp-1777,Li15Ge4
mp-135,Li
mp-135,Li
mp-37,Th
mp-1138,LiF
mp-573471,Li17Sn4
mp-135,Li
mp-1138,LiF
mp-1105989,Lu5Ge3
mp-135,Li
mp-145,Lu
mp-1205878,LiLuGe
mp-1777,Li15Ge4
mp-135,Li
mp-1205878,LiLuGe
mp-1105989,Lu5Ge3
mp-135,Li
mp-862658,LiCu3
mp-1777,Li15Ge4
mp-135,Li
mp-135,Li
mp-72,Ti
mp-2286,Li2Se
mp-1960,Li2O
mp-135,Li
mp-113,Tc
mp-1191159,LiPrSn
mp-135,Li
mp-1059256,Pr
mp-573471,Li17Sn4
mp-1191159,LiPrSn
mp-135,Li
mp-867227,Li3Pt
mp-1960,Li2O
mp-135,Li
mp-1646,Li3Hg
mp-2545,YbHg
mp-135,Li
mp-1211433,Li6Yb17Hg9
mp-135,Li
mp-162,Yb
mp-1211433,Li6Yb17Hg9
mp-2545,YbHg
mp-135,Li
mp-1188310,Tm5Ge3
mp-135,Li
mp-143,Tm
mp-1205941,LiTmGe
mp-1777,Li15Ge4
mp-135,Li
mp-1205941,LiTmGe
mp-1188310,Tm5Ge3
mp-135,Li
mp-29720,Li21Si5
mp-862658,LiCu3
mp-135,Li
mp-1269,SmS
mp-135,Li
mp-69,Sm
mp-1153,Li2S
mp-1269,SmS
mp-135,Li
mp-135,Li
mp-44,U
mp-570935,LiI
mp-23222,Li3Bi
mp-1153,Li2S
mp-135,Li
mp-975904,Li3Cd
mp-2074,Li3Sb
mp-135,Li
mp-135,Li
mp-99,Er
mp-976280,LiBr
mp-981935,Li5Mg
mp-7396,Li3Tl
mp-135,Li
mp-1222617,Li2ZnCu3
mp-135,Li
mp-862658,LiCu3
mp-1222617,Li2ZnCu3
mp-135,Li
mp-1934,LiZn
mp-981935,Li5Mg
mp-1646,Li3Hg
mp-135,Li
mp-981935,Li5Mg
mp-29210,Li2Ga
mp-135,Li
mp-1197547,Li15Pd4
mp-1777,Li15Ge4
mp-135,Li
mp-981935,Li5Mg
mp-757,Li3As
mp-135,Li
mp-7396,Li3Tl
mp-1197547,Li15Pd4
mp-135,Li
mp-567395,Li15Au4
mp-1186055,Na
mp-135,Li
mp-867227,Li3Pt
mp-135,Li
mp-1138,LiF
mp-17751,Y5Ge3
mp-135,Li
mp-112,Y
mp-14209,LiYGe
mp-1777,Li15Ge4
mp-135,Li
mp-14209,LiYGe
mp-17751,Y5Ge3
mp-135,Li
mp-862658,LiCu3
mp-757,Li3As
mp-135,Li
mp-1153,Li2S
mp-135,Li
mp-112,Y
mp-1153,Li2S
mp-135,Li
mp-1184067,Dy
mp-1153,Li2S
mp-135,Li
mp-144,Ho
mp-135,Li
mp-11698,Tb
mp-2286,Li2Se
mp-135,Li
mp-144,Ho
mp-2286,Li2Se
mp-135,Li
mp-99,Er
mp-2286,Li2Se
mp-15822,LiSmGe
mp-135,Li
mp-69,Sm
mp-15822,LiSmGe
mp-1777,Li15Ge4
mp-135,Li
mp-10181,LiSiNi2
mp-135,Li
mp-23,Ni
mp-29720,Li21Si5
mp-10181,LiSiNi2
mp-135,Li
mp-976408,Li3Ag
mp-2074,Li3Sb
mp-135,Li
mp-573471,Li17Sn4
mp-135,Li
mp-600561,LiRh
mp-510430,Li13In3
mp-135,Li
mp-2286,Li2Se
mp-867227,Li3Pt
mp-510430,Li13In3
mp-135,Li
mp-510430,Li13In3
mp-2530,Li2Te
mp-135,Li
mp-865892,Li2CaPb
mp-570466,Li2Ca
mp-135,Li
mp-574275,Li17Pb4
mp-865892,Li2CaPb
mp-135,Li
mp-1197547,Li15Pd4
mp-510430,Li13In3
mp-135,Li
mp-11544,Yb2Pb
mp-135,Li
mp-162,Yb
mp-11544,Yb2Pb
mp-866180,Li2YbPb
mp-135,Li
mp-574275,Li17Pb4
mp-866180,Li2YbPb
mp-135,Li
mp-573471,Li17Sn4
mp-135,Li
mp-33,Ru
mp-135,Li
mp-129,Mo
mp-1138,LiF
mp-834,ThN
mp-135,Li
mp-37,Th
mp-27487,Li2ThN2
mp-2251,Li3N
mp-135,Li
mp-27487,Li2ThN2
mp-834,ThN
mp-135,Li
mp-1186055,Na
mp-2286,Li2Se
mp-135,Li
mp-18337,Be3N2
mp-135,Li
mp-87,Be
mp-29463,LiBeN
mp-2251,Li3N
mp-135,Li
mp-29463,LiBeN
mp-18337,Be3N2
mp-135,Li
mp-567395,Li15Au4
mp-135,Li
mp-570935,LiI
mp-2988,Li2GaRh
mp-29210,Li2Ga
mp-135,Li
mp-2988,Li2GaRh
mp-135,Li
mp-600561,LiRh
mp-135,Li
mp-75,Nb
mp-1185319,LiCl
mp-976408,Li3Ag
mp-510430,Li13In3
mp-135,Li
mp-567395,Li15Au4
mp-510430,Li13In3
mp-135,Li
mp-567395,Li15Au4
mp-2074,Li3Sb
mp-135,Li
mp-567395,Li15Au4
mp-573471,Li17Sn4
mp-135,Li
mp-30816,Li2AlPd
mp-568404,Li9Al4
mp-135,Li
mp-30816,Li2AlPd
mp-1197547,Li15Pd4
mp-135,Li
mp-568404,Li9Al4
mp-30818,Li2AlPt
mp-135,Li
mp-867227,Li3Pt
mp-30818,Li2AlPt
mp-135,Li
mp-29210,Li2Ga
mp-135,Li
mp-862658,LiCu3
mp-510430,Li13In3
mp-135,Li
mp-279,LiIr
mp-867227,Li3Pt
mp-2074,Li3Sb
mp-135,Li
mp-3201,Li2GaPd
mp-29210,Li2Ga
mp-135,Li
mp-3201,Li2GaPd
mp-1197547,Li15Pd4
mp-135,Li
mp-135,Li
mp-69,Sm
mp-2286,Li2Se
mp-29210,Li2Ga
mp-3726,Li2GaPt
mp-135,Li
mp-867227,Li3Pt
mp-3726,Li2GaPt
mp-135,Li
mp-1213824,Ce4Ge3
mp-135,Li
mp-28,Ce
mp-1777,Li15Ge4
mp-1213824,Ce4Ge3
mp-135,Li
mp-567412,Y5Sn3
mp-135,Li
mp-112,Y
mp-504790,LiYSn
mp-567412,Y5Sn3
mp-135,Li
mp-573471,Li17Sn4
mp-504790,LiYSn
mp-135,Li
mp-2074,Li3Sb
mp-1186055,Na
mp-135,Li
mp-31441,Li2GaIr
mp-135,Li
mp-279,LiIr
mp-31441,Li2GaIr
mp-29210,Li2Ga
mp-135,Li
mp-1153,Li2S
mp-2530,Li2Te
mp-135,Li
mp-976408,Li3Ag
mp-573471,Li17Sn4
mp-135,Li
mp-567735,Nd5Si3
mp-135,Li
mp-123,Nd
mp-571109,Li2Nd2Si3
mp-9967,NdSi
mp-135,Li
