entry_id,pretty_formula
mp-135,Li
mp-131,Zr
mp-2286,Li2Se
mp-573471,Li17Sn4
mp-28,Ce
mp-1197547,Li15Pd4
mp-23703,LiH
mp-2074,Li3Sb
mp-23222,Li3Bi
mp-708,LaAs
mp-26,La
mp-1018766,Li3LaAs2
mp-757,Li3As
mp-1077063,La2Bi
mp-1105962,La5Bi3
mp-1018768,Li3LaBi2
mp-980757,Sm5Sb3
mp-69,Sm
mp-112,Y
mp-2251,Li3N
mp-33,Ru
mp-1188283,V8N
mp-146,V
mp-4604,Li7VN4
mp-49,Os
mp-155,Gd
mp-1078961,LiTbGe
mp-11698,Tb
mp-1777,Li15Ge4
mp-567395,Li15Au4
mp-1138,LiF
mp-1095265,LiYbBi
mp-162,Yb
mp-1095425,LiEuSb
mp-1057315,Eu
mp-864647,Hf2N
mp-103,Hf
mp-1097065,Li2HfN2
mp-2828,HfN
mp-1224388,Hf3N2
mp-1095380,LiEuBi
mp-574275,Li17Pb4
mp-975904,Li3Cd
mp-1885,AlIr
mp-279,LiIr
mp-11512,LiAl2Ir
mp-568404,Li9Al4
mp-1204352,Y3Ga2
mp-11420,YGa
mp-29210,Li2Ga
mp-976408,Li3Ag
mp-862658,LiCu3
mp-1153,Li2S
mp-510430,Li13In3
mp-1646,Li3Hg
mp-1960,Li2O
mp-10740,Pa
mp-1183069,Ac
mp-867227,Li3Pt
mp-981935,Li5Mg
mp-19923,GdAl2
mp-1185392,LiGd2Al
mp-1078585,GdAl
mp-861947,LiPm2Ga
mp-867200,Pm
mp-983460,Li2PmGa
mp-1934,LiZn
mp-1185421,LiZnNi2
mp-23,Ni
mp-867252,LiZn2Ni
mp-2509,ThRh3
mp-600561,LiRh
mp-1107,Th7Rh3
mp-37,Th
mp-12755,ThRh
mp-1185462,LiThRh2
mp-20084,GdRh2
mp-1742,GdRh
mp-1185609,LiGd2Rh
mp-145,Lu
mp-1190768,LiSmSn
mp-1191877,LiGdSn
mp-30735,Ho5Sn3
mp-144,Ho
mp-1192002,LiHoSn
mp-15820,LiHoGe
mp-1105989,Lu5Ge3
mp-1205878,LiLuGe
mp-72,Ti
mp-113,Tc
mp-1191159,LiPrSn
mp-1059256,Pr
mp-2545,YbHg
mp-1211433,Li6Yb17Hg9
mp-1188310,Tm5Ge3
mp-143,Tm
mp-1205941,LiTmGe
mp-29720,Li21Si5
mp-1269,SmS
mp-44,U
mp-570935,LiI
mp-99,Er
mp-976280,LiBr
mp-7396,Li3Tl
mp-1222617,Li2ZnCu3
mp-1186055,Na
mp-17751,Y5Ge3
mp-14209,LiYGe
mp-1184067,Dy
mp-15822,LiSmGe
mp-10181,LiSiNi2
mp-2530,Li2Te
mp-865892,Li2CaPb
mp-570466,Li2Ca
mp-11544,Yb2Pb
mp-866180,Li2YbPb
mp-129,Mo
mp-834,ThN
mp-27487,Li2ThN2
mp-18337,Be3N2
mp-87,Be
mp-29463,LiBeN
mp-2988,Li2GaRh
mp-75,Nb
mp-1185319,LiCl
mp-30816,Li2AlPd
mp-30818,Li2AlPt
mp-3201,Li2GaPd
mp-3726,Li2GaPt
mp-1213824,Ce4Ge3
mp-567412,Y5Sn3
mp-504790,LiYSn
mp-31441,Li2GaIr
mp-567735,Nd5Si3
mp-123,Nd
mp-571109,Li2Nd2Si3
mp-9967,NdSi
mp-355,Nd5Si4
mp-1185233,Li2YIn
mp-1186899,Rb
mp-686129,Li5TiN3
mp-492,TiN
mp-8282,Ti2N
mp-772185,Li6Hf2O7
mp-91,W
mp-759,La2Sb
mp-8405,Li3LaSb2
mp-2602,NdAs
mp-8406,Li3NdAs2
mp-35,Mn
mp-867883,La3Pb
mp-861893,Li2LaPb
mp-862980,PmAl3
mp-861948,LiPm2Al
mp-862929,Li2PmAl
mp-861951,LiTaRh2
mp-50,Ta
mp-861955,LiPm2Ge
mp-567590,LuOs2
mp-861963,LiLu2Os
mp-862297,LiAlRh2
mp-364,AlRh
mp-30821,LiAl2Rh
mp-1495,ErIr2
mp-2713,ErIr
mp-1201760,Er5Ir3
mp-862554,LiEr2Ir
mp-2322,YAl2
mp-862555,LiY2Al
mp-862558,LiEr2Os
mp-569220,ErRu2
mp-862661,LiEr2Ru
mp-11452,HfOs
mp-862684,LiHf2Os
mp-571262,CaRh2
mp-1214063,Ca5Rh
mp-862764,LiCa2Rh
mp-862765,LiGd2Ir
mp-862841,LiPm2Os
mp-567612,ScOs2
mp-568623,Sc44Os7
mp-67,Sc
mp-12305,Sc11Os4
mp-862887,LiSc2Os
mp-862934,Li2PmTl
mp-862935,Li2PmSn
mp-866200,Li2SmTl
mp-865349,Li2GdTl
mp-892,ScPt
mp-1196981,Sc57Pt13
mp-865444,LiSc2Pt
mp-1184479,Gd3In
mp-865483,Li2GdIn
mp-8481,LiPrGe
mp-865715,Li2PrTl
mp-1780,ScRh
mp-30863,Sc57Rh13
mp-865793,LiSc2Rh
mp-865838,LiSiRu2
mp-189,SiRu
mp-1065995,ZrPt
mp-865867,Li2YTl
mp-865868,LiZrRh2
mp-669917,ZrRh
mp-571664,Zr2Rh
mp-1188413,Zr3Rh
mp-570684,ZrOs2
mp-11541,ZrOs
mp-865870,LiZr2Os
mp-865933,LiSiIr2
mp-865936,LiSc2Tc
mp-867262,ScTc3
mp-865964,Li2CaSn
mp-866179,Li2NdTl
mp-866181,Li2NdIn
mp-1207599,Yb2Si
mp-866191,Li2YbSi
mp-11564,TmRh
mp-867162,LiTm2Rh
mp-1195042,Sr19Li44
mp-30828,Sr2Pb
mp-867174,SrLi2Pb
mp-867197,LiGaNi2
mp-2762,YIr2
mp-30746,YIr
mp-1198712,Y5Ir3
mp-1207785,Y3Ir
mp-867235,LiY2Ir
mp-867253,LiZn2Ir
mp-1101953,HoOs2
mp-1190011,Ho3Os
mp-867269,LiHo2Os
mp-867272,LiAlCu2
mp-2725,TbIr2
mp-1201266,Tb5Ir3
mp-1106276,Tb3Ir
mp-867285,LiTb2Ir
mp-867474,Li2EuSn
mp-2593,AlNi3
mp-862318,LiAl2Ni
mp-1487,AlNi
mp-16514,Al3Ni5
mp-867812,LiAlNi2
mp-1184905,K
mp-11534,Np
mp-568630,LuRu2
mp-11495,LuRu
mp-977393,LiLu2Ru
mp-377,LuRh
mp-977405,LiLu2Rh
mp-2339,Ti3Pt
mp-1186231,NbIr3
mp-1458,Nb3Ir
mp-977563,LiNbIr2
mp-12049,Nd2Sb
mp-1071848,Pr2Sb
mp-1079394,LiDyGe
mp-861894,Li2LaSn
mp-1095274,LiYbAs
mp-1095352,LiEuAs
mp-1095371,LiYbSb
mp-15821,LiNdGe
mp-1186901,Re
mp-1079796,Ti3Pd
mp-13164,Ti2Pd
mp-1185267,LiNpRu2
mp-1185270,LiNpRh2
mp-1072399,Be5Pt
mp-1185329,LiAcRh2
mp-510184,GdOs2
mp-1185354,LiGd2Os
mp-866195,Li2LaTl
mp-20353,GdGa
mp-1185394,LiGd2Ga
mp-1188469,La5Ge3
mp-1191015,LiNdSn
mp-1192210,LiDySn
mp-1197580,Li6Ca17Hg9
mp-1106373,Sm5Si3
mp-1025489,SmSi
mp-1079937,Pr3Si2
mp-9968,PrSi
mp-1210780,Li2Pr2Si3
mp-13,Fe
mp-11854,Er5Ge3
mp-13474,LiErGe
mp-1610,TbS
mp-31442,Li2InRh
mp-14210,LiGdGe
mp-18189,LiTmSn
mp-1001835,LiB
mp-54,Co
mp-27797,Li4H4Rh
mp-29149,Li4NCl
mp-122,Ba
mp-1865,UN
mp-31066,LiUN2
mp-3348,LiBIr
mp-2857,ScN
mp-542435,Li3ScN2
mp-569501,LiCaBi
mp-605839,Li2B2Rh3
mp-2493,CeN
mp-8181,Li2CeN2
mp-1129,ScIr
mp-861616,LiSc2Ir
mp-1200708,Sc44Ir7
mp-862655,Ru3W
mp-861666,LiRu2W
mp-567490,Hf5Re24
mp-861875,LiHf2Re
mp-1203605,Hf21Re25
mp-1689,HfRe2
mp-1358,DyIr2
mp-1200226,Dy5Ir3
mp-1105615,Dy3Ir
mp-861915,LiDy2Ir
mp-861956,LiPm2Ir
mp-1761,LuIr2
mp-1529,LuIr
mp-861964,LiLu2Ir
mp-862714,Be3Ir
mp-862377,LiBe2Ir
mp-2126,HfIr3
mp-1212499,Hf5Ir3
mp-1007786,HfIr
mp-862610,LiHfIr2
mp-862614,LiTm2Ru
mp-568186,YRu2
mp-1207781,Y3Ru
mp-862673,LiY2Ru
mp-862685,LiAc2Ir
mp-862686,LiAc2Ru
mp-570670,YOs2
mp-1188757,Y3Os
mp-862719,LiY2Os
mp-862746,Sr2LiTl
mp-864772,LiSc2Au
mp-862842,LiPm2Pt
mp-862930,Li2PmIn
mp-863673,LiPm2Rh
mp-863675,LiPm2Ru
mp-863697,LiPm2Si
mp-864601,LiMg2Rh
mp-864631,LiNbRh2
mp-1545,Nb3Rh
mp-1584,YbIr2
mp-864759,LiYb2Ir
mp-2235,YbRh2
mp-567089,YbRh
mp-864763,LiYb2Rh
mp-544,Ti3Ir
mp-1235,TiIr
mp-864930,LiTiIr2
mp-865029,LiPaRu2
mp-1190862,Sc2Pd
mp-2781,ScPd
mp-865580,Li2DyIn
mp-865622,Li2HoIn
mp-567750,ScRu2
mp-30867,ScRu
mp-1209947,Sc44Ru7
mp-1194143,Sc11Ru4
mp-865795,LiSc2Ru
mp-1095545,ZrTc2
mp-865893,LiZr2Tc
mp-1438,ZrIr3
mp-30749,Zr5Ir3
mp-568992,ZrIr
mp-865925,LiZrIr2
mp-30748,Zr3Ir
mp-865959,LiHo2Ru
mp-646926,GdRu2
mp-866058,LiGd2Ru
mp-866192,Li2YbSn
mp-866193,Li2LaIn
mp-866196,Li2PrIn
mp-866669,Sr17(Li2Hg3)3
mp-867111,LiDy2Ru
mp-30622,Dy5Ru2
mp-1105841,Dy3Ru
mp-1190626,Hf2Rh
mp-867148,LiHfRh2
mp-11457,HfRh
mp-867167,LiCa2Tl
mp-867171,SrLi2Sn
mp-30743,TmIr2
mp-11483,TmIr
mp-867220,LiTm2Ir
mp-867265,LiTm2Os
mp-1102508,DyOs2
mp-1189887,Dy3Os
mp-867776,LiDy2Os
mp-1578,V3Rh
mp-867829,LiVRh2
mp-1007691,HfPt
mp-867902,LiSiRh2
mp-1101816,Lu2Au
mp-928,HoIr2
mp-11476,HoIr
mp-1197997,Ho5Ir3
mp-867913,LiHo2Ir
mp-2006,V3Ir
mp-867927,LiVIr2
mp-983444,LiPmZn2
mp-984635,LiErSn
mp-969,YbAl2
mp-865934,YbF2
mp-2801,CeCu2
mp-2154,CeP
mp-736,Li3P
mp-21708,CeCu6
mp-1080443,YCu
mp-994,YP
mp-2698,YCu2
mp-2797,YCu5
mp-1937,YbCu
mp-1607,YbCu5
mp-567538,YbCu2
mp-1215377,Zr4O
mp-22447,Zr3P
mp-583740,Zr7P4
mp-3838,Li5ReN4
mp-1097959,LiEu4(BN2)3
mp-20874,EuB6
mp-1212961,Eu2N
mp-5001,Li3BN2
mp-1104693,LiCa2HC3
mp-1021323,LiC12
mp-570175,Ce5Si3
mp-1210884,Li2Ce2Si3
mp-23193,KCl
mp-90,Cr
mp-573697,CsCl
mp-1184151,Cs
mp-1188344,CsLiCl2
mp-614603,CsI
mp-864614,LiMg2Pt
mp-1184,La2C3
mp-567290,LaN
mp-9610,Li2CN2
mp-2367,LaC2
mp-7756,SrLiSb
mp-995,EuIr2
mp-623108,Eu4Ir
mp-21394,EuO
mp-1199558,Sm5Ir3
mp-218,Sm2O3
mp-1104500,Sm5Ir2
mp-7342,Sm3Ir
mp-890,NdIr2
mp-30522,Nd5Ir3
mp-1045,Nd2O3
mp-1104605,Nd5Ir2
mp-1189686,Nd3Ir
mp-946,PrIr2
mp-1205021,Pr5Ir3
mp-1104160,Pr5Ir2
mp-16705,Pr2O3
mp-1106395,Pr3Ir
mp-1427,Lu2O3
mp-754605,LiLuO2
mp-2652,Y2O3
mp-7020,LiYO2
mp-812,Ho2O3
mp-12645,LiHoO2
mp-2605,CaO
