material_id,pretty_formula,theoretical,band_gap,density,e_above_hull,icsd_ids
mp-2542,BeO,False,7.463,2.967,0.000,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-981,SrF2,False,6.776,4.134,0.000,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]"
mp-568662,BaCl2,False,5.612,3.394,0.000,[2191]
mp-23193,KCl,False,5.045,1.904,0.000,"[240508, 240509, 240513, 240528, 240526, 162799, 240502, 240505, 240520, 240529, 22156, 52242, 53825, 240527, 240511, 240519, 187219, 18014, 240507, 240524, 240525, 154214, 28938, 240506, 240503, 240522, 240515, 240521, 240523, 240518, 240504, 240530, 44281, 240510, 240512, 165593, 240516, 53841]"
mp-573697,CsCl,False,5.017,3.175,0.000,"[52274, 61515]"
mp-23295,RbCl,False,5.016,2.672,0.000,"[18016, 22166, 53829, 61538, 162798, 23761, 44285, 53844]"
mp-23251,KBr,False,4.515,2.624,0.000,"[52243, 53826, 44282, 187220, 18015, 22157, 53842]"
mp-567744,SrBr2,False,4.470,3.756,0.000,[15972]
mp-643,ThO2,False,4.464,9.884,0.000,"[28778, 647528, 647527, 61585, 246706, 105550, 647529, 647530, 647523, 77691, 647525, 61586, 77690, 601173, 647531, 236586, 647524, 53999, 28685]"
mp-571222,CsBr,False,4.425,3.485,0.000,[61516]
mp-23063,Ba4Cl6O,False,4.373,3.778,0.000,"[16026, 408175]"
mp-22867,RbBr,False,4.372,3.164,0.000,"[44286, 53830, 18017, 22167, 53845]"
mp-27791,SrBe3O4,False,4.127,3.568,0.000,[26179]
mp-2652,Y2O3,False,4.106,4.892,0.000,"[193377, 237970, 193375, 193376, 193374, 187274, 41936, 160890, 290965, 86814, 81861, 66242, 85355, 82420, 290963, 16394, 86817, 78581, 186675, 153500, 193042, 181871, 155173, 184530, 185295, 23811, 290961, 26190, 27772, 647653, 181825, 80033, 86815, 77081, 86813, 151761, 66730, 33648, 66243, 41267, 151760, 290960, 192862, 290964]"
mp-22916,NaBr,False,4.090,3.121,0.000,"[41440, 53822, 52239, 61672, 18013, 44278, 26910]"
mp-661,AlN,False,4.054,3.201,0.000,"[608626, 608627, 602460, 190420, 44107, 54697, 161881, 82790, 602459, 191772, 183638, 185441, 42001, 34475, 44106, 608624, 41480, 163953, 31169, 181362, 34236, 41482, 67767, 41542]"
mp-22898,KI,False,4.043,2.972,0.000,"[53843, 44283, 52244, 22158, 53827]"
mp-1427,Lu2O3,False,4.031,9.495,0.000,"[193361, 194467, 428543, 642475, 151762, 40471, 642477, 96211, 33659, 168341]"
mp-1767,Tm2O3,False,3.991,8.919,0.000,"[647578, 33657, 78582, 184541, 90669, 61270, 647581]"
mp-29909,Ba4I6O,False,3.988,4.813,0.000,[280584]
mp-679,Er2O3,False,3.982,8.654,0.000,"[39185, 55832, 39187, 53406, 39521, 94888, 180843, 96210, 33656, 184540, 39189, 630890, 630897, 186592, 39190, 39186, 39188, 27992, 27774]"
mp-812,Ho2O3,False,3.961,8.404,0.000,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]"
mp-22903,RbI,False,3.954,3.360,0.000,"[53831, 61536, 22168, 44287, 53846]"
mp-2345,Dy2O3,False,3.936,8.144,0.000,"[630047, 82421, 630042, 61269, 248579, 184538, 185242, 248578, 185606, 96208, 27994, 180837, 41269, 66736]"
mp-1056,Tb2O3,False,3.912,7.837,0.000,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]"
mp-218,Sm2O3,False,3.878,6.962,0.000,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]"
mp-614603,CsI,False,3.856,3.555,0.000,[61517]
mp-553921,Pm2O3,False,3.775,6.605,0.000,"[647284, 96205]"
mp-18337,Be3N2,False,3.717,2.703,0.000,"[616348, 412667]"
mp-1045,Nd2O3,False,3.711,6.396,0.000,"[191535, 645662, 96204, 645664, 645657, 184534]"
mp-2605,CaO,False,3.692,3.287,0.000,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]"
mp-16705,Pr2O3,False,3.659,6.090,0.000,"[647301, 184533, 647290, 96203]"
mp-2292,La2O3,False,3.590,5.840,0.000,"[641600, 184531, 641602, 96201]"
mp-23268,NaI,False,3.569,3.572,0.000,"[61504, 53823, 52240, 61502, 44279, 61503]"
mp-11107,Ac2O3,False,3.562,8.975,0.000,[31750]
mp-1216,YbO,False,3.531,11.723,0.000,"[77710, 151764]"
mp-23260,BaI2,False,3.436,4.899,0.000,"[24366, 15707]"
mp-23713,CaH2,False,3.186,1.959,0.000,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]"
mp-12671,Er2SO2,False,3.182,8.210,0.000,[109334]
mp-12670,Ho2SO2,False,3.138,7.992,0.000,[109333]
mp-12668,Tb2SO2,False,3.134,7.501,0.000,[109331]
mp-12669,Dy2SO2,False,3.115,7.771,0.000,[109332]
mp-4511,La2SO2,False,3.080,5.700,0.000,"[31640, 31614, 260145, 154583, 14280]"
mp-5598,Sm2SO2,False,3.057,6.730,0.000,"[191403, 647379, 93224]"
mp-3211,Nd2SO2,False,3.016,6.222,0.000,"[645665, 300245, 32515]"
mp-3236,Pr2SO2,False,3.005,5.945,0.000,"[109329, 154585]"
mp-865934,YbF2,True,6.733,7.541,0.000,[]
mp-865716,YbCl2,True,5.400,4.773,0.000,[]
