0,1,2,3,4,5,6,7
mp-1018134,mp-554098,mp-568151,mp-72,,,,
mp-1018134,mp-1960,mp-554098,mp-568151,,,,
mp-1018134,mp-1777,mp-1960,mp-568151,,,,
mp-1018134,mp-1960,mp-91,mp-981935,,,,
mp-1018134,mp-113,mp-29210,,,,,
mp-1018134,mp-1197547,mp-862658,,,,,
mp-1018134,mp-1103570,mp-11644,,,,,
mp-1018134,mp-1103570,mp-867227,,,,,
mp-1018134,mp-29720,mp-865875,,,,,
mp-1018134,mp-1187739,mp-2474,,,,,
mp-1018134,mp-2474,mp-865875,,,,,
mp-1018134,mp-103,mp-567395,,,,,
mp-1018134,mp-567395,mp-87,,,,,
mp-1018134,mp-1184905,mp-23251,mp-38,,,,
mp-1018134,mp-23251,mp-38,mp-976280,,,,
mp-1018134,mp-1184905,mp-129,mp-23251,,,,
mp-1018134,mp-129,mp-23251,mp-976280,,,,
mp-1018134,mp-1185319,mp-1186081,mp-23222,,,,
mp-1018134,mp-1184905,mp-23193,mp-50,,,,
mp-1018134,mp-1185319,mp-23193,mp-50,,,,
mp-1018134,mp-1138,mp-1179656,mp-129,,,,
mp-1018134,mp-1179656,mp-123,mp-22903,,,,
mp-1018134,mp-123,mp-22903,mp-570935,,,,
mp-1018122,mp-1018134,mp-1179656,mp-23295,,,,
mp-1018122,mp-1018134,mp-1185319,mp-23295,,,,
mp-1018134,mp-1153,mp-1934,mp-736,,,,
mp-1018134,mp-1021323,mp-1186081,mp-13,mp-1960,mp-736,,
mp-1018134,mp-1138,mp-1960,mp-2074,mp-736,,,
mp-1018134,mp-1080525,mp-1915,mp-1960,mp-8365,,,
mp-1018134,mp-1915,mp-1960,mp-20318,mp-8365,,,
mp-1018134,mp-13,mp-1915,mp-1960,mp-20318,,,
mp-1018134,mp-13,mp-1960,mp-20318,mp-35,,,
mp-1001835,mp-1018134,mp-1080525,mp-1960,mp-8365,,,
mp-1018134,mp-1960,mp-284,mp-54,,,,
mp-1018134,mp-1210753,mp-1960,mp-284,,,,
mp-1018134,mp-1960,mp-35,mp-542830,mp-736,mp-90,,
mp-1018134,mp-1021323,mp-1960,mp-20937,mp-542830,mp-736,,
mp-1018134,mp-1196316,mp-1960,mp-20937,mp-542830,mp-736,,
mp-1018134,mp-1960,mp-542830,mp-723,mp-736,mp-90,,
mp-1018134,mp-1196316,mp-1960,mp-542830,mp-723,mp-736,,
mp-1018134,mp-1210753,mp-23703,mp-981935,,,,
mp-1018134,mp-1185319,mp-1934,mp-1960,,,,
mp-1018134,mp-23222,mp-567395,,,,,
mp-1018134,mp-1187739,mp-1207777,,,,,
mp-1018134,mp-1066136,mp-1207777,,,,,
mp-1018134,mp-1066136,mp-1197547,,,,,
mp-1018134,mp-1199558,mp-1960,mp-279,,,,
mp-1018134,mp-1199558,mp-1960,mp-218,,,,
mp-1018134,mp-218,mp-69,mp-7342,,,,
mp-1018134,mp-1104500,mp-1199558,mp-218,,,,
mp-1018134,mp-1104500,mp-218,mp-7342,,,,
mp-1018134,mp-1191159,mp-38,,,,,
mp-1018134,mp-1191159,mp-573471,,,,,
mp-1018134,mp-1138,mp-1153,mp-1960,mp-862658,,,
mp-1018134,mp-1187739,mp-1334,mp-2114,,,,
mp-1018134,mp-1334,mp-2114,mp-9459,,,,
mp-1018134,mp-1029592,mp-2251,mp-9610,,,,
mp-1018134,mp-1029592,mp-2114,mp-9610,,,,
mp-1018134,mp-1021323,mp-1200885,mp-2114,,,,
mp-1018134,mp-1021323,mp-2114,mp-9610,,,,
mp-1018134,mp-1200613,mp-2114,mp-9459,,,,
mp-1018134,mp-1200613,mp-1200885,mp-2114,,,,
mp-1018134,mp-23703,mp-37906,mp-5001,mp-981935,,,
mp-1001835,mp-1018134,mp-23703,mp-5001,mp-981935,,,
mp-1018134,mp-2251,mp-30228,mp-37906,mp-5001,,,
mp-1018134,mp-23703,mp-30228,mp-37906,mp-5001,,,
mp-1018134,mp-1187073,mp-146,mp-981,,,,
mp-1018134,mp-1138,mp-146,mp-981,,,,
mp-1018134,mp-5840,mp-67,mp-91,,,,
mp-1018134,mp-1960,mp-5840,mp-91,,,,
mp-1018134,mp-1184905,mp-129,mp-155,mp-504886,,,
mp-1018134,mp-1184905,mp-129,mp-1960,mp-21332,,,
mp-1018134,mp-1184905,mp-129,mp-21332,mp-504886,,,
mp-1018134,mp-1153,mp-129,mp-2286,,,,
mp-1018134,mp-1138,mp-1153,mp-1960,mp-981935,,,
mp-1018134,mp-12684,mp-2292,mp-2694,,,,
mp-1018134,mp-1960,mp-2292,mp-2694,,,,
mp-1018134,mp-1206996,mp-12684,mp-26,,,,
mp-1018134,mp-1206996,mp-2292,mp-26,,,,
mp-1018134,mp-1206996,mp-12684,mp-2292,,,,
mp-1018134,mp-1210753,mp-1960,mp-2694,,,,
mp-1018134,mp-1138,mp-1960,mp-29210,mp-736,,,
mp-1018134,mp-1960,mp-33,mp-54,,,,
mp-1018134,mp-19920,mp-567332,,,,,
mp-1018134,mp-1018276,mp-19920,,,,,
mp-1018134,mp-1018276,mp-29210,,,,,
mp-1018134,mp-1187073,mp-1960,mp-90,mp-903,,,
mp-1018134,mp-1187073,mp-1215377,mp-131,mp-903,,,
mp-1018134,mp-1187073,mp-1215377,mp-1960,mp-903,,,
mp-1018134,mp-1189967,mp-16705,mp-38,,,,
mp-1018134,mp-1189967,mp-16705,mp-1960,,,,
mp-1018134,mp-1960,mp-49,mp-567339,,,,
mp-1018134,mp-1189967,mp-1960,mp-567339,,,,
mp-1018134,mp-1138,mp-1179656,mp-29210,,,,
mp-1018134,mp-10485,mp-1056,mp-11698,mp-210,,,
mp-1018134,mp-10485,mp-1056,mp-11698,mp-2074,,,
mp-1018134,mp-10485,mp-1960,mp-2074,mp-7137,,,
mp-1018134,mp-10485,mp-1056,mp-2074,mp-7137,,,
mp-1018134,mp-10485,mp-1960,mp-210,mp-7137,,,
mp-1018134,mp-10485,mp-1056,mp-210,mp-7137,,,
mp-1018134,mp-1187739,mp-210,mp-2652,mp-91,,,
mp-1018134,mp-1960,mp-210,mp-7020,mp-91,,,
mp-1018134,mp-210,mp-2652,mp-7020,mp-91,,,
mp-1018134,mp-1187696,mp-1960,mp-862658,mp-90,,,
mp-1018134,mp-1187695,mp-146,mp-1960,mp-862658,,,
mp-1018134,mp-1187696,mp-1216394,mp-1960,mp-862658,,,
mp-1018134,mp-1187695,mp-1216394,mp-1960,mp-862658,,,
mp-1018134,mp-146,mp-1960,mp-2530,mp-554098,,,
mp-1018134,mp-146,mp-2530,mp-554098,mp-72,,,
mp-1018134,mp-1777,mp-1960,mp-510430,,,,
mp-1018134,mp-1138,mp-1960,mp-736,mp-91,,,
mp-1018134,mp-1197547,mp-1777,,,,,
