material_id,pretty_formula,FullWindow
mp-864647,Hf2N,True
mp-103,Hf,True
mp-2828,HfN,True
mp-1224388,Hf3N2,True
mp-19920,Ce3Ga,True
mp-567332,Ce,True
mp-1018276,CeGa,True
mp-568417,PrAl,True
mp-38,Pr,True
mp-1189,PrAl2,True
mp-30666,Sc3Ga2,True
mp-67,Sc,True
mp-1187073,Sr,True
mp-1328,SrRh2,True
mp-113,Tc,True
mp-44,U,True
mp-1189402,Ta2Be17,True
mp-1102049,TaBe3,True
mp-1078957,Ta3Be2,True
mp-567842,TaBe12,True
mp-87,Be,True
mp-11278,Ta2Be,True
mp-50,Ta,True
mp-867200,Pm,True
mp-862980,PmAl3,True
mp-1102133,Tm2Pt,True
mp-1018122,Tm,True
mp-1025409,TmPt,True
mp-1199106,Tm5Pt4,True
mp-1198546,Er3Ga2,True
mp-1184115,Er,True
mp-1018077,ErGa,True
mp-11698,Tb,True
mp-2322,YAl2,True
mp-1187739,Y,True
mp-10172,Na,True
mp-10659,Ho,True
mp-75,Nb,True
mp-1207777,Y3Pd,True
mp-1066136,YPd,True
mp-30367,Ca5Au2,True
mp-972364,Yb,True
mp-2474,YAg,True
mp-1187197,Ta3Os,True
mp-1218177,Ta3Os2,True
mp-1187243,TaOs3,True
mp-49,Os,True
mp-86,Sm,True
mp-1102302,CeOs2,True
mp-2088,CeAl2,True
mp-10740,Pa,True
mp-862690,Ac,True
mp-10658,Dy,True
mp-1102972,Er2Au,True
mp-155,Gd,True
mp-20353,GdGa,True
mp-1106373,Sm5Si3,True
mp-1025489,SmSi,True
mp-23,Ni,True
mp-1105989,Lu5Ge3,True
mp-145,Lu,True
mp-35,Mn,True
mp-11854,Er5Ge3,True
mp-33,Ru,True
mp-54,Co,True
mp-518,Ti5Re24,True
mp-8,Re,True
mp-2179,TiRe,True
mp-1018125,Ti2Re,True
mp-72,Ti,True
mp-1102084,DyTc2,True
mp-1762,ErRh2,True
mp-2381,ErRh,True
mp-11437,Er3Rh,True
mp-30612,Er7Rh3,True
mp-1198715,Er3Rh2,True
mp-396,YbGa,True
mp-1102309,Yb2Ga,True
mp-2524,NdGa2,True
mp-1448,NdGa,True
mp-1203103,Nd3Ga2,True
mp-123,Nd,True
mp-570684,ZrOs2,True
mp-11541,ZrOs,True
mp-131,Zr,True
mp-607,CeRu2,True
mp-570629,Ce4Ru3,True
mp-570369,Ce16Ru9,True
mp-11534,Np,True
mp-1186374,Os3W,True
mp-91,W,True
mp-266,Zr2Pd,True
mp-253,ScCo2,True
mp-2212,ScCo,True
mp-27162,Sc3Co,True
mp-1065995,ZrPt,True
mp-8094,Ba2Hg,True
mp-31172,Ca5Ag3,True
mp-864735,Mn3Ir,True
mp-1057315,Eu,True
mp-1106357,Tb5Sn3,True
mp-1857,YbCd,True
mp-1102319,Lu2Pt,True
mp-1025438,LuPt,True
mp-1202267,Lu5Pt4,True
mp-30800,NdZn2,True
mp-1053,NdZn,True
mp-477,SmGa2,True
mp-1195872,Sm3Ga2,True
mp-1188469,La5Ge3,True
mp-26,La,True
mp-13,Fe,True
mp-2602,NdAs,True
mp-1761,LuIr2,True
mp-1529,LuIr,True
mp-364,AlRh,True
mp-569220,ErRu2,True
mp-568186,YRu2,True
mp-1207781,Y3Ru,True
mp-570438,Yb8Tl3,True
mp-37,Th,True
mp-546,HoRh2,True
mp-2163,HoRh,True
mp-1106336,Ho7Rh3,True
mp-1200753,Ho3Rh2,True
mp-1095604,ErTc2,True
mp-1101816,Lu2Au,True
mp-928,HoIr2,True
mp-11476,HoIr,True
mp-1197997,Ho5Ir3,True
mp-1095487,LuTc2,True
mp-1187196,Ta3Ir,True
mp-1458,Nb3Ir,True
mp-1820,YbS,True
mp-1188292,Y5Pb3,True
mp-1204352,Y3Ga2,True
mp-11420,YGa,True
mp-90,Cr,True
mp-1885,AlIr,True
mp-2206,LuCo2,True
mp-1222465,Lu4Co3,True
mp-19923,GdAl2,True
mp-1078585,GdAl,True
mp-1102354,ThTc2,True
mp-1865,UN,True
mp-834,ThN,True
mp-11452,HfOs,True
mp-2235,YbRh2,True
mp-567089,YbRh,True
mp-669917,ZrRh,True
mp-571664,Zr2Rh,True
mp-1188413,Zr3Rh,True
mp-1374,Zr5Re24,True
mp-12109,ZrRe2,True
mp-574458,Zr21Re25,True
mp-30622,Dy5Ru2,True
mp-1105841,Dy3Ru,True
mp-30743,TmIr2,True
mp-11483,TmIr,True
mp-1198195,Tm5Ir3,True
mp-570436,CaIr2,True
mp-570356,Ca5Ir,True
mp-979911,Y2Au,True
mp-2205,LuPd,True
mp-1087502,HoPd,True
mp-1071848,Pr2Sb,True
mp-1187203,Ta3Re,True
mp-1217894,TaRe,True
mp-971788,VRu3,True
mp-1395,VRu,True
mp-865382,V3Ru,True
mp-146,V,True
mp-977434,Nb3Ru,True
mp-11517,NbRu3,True
mp-432,NbRu,True
mp-1079796,Ti3Pd,True
mp-1072399,Be5Pt,True
mp-1103421,Dy2Pt,True
mp-1078613,DyPt,True
mp-1105479,Dy3Pt,True
mp-1205197,Dy3Ga2,True
mp-30604,DyGa,True
mp-377,LuRh,True
mp-2529,PrRh2,True
mp-999305,PrRh,True
mp-1104158,Pr3Rh2,True
mp-570119,Yb7Au3,True
mp-570527,Yb5Au4,True
mp-568944,Yb5Au3,True
mp-1188310,Tm5Ge3,True
mp-1079937,Pr3Si2,True
mp-9968,PrSi,True
mp-1179656,Rb,True
mp-1102728,Dy2Al,True
mp-803,DyAl2,True
mp-433,DyAl,True
mp-1212499,Hf5Ir3,True
mp-1007786,HfIr,True
mp-1545,Nb3Rh,True
mp-1095658,Tb2Au,True
mp-892,ScPt,True
mp-1196981,Sc57Pt13,True
mp-864637,NdAl,True
mp-400,NdAl2,True
mp-11454,Hf2Pd,True
mp-1197194,Ho3Ga2,True
mp-1018073,HoGa,True
mp-30828,Sr2Pb,True
mp-1007691,HfPt,True
mp-11460,HfTc,True
mp-1095669,HfTc2,True
mp-7188,Al2Os,True
mp-862259,Sc3Al,True
mp-11220,Sc2Al,True
mp-331,ScAl,True
mp-813,ScAl2,True
mp-1102030,YTc2,True
mp-11566,ScZn,True
mp-2031,Be2Cu,True
mp-1227357,Be3Cu,True
mp-11107,Ac2O3,True
mp-1385,CeZn2,True
mp-668,PrGa2,True
mp-11404,PrGa,True
mp-1104052,Pr9Ga4,True
mp-669594,Pr5Ga3,True
mp-1190862,Sc2Pd,True
