material_id,pretty_formula
mp-1020016,Li4Ca2Mg(SiN3)2
mp-1045,Nd2O3
mp-1056,Tb2O3
mp-10970,LiErO2
mp-1138,LiF
mp-1153,Li2S
mp-1185319,LiCl
mp-1188344,CsLiCl2
mp-1216,YbO
mp-12317,SrCN2
mp-12645,LiHoO2
mp-1427,Lu2O3
mp-14753,Li7TaN4
mp-14827,Li7NbN4
mp-14871,Li16Ta2N8O
mp-16705,Pr2O3
mp-1767,Tm2O3
mp-18337,Be3N2
mp-1960,Li2O
mp-21332,LiGdO2
mp-218,Sm2O3
mp-22867,RbBr
mp-22898,KI
mp-22903,RbI
mp-2292,La2O3
mp-23193,KCl
mp-23260,BaI2
mp-23295,RbCl
mp-2345,Dy2O3
mp-23703,LiH
mp-2542,BeO
mp-2605,CaO
mp-2652,Y2O3
mp-29909,Ba4I6O
mp-3503,Li6WN4
mp-4511,La2SO2
mp-4604,Li7VN4
mp-5001,Li3BN2
mp-567744,SrBr2
mp-569782,Sr2LiCBr3N2
mp-570935,LiI
mp-571222,CsBr
mp-573697,CsCl
mp-5840,LiScO2
mp-614603,CsI
mp-643,ThO2
mp-661,AlN
mp-679,Er2O3
mp-7020,LiYO2
mp-7137,LiTbO2
mp-754237,LiTmO2
mp-754605,LiLuO2
mp-772185,Li6Hf2O7
mp-812,Ho2O3
mp-865934,YbF2
mp-9610,Li2CN2
mp-972256,Xe
mp-976280,LiBr
mp-976726,LiDyO2
mp-981,SrF2
