material_id,pretty_formula
mp-864647,Hf2N
mp-103,Hf
mp-2828,HfN
mp-1224388,Hf3N2
mp-19920,Ce3Ga
mp-567332,Ce
mp-1018276,CeGa
mp-568417,PrAl
mp-38,Pr
mp-1189,PrAl2
mp-30666,Sc3Ga2
mp-67,Sc
mp-1187073,Sr
mp-1328,SrRh2
mp-113,Tc
mp-44,U
mp-1189402,Ta2Be17
mp-1102049,TaBe3
mp-1078957,Ta3Be2
mp-567842,TaBe12
mp-87,Be
mp-11278,Ta2Be
mp-50,Ta
mp-867200,Pm
mp-862980,PmAl3
mp-1102133,Tm2Pt
mp-1018122,Tm
mp-1025409,TmPt
mp-1199106,Tm5Pt4
mp-1198546,Er3Ga2
mp-1184115,Er
mp-1018077,ErGa
mp-11698,Tb
mp-2322,YAl2
mp-1187739,Y
mp-10172,Na
mp-10659,Ho
mp-75,Nb
mp-1207777,Y3Pd
mp-1066136,YPd
mp-30367,Ca5Au2
mp-972364,Yb
mp-2474,YAg
mp-1187197,Ta3Os
mp-1218177,Ta3Os2
mp-1187243,TaOs3
mp-49,Os
mp-86,Sm
mp-1102302,CeOs2
mp-2088,CeAl2
mp-10740,Pa
mp-862690,Ac
mp-10658,Dy
mp-1102972,Er2Au
mp-155,Gd
mp-20353,GdGa
mp-1106373,Sm5Si3
mp-1025489,SmSi
mp-23,Ni
mp-1105989,Lu5Ge3
mp-145,Lu
mp-35,Mn
mp-11854,Er5Ge3
mp-33,Ru
mp-54,Co
mp-518,Ti5Re24
mp-8,Re
mp-2179,TiRe
mp-1018125,Ti2Re
mp-72,Ti
mp-1102084,DyTc2
mp-1762,ErRh2
mp-2381,ErRh
mp-11437,Er3Rh
mp-30612,Er7Rh3
mp-1198715,Er3Rh2
mp-396,YbGa
mp-1102309,Yb2Ga
mp-2524,NdGa2
mp-1448,NdGa
mp-1203103,Nd3Ga2
mp-123,Nd
mp-570684,ZrOs2
mp-11541,ZrOs
mp-131,Zr
mp-607,CeRu2
mp-570629,Ce4Ru3
mp-570369,Ce16Ru9
mp-11534,Np
mp-1186374,Os3W
mp-91,W
mp-266,Zr2Pd
mp-253,ScCo2
mp-2212,ScCo
mp-27162,Sc3Co
mp-1065995,ZrPt
mp-8094,Ba2Hg
mp-31172,Ca5Ag3
mp-864735,Mn3Ir
mp-1057315,Eu
mp-1106357,Tb5Sn3
mp-1857,YbCd
mp-1102319,Lu2Pt
mp-1025438,LuPt
mp-1202267,Lu5Pt4
mp-30800,NdZn2
mp-1053,NdZn
mp-477,SmGa2
mp-1195872,Sm3Ga2
mp-1188469,La5Ge3
mp-26,La
mp-13,Fe
mp-2602,NdAs
mp-1761,LuIr2
mp-1529,LuIr
mp-364,AlRh
mp-569220,ErRu2
mp-568186,YRu2
mp-1207781,Y3Ru
mp-570438,Yb8Tl3
mp-37,Th
mp-546,HoRh2
mp-2163,HoRh
mp-1106336,Ho7Rh3
mp-1200753,Ho3Rh2
mp-1095604,ErTc2
mp-1101816,Lu2Au
mp-928,HoIr2
mp-11476,HoIr
mp-1197997,Ho5Ir3
mp-1095487,LuTc2
mp-1187196,Ta3Ir
mp-1458,Nb3Ir
mp-1820,YbS
mp-1188292,Y5Pb3
mp-1204352,Y3Ga2
mp-11420,YGa
mp-90,Cr
mp-1885,AlIr
mp-2206,LuCo2
mp-1222465,Lu4Co3
mp-19923,GdAl2
mp-1078585,GdAl
mp-1102354,ThTc2
mp-1865,UN
mp-834,ThN
mp-11452,HfOs
mp-2235,YbRh2
mp-567089,YbRh
mp-669917,ZrRh
mp-571664,Zr2Rh
mp-1188413,Zr3Rh
mp-1374,Zr5Re24
mp-12109,ZrRe2
mp-574458,Zr21Re25
mp-30622,Dy5Ru2
mp-1105841,Dy3Ru
mp-30743,TmIr2
mp-11483,TmIr
mp-1198195,Tm5Ir3
mp-570436,CaIr2
mp-570356,Ca5Ir
mp-979911,Y2Au
mp-2205,LuPd
mp-1087502,HoPd
mp-1071848,Pr2Sb
mp-1187203,Ta3Re
mp-1217894,TaRe
mp-971788,VRu3
mp-1395,VRu
mp-865382,V3Ru
mp-146,V
mp-977434,Nb3Ru
mp-11517,NbRu3
mp-432,NbRu
mp-1079796,Ti3Pd
mp-1072399,Be5Pt
mp-1103421,Dy2Pt
mp-1078613,DyPt
mp-1105479,Dy3Pt
mp-1205197,Dy3Ga2
mp-30604,DyGa
mp-377,LuRh
mp-2529,PrRh2
mp-999305,PrRh
mp-1104158,Pr3Rh2
mp-570119,Yb7Au3
mp-570527,Yb5Au4
mp-568944,Yb5Au3
mp-1188310,Tm5Ge3
mp-1079937,Pr3Si2
mp-9968,PrSi
mp-1179656,Rb
mp-1102728,Dy2Al
