material_id,pretty_formula
mp-1001615,LiZrSe2
mp-1001787,LiRh3
mp-1001835,LiB
mp-1006328,LiCeSn
mp-1018026,LiAg
mp-1018133,LiHPd
mp-1018761,Li3CeSb2
mp-1018762,Li3CeBi2
mp-1018766,Li3LaAs2
mp-1018768,Li3LaBi2
mp-1018781,Li3SmSb2
mp-1018782,Li3YBi2
mp-1020013,Li2S2O7
mp-1020014,Li3B11O18
mp-1020059,LiGe2N3
mp-1021323,LiC12
mp-1029251,LiRuN
mp-1029338,LiV2N3
mp-1029522,Li7SbN4
mp-1029739,Li6FeN4
mp-1029826,Li6OsN4
mp-1029903,LiNbN2
mp-1067,LiAl
mp-1077191,Li2Tl
mp-1077469,Li3GdBi2
mp-1078961,LiTbGe
mp-1079483,LiAuF6
mp-1079855,LiPd7
mp-1094598,Li3Mg
mp-1094889,LiMg
mp-1095265,LiYbBi
mp-1095291,Li2SnSe3
mp-1095406,Ba3(LiSb)4
mp-1095425,LiEuSb
mp-1097065,Li2HfN2
mp-1098000,LiEu3O4
mp-1104121,Li2La2Si3
mp-1105393,Li7(Eu2Bi3)2
mp-11171,LiRhF6
mp-11247,Li3Au
mp-11248,LiAu3
mp-11305,Li2CdPb
mp-1138,LiF
mp-11489,Li3Pd
mp-11512,LiAl2Ir
mp-1153,Li2S
mp-11743,LiYGa4
mp-1176792,LiAgF2
mp-1177695,Li3CuS2
mp-11807,LiPt
mp-1184972,Li2InBi
mp-1184978,Li2InHg
mp-1184985,Li2InPb
mp-1185207,LiCdHg2
mp-1185263,LiPaO3
mp-1185294,LiAc2Pb
mp-1185305,LiGePt2
mp-1185319,LiCl
mp-1185359,LiMg2Cd
mp-1185365,LiMg2Au
mp-1185374,LiMgPb2
mp-1185392,LiGd2Al
mp-1185409,LiPmGa2
mp-1185418,LiZnPt2
mp-1185421,LiZnNi2
mp-1185422,LiZn2Ag
mp-1185434,LiSnPt2
mp-1185462,LiThRh2
mp-1185609,LiGd2Rh
mp-1188187,Li3(ZnSn2)2
mp-1188344,CsLiCl2
mp-1188392,LiInS2
mp-1190624,LiLuSn
mp-1190768,LiSmSn
mp-1190809,Li8TeN2
