material_id,pretty_formula
mp-12283,Li5Tl2
mp-672287,Li13Si4
mp-600561,LiRh
mp-29720,Li21Si5
mp-9918,LiGe
mp-27687,LiP7
mp-9563,Li2Sb
mp-23703,LiH
mp-279,LiIr
mp-2251,Li3N
mp-1437,LiCd
mp-841,Li2O2
mp-795,LiSi
mp-1235059,LiO8
mp-1197547,Li15Pd4
mp-2744,LiPd
mp-1314,Li12Si7
mp-865939,LiMg2
mp-30760,Li3Pb
mp-1018026,LiAg
mp-28336,Li3P7
mp-1001835,LiB
mp-1646,Li3Hg
mp-7396,Li3Tl
mp-27932,Li9Ge4
mp-1205930,Li5Ga4
mp-11489,Li3Pd
mp-1094889,LiMg
mp-9568,Li3Ga2
mp-1021323,LiC12
mp-2012,LiHg
mp-862716,LiAg3
mp-21293,Li3In2
mp-975799,LiZn3
mp-573471,Li17Sn4
mp-1077191,Li2Tl
mp-728,Li2Pd
mp-11248,LiAu3
mp-981935,Li5Mg
mp-2286,Li2Se
mp-862658,LiCu3
mp-30761,Li7Pb2
mp-7943,LiAs
mp-934,LiTl
mp-1185319,LiCl
mp-510430,Li13In3
mp-680395,Li3As7
mp-570935,LiI
mp-31324,Li2In
mp-30738,LiIr3
mp-861936,LiPd3
mp-1210753,Li2Al
mp-1934,LiZn
mp-867227,Li3Pt
mp-22460,LiIn
mp-2074,Li3Sb
mp-1222769,Li2Ga7
mp-757,Li3As
mp-1079855,LiPd7
mp-9588,LiP
mp-1153,Li2S
mp-976408,Li3Ag
mp-1307,LiGa
mp-1960,Li2O
mp-570466,Li2Ca
mp-30765,LiPt7
mp-27587,Li8Pb3
mp-1067,LiAl
mp-1195042,Sr19Li44
mp-1201871,Li7Si3
mp-22902,LiBi
mp-11247,Li3Au
mp-1211140,Li8Ag5
mp-2659,LiN3
mp-2530,Li2Te
mp-976280,LiBr
mp-574275,Li17Pb4
mp-568404,Li9Al4
mp-1777,Li15Ge4
mp-1138,LiF
mp-1001787,LiRh3
mp-23222,Li3Bi
mp-995393,LiS4
mp-11807,LiPt
mp-30769,Li13Sn5
mp-1222413,LiB3
mp-1094598,Li3Mg
mp-865612,LiCd3
mp-29210,Li2Ga
mp-30767,Li7Sn2
mp-16506,Li3Al2
mp-1206794,LiAu
mp-2314,LiPb
mp-2170,Li2Pt
mp-861931,LiPt3
mp-975904,Li3Cd
mp-567395,Li15Au4
mp-569073,LiSn
mp-736,Li3P
mp-867161,LiIn3
