material_id,pretty_formula
mp-607931,Cs3NaLi2(BO3)2
mp-1020705,Rb2Li3B(P2O7)2
mp-1211168,Li4Be3P3IO12
mp-23648,Li4Al3Si3ClO12
mp-1196748,LiMn3H6(SeO3)8
mp-1222830,Li2InFe(P2O7)2
mp-1019708,CsBaLiP2O7
mp-774749,RbNa3Li12Ti4O16
mp-1211621,LiZnP2HO7
mp-40575,LiNi2P4H3O14
mp-1195894,K9Li3Nd3(BO3)7
mp-601344,LiZr3H18N4F19
mp-1185531,LiNd6B3O13F2
mp-14030,Na2LiY(Si2O5)3
mp-1222849,Li2ScP2HO8
mp-1019606,Cs2Li2B2P4O15
mp-709186,K4LiH3(SO4)4
mp-1019555,BaNaLi3(BO2)6
mp-41701,LiCo2P4H3O14
mp-1197046,Li3MgZn5(BH4)15
mp-556886,Li4Al3Ge3ClO12
mp-561257,LiPr2C2N4F3
mp-1097038,LiAl2H6BrO6
mp-15079,Cs4KLiGa2F12
mp-866716,RbLiH12Se3N4
mp-1198331,Rb4LiH3(SO4)4
mp-17240,RbNa3Li12(SiO4)4
mp-1203440,LiZnSO4F
mp-1196446,Li3AsH16(SO2)4
mp-1223687,Li3Ce4B12(H12Cl)4
mp-1199747,Li2MgB4(H17N3)2
mp-1020647,Sr2LiBeB3O8
mp-557969,LiLa2S2O8F3
mp-643655,LiAl2H6ClO6
mp-16181,Li6Ca12Re4N16O3
mp-14484,KNaLi2(SO4)2
mp-777670,Li4V3Cr3(SnO8)2
mp-25410,LiMnPO4F
mp-569782,Sr2LiCBr3N2
mp-775304,Na9LiFe10(SiO3)20
mp-1222638,LiMg4Al(MoO4)6
mp-15543,NaLiZr(Si2O5)3
mp-754990,Li2VP2HO8
mp-1020592,Sr4Li2Si4N8O
mp-581225,KLiNd2(MoO4)4
mp-15472,Ba4LiCu(CO5)2
mp-559443,NaLi2Mo2P3O14
mp-561000,Cs4KLiFe2F12
mp-1197768,Ba2LiAl(CN2)4
mp-1103771,BaLi2MnV2O8
mp-1222810,Li2InP2HO8
mp-943462,LiFeHSO5
mp-1211510,KLiSm2(MoO4)4
mp-574653,Cs2LiIr(CN)6
mp-560653,RbNaLi6(SiO4)2
mp-6838,Na2LiFe(Si2O5)3
mp-1199210,Li3MnP2(O3F2)2
mp-1222972,Li2TiFe(PO4)3
mp-1195536,CsLi5Mn(P2O7)2
mp-753560,LiVPHO5
mp-1020646,NaLi2B(PO4)2
mp-554164,KLiZnP2O7
mp-554733,Li4Al3Ge3BrO12
mp-1223017,Li2TiCr(PO4)3
mp-557793,Rb4LiZr3H2F19
mp-8796,Sr2LiSc(B2O5)2
mp-1194832,LiH4SNO4
mp-1222409,LiGaBH3O5
mp-557112,Li4Ga3Si3IO12
mp-753353,Sr4LiCu(CO5)2
mp-697926,LiCd2HSe2O7
mp-690617,LiMn3Al2(HO2)6
mp-556649,Li4Ga3Si3BrO12
mp-979340,Sr2LiTaN3F
mp-1204089,CsLiU(PS4)2
mp-753051,LiCrPHO5
mp-16055,KLi3Zr2(Si2O5)6
mp-1019778,K2Li3B(P2O7)2
mp-25407,LiFePO4F
mp-1020146,Na2LiB5(PO7)2
mp-1197982,K2LiIn(MoO4)3
mp-560894,Li4Be3P3ClO12
mp-6844,KLi3Si12(SnO15)2
mp-1197930,CsLi2Gd4(BO3)5
mp-638276,LiEu4C3(IN2)3
mp-559875,K3Na2LiTeO6
mp-866667,Li3AsH36(SeN3)4
mp-1196171,LiScH2Se2O7
mp-560072,Li4Be3As3ClO12
mp-684817,K2LiTa6(PO8)3
mp-679929,LiEu3SiCl3O4
mp-1019782,K2LiB(PO4)2
mp-557456,Li4Al3Ge3IO12
mp-554324,LiCa9Mn(PO4)7
mp-561410,LiFeMoClO4
mp-568863,LiEu2CBr3N2
mp-760046,LiPH21S3N7
mp-1020016,Li4Ca2Mg(SiN3)2
mp-558897,LiMgIn(MoO4)3
mp-555089,SrLi4Ca(SiO4)2
mp-560246,LiUP(H4O5)2
mp-756507,LiFePHO5
mp-1200887,LiEu2CI3N2
mp-1222517,LiLa5Si4N10O
mp-1194993,Cs2LiNd(BO3)2
mp-1195542,Rb2LiNd(BO3)2
mp-25423,LiVPO4F
mp-766101,Li2FeP2HO8
mp-1222672,LiMgAl(MoO4)3
mp-554203,Li4Ga3Si3ClO12
mp-676483,NaLiZnP2O7
mp-554560,Li4Be3P3BrO12
mp-1219628,RbLiMn(BH4)4
mp-25448,LiCrPO4F
mp-1211214,Li4Be3As3BrO12
mp-554446,Li2NiPO4F
mp-722330,Li3La2H6(N3O10)3
mp-24405,LiCd4Ge5HO15
mp-743574,K3LiMn4(MoO4)6
mp-753660,Li2VCrP2(HO5)2
mp-760236,Li2VCrP2(O4F)2
mp-1196318,Cs2Li3B3P6(PbO12)2
mp-760034,Li2VFeP2(HO5)2
mp-16283,KNa2Li3Fe2(Si2O5)6
mp-1192391,RbLi2CdC2O6F
mp-764571,Li2VFeP2(O4F)2
mp-16282,KNa2Li3Cr2(Si2O5)6
mp-765311,LiVCrP2(HO5)2
mp-17718,CsKNa2Li12(SiO4)4
mp-607785,Rb6LiNd11Se12(Cl4O9)4
mp-761124,KLiMnPCO7
mp-1198378,NaLiFePO4F
mp-645405,Rb6LiPr11Se12(Cl4O9)4
