material_id,pretty_formula
mp-1013878,LiV3P3O13
mp-1013917,LiMn3P3O13
mp-1031151,LiMg6BO8
mp-1031524,LiMg6AlO8
mp-1036528,LiMg14AlO16
mp-1038204,LiMg30AlO32
mp-1040107,NaLiMg30O31
mp-1040450,Li5P(S2Cl)2
mp-1098505,CsLiMg30O31
mp-1100478,Li9Mn2Co5O16
mp-1100561,Li9Mn2Co5O16
mp-1100586,Li9Mn2Co5O16
mp-1100622,Li9Mn2Co5O16
mp-1100627,Li9Mn2Co5O16
mp-1100656,Li9Mn2Co5O16
mp-1100751,Li9Mn2Co5O16
mp-1101585,LiBi(PO4)2
mp-1111107,K2LiTiF6
mp-1111110,K2LiScF6
mp-1111138,K2LiCeBr6
mp-1111262,Li2ScCuCl6
mp-1112663,Cs2LiYI6
mp-1120817,Li17La12Zr8O48
mp-1147554,LiLaSO
mp-1147611,Li6Zn3(PS4)4
mp-1147617,Li6Zn3(PS4)4
mp-1147633,LiCu2BiO4
mp-1173886,Li2MnCoO4
mp-1173917,Li2MnCoO4
mp-1173940,Li3Mn(CoO3)2
mp-1173984,Li3MnCoO5
mp-1174047,Li3MnCoO5
mp-1174218,Li4Mn3CoO8
mp-1174238,Li4Mn3CoO8
mp-1174309,Li6Mn3CoO10
mp-1174343,Li5Mn2CoO8
mp-1174490,Li4MnCo2O7
mp-1174517,Li4MnCo2O7
mp-1174592,Li4MnCo2O7
mp-1174599,Li4MnCo2O7
mp-1174602,Li4MnCo2O7
mp-1174603,Li4MnCo2O7
mp-1174610,Li4MnCo2O7
mp-1174614,Li4MnCo2O7
mp-1174718,Li4MnCo2O7
mp-1174720,Li4MnCo2O7
mp-1174736,Li4MnCo2O7
mp-1174765,Li4MnCo2O7
mp-1174790,Li4MnCo2O7
mp-1174818,Li6Mn3CoO10
mp-1174869,Li7Mn2(CoO4)3
mp-1174956,Li7Mn2(CoO4)3
mp-1175025,Li7Mn2(CoO4)3
mp-1175048,Li7Mn2(CoO4)3
mp-1175049,Li7Mn2(CoO4)3
mp-1175050,Li7Mn2(CoO4)3
mp-1175060,Li7Mn2(CoO4)3
mp-1175075,Li7Mn2(CoO4)3
mp-1175177,Li7Mn2(CoO4)3
mp-1175201,Li7Mn4CoO12
mp-1175216,Li7Mn4CoO12
mp-1175239,Li7Mn4CoO12
mp-1175283,Li7Mn4CoO12
mp-1175298,Li7Mn4CoO12
mp-1175395,Li9Mn2Co5O16
mp-1175510,Li9Mn2Co5O16
mp-1175554,Li9Mn2Co5O16
mp-1175563,Li9Mn2Co5O16
mp-1175643,Li9Mn2Co5O16
mp-1175657,Li9Mn2Co5O16
mp-1175674,Li9Mn2Co5O16
mp-1175705,Li9Mn2Co5O16
mp-1175721,Li9Mn2Co5O16
mp-1175801,Li9Mn2Co5O16
mp-1175803,Li9Mn2Co5O16
mp-1175809,Li9Mn2Co5O16
mp-1175844,Li9Mn2Co5O16
mp-1175947,Li9Mn2Co5O16
mp-1176063,Li9Mn2Co5O16
mp-1176070,Li9Mn2Co5O16
mp-1176075,Li9Mn2Co5O16
mp-1176109,Li9Mn2Co5O16
mp-1176146,Li9Mn2Co5O16
mp-1176188,Li9Mn2Co5O16
mp-1176193,Li9Mn2Co5O16
mp-1176224,Li9Mn2Co5O16
mp-1176234,Li9Mn2Co5O16
mp-1176243,Li9Mn2Co5O16
mp-1176262,Li9Mn2Co5O16
mp-1176301,Li9Mn2Co5O16
mp-1176642,LiMnBO4
mp-1176681,LiMn2(CoO4)2
mp-1176686,LiMnPO4
mp-1176700,LiMn(PO3)4
mp-1176767,LiCuPO4
mp-1176789,LiCrPO4
mp-1176910,Li7Mn4(P2O7)4
mp-1176923,Li6V3P8O29
mp-1176948,Li6V3P8O29
mp-1177080,Li5V3P8O29
mp-1177111,Li6V3P8O29
mp-1177165,Li5V3P8O29
mp-1177169,Li5V3P8O29
mp-1177181,Li5V3P8O29
mp-1177211,Li4V3P8O29
mp-1177309,Li4V3P8O29
mp-1177352,Li4V3P8O29
mp-1177393,Li4V3P8O29
mp-1177537,Li4Fe5NiO12
mp-1177549,Li3VFe3O8
mp-1177697,Li3Cu4SbO8
mp-1177736,Li3Cu2Ni5O12
mp-1177773,Li3Fe(CoO2)4
mp-1177955,Li2FeCoO4
mp-1177973,Li2Fe3WO8
mp-1177993,Li2Mn3SnO8
mp-1178011,Li2Fe2(SO4)3
mp-1178043,Li2CrFe3O8
mp-1178056,Li2Co3SnO8
mp-1178085,Li11Fe5(OF11)2
mp-1180702,Li2BH6N
mp-1180707,LiH2BrO5
mp-1189974,LiLa(CN2)2
mp-1190195,LiIn(WO4)2
mp-1193954,LiH6IO7
mp-1197664,K3Li3P6O19
mp-1198234,Li3V(H4O3)4
mp-1198701,Li6Cu(B2O5)2
mp-1202181,Li2V2P2O11
mp-1202697,LiBH6N
mp-1205649,LiSc(TlCl3)2
mp-1206403,Rb2LiVCl6
mp-1208625,SrLiVF6
mp-1208758,Sr3Li6Ta2O11
mp-1210772,Li2H6PtO6
mp-1210825,Li2Zn2W2O9
mp-1210963,Li2Zn2(MoO4)3
mp-1210974,LiH2CN5
mp-1211129,LiP4(RuO7)2
mp-1211137,LiNd(WO4)2
mp-1219572,RbLiMnS2
mp-1222367,LiLa(WO4)2
mp-1222410,LiSbWO7
mp-1222456,LiRuRhO4
mp-1222530,LiFe2Rh3O8
mp-1222592,LiIn(MoSe)6
mp-1222735,Li2VCrS4
mp-1225887,CsLiZnS2
mp-1250240,LiFeSiO4
mp-1261131,Li2Fe2(SiO3)3
mp-12829,LiCaGaF6
mp-13182,Li2TiGeO5
mp-14871,Li16Ta2N8O
mp-18997,LiMnPO4
mp-19043,LiV(SiO3)2
mp-19433,LiScMo3O8
mp-19896,Li2GePbS4
mp-23849,Li2H2SO5
mp-23931,LiPH2O3
mp-25837,Li3Cr2(PO4)3
mp-25887,Li2Mn(PO3)4
mp-25985,LiCr(PO3)4
mp-26009,LiMo2P2O11
mp-26021,LiCoPO4
mp-26127,LiVPO4
mp-26355,LiCr(PO3)4
mp-26367,Li3Mn2(PO4)3
mp-26397,LiMnP2O7
mp-26400,Li2V(PO4)2
mp-26406,LiCoP2O7
