material_id,pretty_formula
mp-1080712,LiSmSn2
mp-1093819,LiScCd2
mp-1096688,Ba2LiTl
mp-1175430,Li9Co7O16
mp-1175514,Li9Co7O16
mp-1180644,Li2SnO6
mp-1184985,Li2InPb
mp-25467,LiWO2
mp-28122,LiGdCl4
mp-531826,Li2PtO3
mp-569174,Li2MgSi
mp-752837,LiAgF3
mp-756348,Li2FeS2
mp-757971,Li7Cr2O8
mp-776732,Li2Fe3F8
mp-778347,LiFeF4
mp-862764,LiCa2Rh
mp-9244,LiBC
mp-1093889,Li2ZnAg
mp-1096494,LiSc2Tl
mp-1106359,Li5Cl3O
mp-1175325,Li7Mn5O12
mp-1175378,Li7Mn5O12
mp-1223097,Li2HN
mp-29324,Li(Mo4O5)2
mp-569834,LiCu2Sn
mp-641353,LiMn2O4
mp-752662,Li5(CoO3)2
mp-752841,Li2Mn3F8
mp-753568,LiVF4
mp-754714,Li2MnF4
mp-755188,LiFe2F5
mp-766575,Li8TiS6
mp-767633,Li4Ti9O20
mp-770997,Li2HfO3
mp-1004373,LiMnO2
mp-10686,Li2CdGe
mp-1093727,LiMg2Au
mp-1095638,LiMgIr
mp-1097520,BaLi2Ca
mp-1100551,Li9Mn7O16
mp-1174293,Li7Co5O12
mp-1177476,Li3V5O12
mp-1211143,LiEuP
mp-1222386,LiBH4
mp-1222282,LiNdSe2
mp-1222613,Li2MgTl
mp-1222490,Li4(CdSb)5
mp-558082,Li5GaO2
mp-685809,Li5Ti12O24
mp-756427,Li5SbS4
mp-760122,Li2CuF4
mp-760784,Li3Cu4F15
mp-767617,LiVF4
mp-769032,Li3NbS4
mp-867289,LiHo2Tc
mp-1008925,LiFeP
mp-1174316,Li4Mn3O7
mp-1185347,LiDy2Ga
mp-1188218,LiH2N
mp-1211669,Li(NO)6
mp-1223047,Li2UBr6
mp-19373,LiVO3
mp-753674,Li3Mn4O8
mp-7724,Li2UO4
mp-778241,Li2V3F8
mp-780728,LiMnF4
mp-865954,LiHo2Rh
mp-1001784,LiTiS2
mp-1093671,NaLi2Hg
mp-1174763,Li5Mn3O8
mp-1176639,LiMnF4
mp-1177832,Li3Mn28O56
mp-1178121,Li(Fe2O3)4
mp-1180803,LiCO2
mp-1190441,LiSbF4
mp-1210972,Li12(WO4)7
mp-1245584,LiPdN
mp-22994,LiIO3
mp-531553,Li5GeN3
mp-570950,NaLi2N
mp-638070,LiB13C2
mp-655001,Li3BH6
mp-674531,Li5GeP3
mp-690435,Li7Mn11O24
mp-754365,Li2Cr2O7
mp-769472,Li11(NiO4)2
mp-772216,LiNb8O14
mp-1095724,BaLi2Pb
mp-1096733,Li2InBi
mp-1100530,Li9Mn7O16
mp-1174276,Li4Co3O7
mp-1174741,Li5Mn3O8
mp-1176805,Li8VO6
mp-1185241,LiY2Tl
mp-1245553,Li3TaN2
mp-1245909,LiRu2N3
mp-30405,Li2SnAu
mp-675419,LiPrS2
mp-754051,LiFeF3
mp-755552,LiYS2
mp-765339,LiAgF4
mp-766409,Li3BiS3
mp-770537,LiMn2O3
mp-1097506,LiCdIn2
mp-1174283,Li4Mn3O7
mp-1174331,Li4Co3O7
mp-1185418,LiZnPt2
mp-1193913,Li4Si2O7
mp-1211074,LiPtO2
mp-4527,Li8SnO6
mp-761269,Li2AgF4
mp-766486,LiCuS2
mp-770628,Li2CrO3
mp-777447,LiFe2F7
mp-863384,Li2VF5
mp-1100513,Li9Mn7O16
mp-1100562,Li9Mn7O16
mp-1174015,Li3Mn2O5
mp-1185239,LiTl2Pd
mp-1190087,CsLiI2
mp-1222305,LiNbAs2
mp-15950,Li(SiNi)6
mp-30228,Li4HN
mp-685440,Li11Ta37N48
mp-752482,LiV3F10
mp-752790,LiFeO3
mp-753105,Li2Mn5O10
mp-753597,Li2VF6
mp-759066,LiAgF3
mp-7594,CsLiF2
mp-762268,Li3V2O6
mp-763784,LiMn2F6
mp-7638,LiTa3O8
mp-776077,LiFeF3
mp-976600,LiHf2Tc
mp-976726,LiDyO2
mp-1019724,LiEuO2
mp-1177904,Li3(CoO2)4
mp-1177934,Li3V8O16
mp-1211042,LiSiAg2
mp-1211242,LiBiF2
mp-1222312,LiEuS2
mp-25383,Li(CoO2)2
mp-35929,LiMnO2
mp-567787,LiInAg2
mp-772073,Li2Nb4O11
mp-773010,LiFe23O32
mp-773021,Li2V12O29
mp-861951,LiTaRh2
mp-996986,LiCuO2
mp-1093585,LiCu2Ni
mp-1097228,LiAl2Au
mp-1097460,LiScAg2
mp-1099284,LiMg6Co
mp-1111076,Li3GaF6
mp-1194726,Li2Se2O7
mp-1245817,LiFeN
mp-25417,LiTiO2
mp-680436,Rb2LiSn4
mp-758052,LiCuF3
mp-767600,Li2MnF5
mp-773174,LiCr4O12
mp-862558,LiEr2Os
mp-861900,LiGaAu2
mp-1067160,LiYbS2
mp-1078879,LiPrSn2
mp-1096278,NaLiTl2
mp-1100519,Li9Mn7O16
mp-1222568,Li3Ag3Sn2
mp-35695,Li2HN
mp-567347,Li2AgSn
mp-754662,LiFeF4
mp-760580,Li2AgF3
mp-764770,Li13Mn2O9
mp-774762,Li2Cu2S3
mp-7779,Li2NdAs2
mp-777167,LiTiO2
mp-780188,Li6Fe5O12
mp-865964,Li2CaSn
mp-9919,LiZnSb
mp-1018766,Li3LaAs2
mp-1100500,Li9Mn7O16
mp-1174213,Li3Co2O5
mp-1174274,Li7Co5O12
mp-1174758,Li5Mn3O8
mp-1176693,LiFeF4
mp-1185360,LiMnIr2
mp-1211162,LiDyF2
mp-13139,SrLiGe2
