material_id,pretty_formula
mp-1001606,LuFeC2
mp-13,Fe
mp-568286,C
mp-15178,Lu4C7
mp-1203767,Lu3C4
mp-2463,LuFe2
mp-1222310,Lu2C
mp-145,Lu
mp-567900,Lu2Fe14C
mp-867870,SmAl3
mp-581770,Sm4Al23Ni6
mp-134,Al
mp-2593,AlNi3
mp-1075,SmNi5
mp-23,Ni
mp-1105945,Sm3Ni
mp-1025458,SmAl2Ni
mp-69,Sm
mp-999145,SmNi
mp-978951,SmAl
mp-2358,SmAl2
mp-622209,Al3Ni
mp-1057,Al3Ni2
mp-11945,SmAl4Ni
mp-573541,Sm3(AlNi3)2
mp-1095619,SmNi3
mp-1487,AlNi
mp-16514,Al3Ni5
mp-1208898,SmAl3Ni
mp-1402,SmNi2
mp-1200995,Sm2Ni7
mp-1208873,SmAl3Ni2
mp-16515,Al4Ni3
mp-850,ScNi2
mp-15661,Sc4C3
mp-11521,ScNi
mp-29941,Sc2C
mp-1197416,Sc2Ni7
mp-1025464,Sc3NiC4
mp-867501,Sc2Ni
mp-67,Sc
mp-28733,Sc3C4
mp-15957,Sc15C19
mp-1328,SrRh2
mp-74,Rh
mp-1063245,Sr2Rh
mp-76,Sr
mp-11526,TmNi5
mp-16517,TmAl2Ni
mp-768,TmAl3
mp-1216573,TmAlNi4
mp-1576,TmNi2
mp-1190028,TmAl3Ni2
mp-1087523,TmAlNi
mp-1191848,Tm3(AlNi3)2
mp-11525,TmNi
mp-16721,TmAl
mp-143,Tm
mp-858,TmAl2
mp-16518,TmAl4Ni
mp-1069611,Tm2AlNi2
mp-1150,URh3
mp-1069790,U2RhC2
mp-44,U
mp-2489,UC
mp-2486,UC2
mp-2625,U2C3
mp-1069825,PrAl3Cu
mp-12553,PrAl3
mp-1189,PrAl2
mp-593,Al4Cu9
mp-2500,AlCu
mp-12802,AlCu3
mp-2462,PrCu5
mp-30,Cu
mp-1071904,PrCu2
mp-862763,Pr(Al2Cu)4
mp-985806,Al2Cu
mp-1078692,PrAlCu
mp-568417,PrAl
mp-1059256,Pr
mp-1225044,Er2C
mp-90,Cr
mp-99,Er
mp-1078190,Er2Cr2C3
mp-1203719,Er3C4
mp-723,Cr23C6
mp-1196316,Cr7C3
mp-20937,Cr3C2
mp-1212833,Er4C7
mp-1189998,Gd2C3
mp-1078248,Gd2Cr2C3
mp-1224869,Gd2C
mp-155,Gd
mp-607,CeRu2
mp-33,Ru
mp-542569,AlRu
mp-570629,Ce4Ru3
