material_id,pretty_formula
mp-862690,Ac
mp-989737,Ag
mp-134,Al
mp-23155,Ar
mp-11,As
mp-81,Au
mp-160,B
mp-122,Ba
mp-87,Be
mp-23152,Bi
mp-23154,Br
mp-569304,C
mp-132,Ca
mp-94,Cd
mp-567332,Ce
mp-22848,Cl2
mp-1008394,Cl2
mp-570778,Cl2
mp-54,Co
mp-90,Cr
mp-1184151,Cs
mp-30,Cu
mp-10658,Dy
mp-1184115,Er
mp-1057315,Eu
mp-1067793,F2
mp-21848,F2
mp-760482,F2
mp-561367,F2
mp-561203,F2
mp-13,Fe
mp-142,Ga
mp-155,Gd
mp-32,Ge
mp-570752,H2
mp-23158,He
mp-103,Hf
mp-1184554,Hg
mp-10659,Ho
mp-23153,I
mp-1184502,In
mp-101,Ir
mp-1184905,K
mp-612118,Kr
mp-26,La
mp-1018134,Li
mp-145,Lu
mp-1094122,Mg
mp-35,Mn
mp-129,Mo
mp-1080711,N2
mp-10172,Na
mp-75,Nb
mp-123,Nd
mp-111,Ne
mp-23,Ni
mp-11534,Np
mp-12957,O2
mp-49,Os
mp-1198724,P
mp-10740,Pa
mp-20483,Pb
mp-2,Pd
mp-867200,Pm
mp-38,Pr
mp-126,Pt
mp-571261,Pu
mp-1179656,Rb
mp-8,Re
mp-74,Rh
mp-33,Ru
mp-96,S
mp-104,Sb
mp-67,Sc
mp-570481,Se
mp-149,Si
mp-86,Sm
mp-117,Sn
mp-1187073,Sr
mp-50,Ta
mp-11698,Tb
mp-113,Tc
mp-19,Te
mp-37,Th
mp-72,Ti
mp-39,Tl
mp-1018122,Tm
mp-44,U
mp-146,V
mp-91,W
mp-972256,Xe
mp-1187739,Y
mp-972364,Yb
mp-79,Zn
mp-131,Zr
