material_id,pretty_formula,FullWindow
mp-567305,CeAl3,True
mp-569304,C,True
mp-1591,Al4C3,True
mp-10036,Ce3AlC,True
mp-20181,Ce2C3,True
mp-567332,Ce,True
mp-1213865,Ce3Al11,True
mp-134,Al,True
mp-2088,CeAl2,True
mp-1018065,DyFeC2,True
mp-13,Fe,True
mp-1213387,Dy3C4,True
mp-568006,DyFe5,True
mp-12574,Dy2C,True
mp-10658,Dy,True
mp-1212812,Dy4C5,True
mp-1190738,Dy2Fe17C3,True
mp-1018742,LaNi2Rh3,True
mp-23,Ni,True
mp-74,Rh,True
mp-2317,LaNi5,True
mp-1702,LaRh2,True
mp-1002107,LaRh,True
mp-974030,LaRh3,True
mp-1679,La2Ni7,True
mp-582055,La7Ni16,True
mp-1222858,LaNi4Rh,True
mp-573855,La7Ni3,True
mp-1104495,La3Rh2,True
mp-26,La,True
mp-1064719,LaNi,True
mp-626,La4Rh3,True
mp-1222896,LaNi3Rh2,True
mp-1021323,LiC12,True
mp-1018134,Li,True
mp-1222310,Lu2C,True
mp-90,Cr,True
mp-145,Lu,True
mp-1025175,Lu2Cr2C3,True
mp-1203767,Lu3C4,True
mp-723,Cr23C6,True
mp-1196316,Cr7C3,True
mp-20937,Cr3C2,True
mp-15178,Lu4C7,True
mp-1205180,Tm3C4,True
mp-1025181,Tm2Cr2C3,True
mp-1216546,Tm2C,True
mp-1018122,Tm,True
mp-20648,V2C,True
mp-1025497,AlV2C,True
mp-146,V,True
mp-1387,AlV3,True
mp-2554,Al3V,True
mp-28731,V6C5,True
mp-1214915,Al3(V3C2)4,True
mp-29941,Sc2C,True
mp-15661,Sc4C3,True
mp-2212,ScCo,True
mp-27162,Sc3Co,True
mp-67,Sc,True
mp-28733,Sc3C4,True
mp-5075,Sc3CoC4,True
mp-10270,ScCo3C,True
mp-54,Co,True
mp-615314,ScCoC2,True
mp-253,ScCo2,True
mp-9546,Yb2C3,True
mp-1064469,YbNiC2,True
mp-972364,Yb,True
mp-1189509,Yb3Ni,True
mp-1103975,YbC6,True
mp-1980,YbNi2,True
mp-8792,Yb11(Ni10C)6,True
mp-2645,YbNi5,True
mp-1095559,YbNi3,True
mp-864632,Yb4Ni13C4,True
mp-1224869,Gd2C,True
mp-542632,GdNi,True
mp-155,Gd,True
mp-1065668,GdNiC2,True
mp-21305,GdNi5,True
mp-1189998,Gd2C3,True
mp-543019,GdNi2,True
mp-669713,Gd2Ni7,True
mp-866397,Gd4Ni13C4,True
mp-16505,La3Al11,True
mp-985806,Al2Cu,True
mp-1070573,LaAl3Cu,True
mp-2500,AlCu,True
mp-1225549,LaAl2Cu3,True
mp-2694,LaAl2,True
mp-593,Al4Cu9,True
mp-12802,AlCu3,True
mp-959,LaAl3,True
mp-12684,LaAl,True
mp-2051,LaCu2,True
mp-1222898,LaAlCu4,True
mp-2613,LaCu5,True
mp-1078920,LaCu,True
mp-1223301,La2Al3Cu7,True
mp-1194443,LaCu13,True
mp-30,Cu,True
mp-1078035,Sm2Cr2C3,True
mp-86,Sm,True
mp-569335,Sm2C3,True
mp-1219177,Sm2C,True
mp-1937,YbCu,True
mp-969,YbAl2,True
mp-1607,YbCu5,True
mp-1215553,YbAlCu5,True
mp-567538,YbCu2,True
mp-1215672,YbAl7Cu5,True
mp-1215808,Yb(AlCu)6,True
mp-1078543,YbAlCu,True
mp-1104848,Yb(Al2Cu)4,True
mp-977428,YbAl2Cu,True
mp-1193533,Yb6Al7Cu16,True
mp-1078624,LaCoC2,True
mp-2367,LaC2,True
mp-640095,La3Co,True
mp-1184,La2C3,True
mp-30559,LaCo13,True
mp-1104741,Tb(Al2Cu)4,True
mp-1217839,Tb(AlCu)6,True
mp-867232,TbAl3,True
mp-11363,TbCu5,True
mp-1079357,TbAlCu,True
mp-1527,TbCu2,True
mp-11225,TbAl,True
mp-756,TbAl2,True
mp-1837,TbCu,True
mp-11698,Tb,True
mp-1208292,TbAl3Cu2,True
mp-1103391,Tb2Al,True
mp-1069443,CeAl3Cu,True
mp-1226644,CeAl2Cu3,True
mp-1079868,CeAlCu,True
mp-2801,CeCu2,True
mp-581942,CeCu6,True
mp-20003,Ce(Al2Cu)4,True
mp-1226887,CeAlCu4,True
mp-973553,Gd(Al2Cu)4,True
mp-1225036,Gd(AlCu)6,True
mp-865411,GdAl3,True
mp-1080612,GdAlCu,True
mp-19923,GdAl2,True
mp-1076933,GdAl3Cu,True
mp-636253,GdCu5,True
mp-1077933,GdCu2,True
mp-1078585,GdAl,True
mp-614455,GdCu,True
mp-1184417,Gd3Al,True
mp-2593,AlNi3,True
mp-11526,TmNi5,True
mp-16515,Al4Ni3,True
mp-16517,TmAl2Ni,True
mp-1057,Al3Ni2,True
mp-622209,Al3Ni,True
mp-768,TmAl3,True
mp-1216573,TmAlNi4,True
mp-1576,TmNi2,True
mp-1190028,TmAl3Ni2,True
mp-1087523,TmAlNi,True
mp-1487,AlNi,True
mp-1191848,Tm3(AlNi3)2,True
mp-11525,TmNi,True
mp-16721,TmAl,True
mp-858,TmAl2,True
mp-16518,TmAl4Ni,True
mp-16514,Al3Ni5,True
mp-1069611,Tm2AlNi2,True
mp-982635,Tm3Al2,True
mp-1095137,UFeC2,True
mp-2486,UC2,True
mp-21050,UFe2,True
mp-2489,UC,True
mp-44,U,True
