material_id,pretty_formula
mp-567305,CeAl3
mp-569304,C
mp-1591,Al4C3
mp-10036,Ce3AlC
mp-20181,Ce2C3
mp-567332,Ce
mp-1213865,Ce3Al11
mp-134,Al
mp-2088,CeAl2
mp-1018065,DyFeC2
mp-13,Fe
mp-1213387,Dy3C4
mp-568006,DyFe5
mp-12574,Dy2C
mp-10658,Dy
mp-1212812,Dy4C5
mp-1190738,Dy2Fe17C3
mp-1018742,LaNi2Rh3
mp-23,Ni
mp-74,Rh
mp-2317,LaNi5
mp-1702,LaRh2
mp-1002107,LaRh
mp-974030,LaRh3
mp-1679,La2Ni7
mp-582055,La7Ni16
mp-1222858,LaNi4Rh
mp-573855,La7Ni3
mp-1104495,La3Rh2
mp-26,La
mp-1064719,LaNi
mp-626,La4Rh3
mp-1222896,LaNi3Rh2
mp-1021323,LiC12
mp-1018134,Li
mp-1222310,Lu2C
mp-90,Cr
mp-145,Lu
mp-1025175,Lu2Cr2C3
mp-1203767,Lu3C4
mp-723,Cr23C6
mp-1196316,Cr7C3
mp-20937,Cr3C2
mp-15178,Lu4C7
mp-1205180,Tm3C4
mp-1025181,Tm2Cr2C3
mp-1216546,Tm2C
mp-1018122,Tm
mp-20648,V2C
mp-1025497,AlV2C
mp-146,V
mp-1387,AlV3
mp-2554,Al3V
mp-28731,V6C5
mp-1214915,Al3(V3C2)4
mp-29941,Sc2C
mp-15661,Sc4C3
mp-2212,ScCo
mp-27162,Sc3Co
mp-67,Sc
mp-28733,Sc3C4
mp-5075,Sc3CoC4
mp-10270,ScCo3C
mp-54,Co
mp-615314,ScCoC2
mp-253,ScCo2
mp-9546,Yb2C3
mp-1064469,YbNiC2
mp-972364,Yb
mp-1189509,Yb3Ni
mp-1103975,YbC6
mp-1980,YbNi2
mp-8792,Yb11(Ni10C)6
mp-2645,YbNi5
mp-1095559,YbNi3
mp-864632,Yb4Ni13C4
mp-1224869,Gd2C
mp-542632,GdNi
mp-155,Gd
mp-1065668,GdNiC2
mp-21305,GdNi5
mp-1189998,Gd2C3
mp-543019,GdNi2
mp-669713,Gd2Ni7
mp-866397,Gd4Ni13C4
mp-16505,La3Al11
mp-985806,Al2Cu
mp-1070573,LaAl3Cu
mp-2500,AlCu
mp-1225549,LaAl2Cu3
mp-2694,LaAl2
mp-593,Al4Cu9
mp-12802,AlCu3
mp-959,LaAl3
mp-12684,LaAl
mp-2051,LaCu2
mp-1222898,LaAlCu4
mp-2613,LaCu5
mp-1078920,LaCu
mp-1223301,La2Al3Cu7
mp-1194443,LaCu13
mp-30,Cu
mp-1078035,Sm2Cr2C3
mp-86,Sm
mp-569335,Sm2C3
mp-1219177,Sm2C
mp-1937,YbCu
mp-969,YbAl2
mp-1607,YbCu5
mp-1215553,YbAlCu5
mp-567538,YbCu2
mp-1215672,YbAl7Cu5
mp-1215808,Yb(AlCu)6
mp-1078543,YbAlCu
