material_id,pretty_formula
mp-30792,NaPb
mp-2352,Na2O
mp-2784,Na2Te
mp-23870,NaH
mp-20555,NaPb3
mp-950,NaZn13
mp-1180295,Na3Si17
mp-976589,NaIn3
mp-255,NaHg
mp-473,Na3P11
mp-1363,Na2Au
mp-682,NaF
mp-680434,Na26Cd141
mp-541787,Na8Hg3
mp-31430,Na2In
mp-17974,Na3Hg2
mp-1247744,BaNa
mp-262,Na3B20
mp-21895,Na15Pb4
mp-1564,NaTl
mp-7440,NaP
mp-655,Na3As
mp-15668,NaSe
mp-1186074,Na3Pd
mp-2271,NaPt2
mp-983509,Na3Cd
mp-22924,NaBi
mp-12180,NaS2
mp-30794,Na15Sn4
mp-2402,NaSi
mp-7956,Na3Sb
mp-1106381,NaAs
mp-7944,NaSb
mp-11051,NaSn
mp-11466,NaHg2
mp-15514,NaSe2
mp-28127,Na2S5
mp-1266,Na2Se
mp-1901,NaO2
mp-454,NaGa4
mp-583168,NaSn2
mp-28478,NaTe3
mp-29657,NaGe
mp-2400,NaS
mp-30233,Na3As7
mp-22003,NaN3
mp-30795,Na2Tl
mp-1186271,NaMg149
mp-1186189,NaTl3
mp-1186152,NaHg3
mp-1080771,NaCl7
mp-1195785,NaP7
mp-1598,Na3P
mp-22862,NaCl
mp-30352,NaAg2
mp-2340,Na2O2
mp-542377,Na9Sn4
mp-1186127,NaCd3
mp-27838,Na3Bi
mp-648,Na2S
mp-571095,Na7Ga13
mp-2315,NaB15
mp-1052,NaAu2
mp-1189265,NaCl3
mp-23268,NaI
mp-22916,NaBr
mp-20628,NaIn
