material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-661,AlN,4.054,0.000,False,"[608626, 608627, 602460, 190420, 44107, 54697, 161881, 82790, 602459, 191772, 183638, 185441, 42001, 34475, 44106, 608624, 41480, 163953, 31169, 181362, 34236, 41482, 67767, 41542]"
mp-1330,AlN,4.449,0.172,False,"[189099, 186383, 41358, 608628, 163952, 105522]"
mp-2653,BN,5.242,0.093,False,"[614869, 614873, 162873, 236994, 41486, 236993, 183257]"
mp-984,BN,4.482,0.000,False,"[240999, 24644, 168893, 240996, 186246, 168892, 167799, 35538, 162870, 168894, 183256]"
mp-1060281,BN,3.570,0.852,False,"[26574, 237077]"
mp-1639,BN,4.450,0.076,False,"[77271, 56315, 83728, 187045, 40914, 184566, 83729, 86357, 236990, 236989, 185152, 614868, 27879, 182731, 42002, 162874, 248502, 183258, 614864, 191805]"
mp-7991,BN,4.182,0.002,False,"[186247, 236992, 236991, 27987]"
mp-629015,BN,4.002,0.003,False,"[77374, 186248]"
mp-2983,Ba(PN2)2,3.912,0.000,False,"[153060, 414350]"
mp-1079891,Ba2Br2O,3.304,0.000,False,[423479]
mp-551835,Ba2I2O,3.113,0.000,False,[391434]
mp-17612,Ba2SiO4,4.629,0.000,False,"[291355, 291359, 6246, 28476]"
mp-554529,Ba2TiO4,4.264,0.001,False,[29389]
mp-3397,Ba2TiO4,4.149,0.000,False,"[2625, 15450]"
mp-755417,Ba3(BO3)2,4.170,0.000,True,[]
mp-643047,Ba3(H6Ir)2,3.170,0.000,False,[75962]
mp-1196869,Ba3Al2O6,3.828,0.000,False,"[79558, 246227]"
mp-8961,Ba3NaTaO6,3.420,0.000,False,[72331]
mp-542201,Ba3Nb2O8,4.500,0.000,True,[]
mp-555218,Ba4Br6O,4.163,0.000,False,[391435]
mp-23063,Ba4Cl6O,4.370,0.000,False,"[16026, 408175]"
mp-29909,Ba4I6O,3.979,0.000,False,[280584]
mp-6575,Ba4Na(BO3)3,3.984,0.000,False,"[250195, 170863]"
mp-1192906,Ba4Ta2O9,3.888,0.000,False,[166900]
mp-1199246,Ba5B3BrO9,3.756,0.000,False,[422557]
mp-1201345,Ba5B3ClO9,3.723,0.000,False,[422556]
mp-1214497,Ba5P3O12F,5.072,0.000,True,[]
mp-1228113,Ba5P3O12F,5.061,0.000,True,[]
mp-504554,Ba5Ta4O15,3.090,0.000,False,"[15429, 16028]"
mp-556637,Ba6Na2Nb2P2O17,3.013,0.000,False,[249742]
mp-560889,Ba6Na2Si4O15,4.172,0.000,False,[62912]
mp-4202,BaAl2O4,4.097,0.000,False,"[291360, 291356, 75426, 246027, 10036]"
mp-3828,BaAl2O4,3.942,0.004,False,"[16845, 21080, 75427]"
mp-27456,BaBr2,4.373,0.000,False,"[262675, 15706]"
mp-568662,BaCl2,5.438,0.000,False,[2191]
mp-567680,BaCl2,4.572,0.030,False,[2190]
mp-23199,BaCl2,5.113,0.024,False,"[183924, 26160, 262674, 186512, 16915, 15705]"
mp-1029,BaF2,6.623,0.000,False,"[236606, 41649, 64717, 53980, 181246, 236587, 64718, 183922]"
mp-555585,BaF2,6.857,0.041,False,"[183923, 41650]"
mp-8644,BaF2,5.931,0.137,False,[41651]
mp-568536,BaI2,3.050,0.006,False,[36210]
mp-23260,BaI2,3.443,0.000,False,"[24366, 15707]"
mp-6499,BaLiBO3,4.401,0.000,False,"[73218, 92843]"
mp-6660,BaNaBO3,3.649,0.000,False,"[192562, 250086, 80110]"
mp-1182061,BaNaH6Ir,3.304,0.000,False,"[262197, 262196]"
mp-2892,BaNd2O4,3.097,0.000,False,"[81380, 427484, 96546, 78486, 81379]"
mp-3564,BaSc2O4,3.872,0.000,False,"[201083, 35592]"
mp-3952,BaY2O4,3.249,0.000,False,"[78483, 166845, 89640, 427510]"
mp-2542,BeO,7.460,0.000,False,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-7599,BeO,7.084,0.012,False,"[18147, 654407]"
mp-1794,BeO,8.175,0.482,False,"[163825, 163826, 162676, 163827, 163828, 26957, 163829]"
mp-570002,C,3.043,0.763,False,[20351]
mp-66,C,4.114,0.135,False,"[44101, 248466, 182270, 28858, 28862, 67787, 28861, 28859, 44100, 52054, 53779, 28860, 655131, 66464, 28857, 29068, 248465, 190652, 76766, 168170, 190651, 656475, 182729, 190653, 191804, 190650, 28863, 187639, 29151]"
mp-47,C,3.373,0.160,False,"[88822, 27422, 66465]"
mp-8682,Ca2SiO4,4.371,0.189,False,[40657]
