material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-1138,LiF,8.716,0.000,False,"[52234, 18012, 53839, 44879, 41409, 62361, 44272, 181799]"
mp-561430,LiLuF4,7.901,0.000,False,[152948]
mp-3700,LiYF4,7.827,0.000,False,"[27896, 96727, 73709, 39563]"
mp-11347,TbF3,7.751,0.000,False,"[167471, 167472, 167473, 200956, 167474]"
mp-2542,BeO,7.460,0.000,False,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-555932,RbEr3F10,7.282,0.000,False,[418211]
mp-2741,CaF2,7.115,0.000,False,"[53978, 76045, 181244, 52754, 60370, 60368, 28730, 44937, 82707, 246961, 655133, 60559, 44618, 60369, 40938, 41413, 181020, 656448, 60371]"
mp-3448,KMgF3,6.954,0.000,False,"[192409, 40477, 40476, 56096, 28949, 94089]"
mp-981,SrF2,6.753,0.000,False,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]"
mp-5926,KCaF3,6.647,0.000,False,"[181644, 181649, 153629, 153628, 181648, 181646, 181645, 181647, 181643]"
mp-1029,BaF2,6.623,0.000,False,"[236606, 41649, 64717, 53980, 181246, 236587, 64718, 183922]"
mp-31212,K2MgF4,6.410,0.000,False,[33519]
mp-905,LaF3,6.043,0.000,False,"[252346, 74733, 89523, 74731, 60232, 31049, 28953, 164053, 96132, 155553, 60233, 23972, 74734, 74728, 28538, 246322, 74735, 74732, 63055, 74730, 74729]"
mp-463,KF,5.996,0.000,False,"[53824, 52241, 64686]"
mp-17673,Lu3O2F5,5.639,0.000,False,[80365]
mp-560114,Er3O2F5,5.619,0.000,False,[415814]
mp-568662,BaCl2,5.438,0.000,False,[2191]
mp-22904,CaCl2,5.355,0.000,False,"[56421, 246417, 56422]"
mp-23326,Ca4Cl6O,5.228,0.000,False,"[418946, 33883]"
mp-1072193,ErOF,5.189,0.000,False,[184012]
mp-27275,Li3BO3,5.147,0.000,False,[9105]
mp-1072114,HoOF,5.100,0.000,False,[184011]
mp-1072208,DyOF,5.032,0.000,False,[184010]
mp-23193,KCl,5.027,0.000,False,"[240508, 240509, 240513, 240528, 240526, 162799, 240502, 240505, 240520, 240529, 22156, 52242, 53825, 240527, 240511, 240519, 187219, 18014, 240507, 240524, 240525, 154214, 28938, 240506, 240503, 240522, 240515, 240521, 240523, 240518, 240504, 240530, 44281, 240510, 240512, 165593, 240516, 53841]"
mp-3637,YOF,4.954,0.000,False,"[184004, 30623, 14282]"
mp-14093,TbOF,4.944,0.000,False,"[184008, 28890, 184009]"
mp-1960,Li2O,4.917,0.000,False,"[57411, 642216, 22402, 173193, 180569, 54368, 642219, 173206, 60431, 173180]"
mp-573697,CsCl,4.849,0.000,False,"[52274, 61515]"
mp-23295,RbCl,4.839,0.000,False,"[18016, 22166, 53829, 61538, 162798, 23761, 44285, 53844]"
mp-3575,Ca3(BO3)2,4.823,0.000,False,"[23664, 1894]"
mp-11737,Li4SiO4,4.774,0.000,False,[98615]
mp-9488,SmOF,4.693,0.000,False,[81948]
mp-17612,Ba2SiO4,4.629,0.000,False,"[291355, 291359, 6246, 28476]"
mp-9172,Li4TiO4,4.559,0.000,False,[75164]
mp-5634,NdOF,4.531,0.000,False,"[95656, 95658, 95659, 184005, 95655, 95660, 95657]"
mp-984,BN,4.482,0.000,False,"[240999, 24644, 168893, 240996, 186246, 168892, 167799, 35538, 162870, 168894, 183256]"
mp-18510,Sr2SiO4,4.470,0.000,False,[36041]
mp-28549,Li8SiO6,4.450,0.000,False,[65176]
mp-1265,MgO,4.445,0.000,False,"[52026, 64928, 77821, 642714, 161059, 159373, 170905, 159369, 248385, 236617, 159376, 61325, 159374, 159367, 64930, 157527, 159372, 77759, 642713, 157528, 52275, 642716, 9863, 173132, 157525, 159378, 642712, 157523, 158103, 157524, 95468, 157526, 188324, 159375, 159371, 64929, 44927, 31051, 104844, 41990, 159368, 161607, 173128, 169450, 88058, 60692, 56143, 60492, 159377, 101007, 181456, 29127, 26958, 104845]"
mp-1201301,K2Hf2O5,4.432,0.000,False,[180185]
mp-643,ThO2,4.425,0.000,False,"[28778, 647528, 647527, 61585, 246706, 105550, 647529, 647530, 647523, 77691, 647525, 61586, 77690, 601173, 647531, 236586, 647524, 53999, 28685]"
mp-6499,BaLiBO3,4.401,0.000,False,"[73218, 92843]"
