material_id,pretty_formula,band_gap,e_above_hull,theoretical
mp-661,AlN,4.054000000000001,0.0,False
mp-1330,AlN,4.4487999999999985,0.17202432499999976,False
mp-7991,BN,4.182300000000001,0.0016803875000004354,False
mp-629015,BN,4.0020999999999995,0.0031177625000005094,False
mp-1639,BN,4.450200000000001,0.07561936250000123,False
mp-2653,BN,5.241599999999999,0.09298564750000082,False
mp-1060281,BN,3.5697,0.8518206175000005,False
mp-984,BN,4.4817,0.0,False
mp-2983,Ba(PN2)2,3.9118000000000004,0.0,False
mp-1079891,Ba2Br2O,3.3041,0.0,False
mp-551835,Ba2I2O,3.1127000000000002,0.0,False
mp-17612,Ba2SiO4,4.6289,0.0,False
mp-3397,Ba2TiO4,4.1494,0.0,False
mp-554529,Ba2TiO4,4.263599999999999,0.001293610833331904,False
mp-643047,Ba3(H6Ir)2,3.17,0.0,False
mp-1196869,Ba3Al2O6,3.8281,0.0,False
mp-8961,Ba3NaTaO6,3.4197,0.0,False
mp-555218,Ba4Br6O,4.1634,0.0,False
mp-23063,Ba4Cl6O,4.3699,0.0,False
mp-29909,Ba4I6O,3.9788999999999994,0.0,False
mp-6575,Ba4Na(BO3)3,3.9839,0.0,False
mp-1192906,Ba4Ta2O9,3.8882000000000003,0.0,False
mp-1199246,Ba5B3BrO9,3.7561,0.0,False
mp-1201345,Ba5B3ClO9,3.7226,0.0,False
mp-504554,Ba5Ta4O15,3.0901000000000005,0.0,False
mp-556637,Ba6Na2Nb2P2O17,3.0126000000000004,0.0,False
mp-560889,Ba6Na2Si4O15,4.1718,0.0,False
mp-3828,BaAl2O4,3.9423000000000004,0.0036151941071427274,False
mp-4202,BaAl2O4,4.0969,0.0,False
mp-27456,BaBr2,4.3731,0.0,False
mp-23199,BaCl2,5.1127,0.024268247083333527,False
mp-568662,BaCl2,5.437900000000001,0.0,False
mp-567680,BaCl2,4.5724,0.03010056111111048,False
mp-555585,BaF2,6.8574,0.04054833000000002,False
mp-8644,BaF2,5.9306,0.137304125,False
mp-1029,BaF2,6.623200000000001,0.0,False
mp-23260,BaI2,3.4431000000000003,0.0,False
mp-568536,BaI2,3.0499,0.0056653070833334596,False
mp-6499,BaLiBO3,4.4008,0.0,False
mp-6660,BaNaBO3,3.6487,0.0,False
mp-1182061,BaNaH6Ir,3.3045,0.0,False
mp-2892,BaNd2O4,3.0972999999999997,0.0,False
mp-3564,BaSc2O4,3.8718999999999997,0.0,False
mp-3952,BaY2O4,3.2492,0.0,False
mp-2542,BeO,7.4597999999999995,0.0,False
mp-7599,BeO,7.0842,0.011821010000000243,False
mp-1794,BeO,8.1754,0.4819578300000007,False
mp-570002,C,3.0432000000000006,0.7625391137499999,False
mp-66,C,4.1137,0.13516123625000098,False
mp-47,C,3.3727,0.16047861624999982,False
mp-8682,Ca2SiO4,4.3706,0.18874838428571472,False
mp-1019562,Ca2SiO4,4.1723,0.13997419928571464,False
mp-556942,Ca2SiO4,4.4451,0.01543360803571403,False
mp-1019563,Ca2SiO4,3.3024999999999998,0.23429255428571416,False
mp-4180,Ca2SiO4,4.6785,0.03512734142857088,False
mp-4481,Ca2SiO4,4.199400000000001,0.0,False
mp-560821,Ca2SiO4,4.4278,0.03740161250000007,False
mp-3575,Ca3(BO3)2,4.8226,0.0,False
mp-23326,Ca4Cl6O,5.2275,0.0,False
mp-984055,Ca7(H6Cl)2,3.7127,0.0,False
mp-571627,CaCl2,5.3314,0.10641502749999976,False
mp-23214,CaCl2,5.3950000000000005,0.0034236416666661995,False
mp-22904,CaCl2,5.3548,0.0,False
mp-571642,CaCl2,5.5969,0.0011055125000005717,False
mp-2741,CaF2,7.1148,0.0,False
mp-10464,CaF2,7.4573,0.05216779833333263,False
mp-23713,CaH2,3.0080999999999998,0.0,False
mp-23859,CaHCl,3.8464,0.0,False
mp-2605,CaO,3.6447000000000003,0.0,False
mp-4571,CaZrO3,3.8264,0.0,False
mp-542112,CaZrO3,3.2269,0.19208636999999662,False
mp-13816,Cs2NaErF6,6.864000000000001,0.0,False
mp-6204,Cs2NaScF6,6.799099999999999,0.0,False
mp-13925,Cs2NaYF6,6.865399999999999,0.0,False
mp-22906,CsBr,4.2433,0.040376175000000014,False
mp-571222,CsBr,4.2579,0.0,False
mp-22865,CsCl,4.9881,0.04779838500000011,False
