material_id,pretty_formula
mp-607931,Cs3NaLi2(BO3)2
mp-1194587,Na2Y2B2TeO10
mp-1194939,Na12Mn3S6(O3F)8
mp-772664,Na2CoAsCO7
mp-559407,NaGdH2S2O9
mp-15541,KNa2Si12(BO10)3
mp-39140,Na4Al3Si3HO13
mp-780530,Na2MnPCO7
mp-1105952,NaFeSO4F
mp-23145,Na4Al3Si3ClO12
mp-557127,Cs6Na2Nb6H36O37
mp-694918,NaCa2V3(CoO6)2
mp-1204283,Na5Ga7H12S13O6
mp-634418,NaCaSiHO4
mp-1210414,Na2TeH6SO10
mp-40478,NaDy3Ti2(SbO7)2
mp-633158,NaTeH6O6F
mp-1201525,Na2MoH2O3F4
mp-1210021,NaFeAsO4F
mp-774749,RbNa3Li12Ti4O16
mp-706239,NaCa2Mg2V3O12
mp-1203993,K2Na2Eu4Ta2O13
mp-1221050,NaFe2Mo2H3O10
mp-556637,Ba6Na2Nb2P2O17
mp-704360,K6Na2V2S7O30
mp-559777,Na5Ca2Al(PO4)4
mp-849748,NaMgP3(H4O5)2
mp-1192584,Na5Er4Si4O16F
mp-558160,NaYCO3F2
mp-694937,Na3V2P2O8F3
mp-1194756,Na4LuC3O9F
mp-1020180,Na2SrMg(PO4)2
mp-1211711,KNa2Ga3(SiO4)3
mp-677638,Na27Ca3Al5(P2O7)12
mp-861957,KNaSmTaO5
mp-560541,K3Na3Nb8(PO7)5
mp-1176418,Na2BiAsCO7
mp-1192403,Na5Ho4Si4O16F
mp-14030,Na2LiY(Si2O5)3
mp-16553,NaCa9Mn(PO4)7
mp-644318,NaV3H6(SO7)2
mp-758936,Na2CoP4(H4O5)4
mp-1192492,Na5Tb4Si4O16F
mp-24001,NaZn2P2HO8
mp-1214664,Ba6Na2Ta2V2O17
mp-1226662,CsNaEuNb5O15
mp-767552,Na3CaPCO7
mp-23656,Na4Ga3Si3ClO12
mp-733844,Na3GaP2H2O9
mp-757981,Na2SnGe2(HO4)2
mp-771144,Na3FeAsCO7
mp-1194728,Ba3NaGd3(Si3O10)2
mp-1019555,BaNaLi3(BO2)6
mp-1198935,K2Na2Sm4Ta2O13
mp-686543,NaSm9Si6(SO12)2
mp-1195590,Na3MnS2(O4F)2
mp-1194736,Na5Mn3S4(O4F)4
mp-699219,NaZnSiHO4
mp-604429,NaFe3H6(SO7)2
mp-556001,NaBeSi3HO8
mp-1197849,Na3B2PO5F4
mp-1195028,Na2Lu2B2TeO10
mp-554726,KNaCu3S3O13
mp-720104,Na4Al3Ge3NO14
mp-772986,Na3SiSnBO7
mp-861868,KNaLaTaO5
mp-1221145,NaCr12Si8ClO28
mp-556438,KNaSmNbO5
mp-769616,Na2CrPCO7
mp-1176399,Na2FePCO7
mp-1198462,KNaNbOF5
mp-559150,Na9ZrP4ClO16
mp-505771,K2NaH5(CO4)2
mp-697211,Na2CaPb3(CO3)5
mp-23653,Na3MgC2ClO6
