material_id,pretty_formula
mp-10096,Na3Sr3GaP4
mp-10097,Na3Sr3GaAs4
mp-1019554,BaNaB5O9
mp-1019727,NaEuGeO4
mp-1019888,KNa2BN2
mp-1020145,Na2Ge(S2O7)3
mp-1020159,Na2Si(S2O7)3
mp-1020160,Na3Zn(BO2)5
mp-1020164,Na3LiP2O7
mp-1020648,NaLaSiO4
mp-1020657,NaSr(PO3)3
mp-1020683,NaCa(PO3)3
mp-1025360,Na2Ti2As2O
mp-1040460,NaCr2P2O9
mp-10461,NaSr3SbO6
mp-10476,NaEr(SO4)2
mp-1079339,K2NaMnF6
mp-1079458,Cs2NaCeCl6
mp-10811,NaSr4(BN2)3
mp-1091394,Ba2NaIO6
mp-1094113,NaV2P2O9
mp-1102129,Na2YbCdSb2
mp-1111621,K2NaScCl6
mp-1111979,Cs2NaRhF6
mp-1112013,Cs2NaRuF6
mp-1112137,Cs2NaYI6
mp-1112144,Cs2NaPrI6
mp-1112146,Cs2NaPrBr6
mp-1112527,Cs2NaTlCl6
mp-1112596,Cs2NaAsF6
mp-1112656,Cs2NaCeI6
mp-1112657,Cs2NaGdCl6
mp-1112989,Cs2NaEuCl6
mp-11147,Na5CuSO2
mp-1179864,NaMnCu3Se4
mp-1180119,NaTiCu3Se4
mp-1180133,NaCaH6Ir
mp-1182061,BaNaH6Ir
mp-11892,NaNd2RuO6
mp-1190024,Ba3NaSbO6
mp-1190138,Na2In2SiS6
mp-1190146,Na2Cd(GeS3)2
mp-1190388,Na2Ga2GeS6
mp-1190399,Na2Zn(GeS3)2
mp-1190487,Na2Zn(SnS3)2
mp-11913,NaPr2IrO6
mp-1192434,NaYbSiO4
mp-1192524,Na2Th(AsO4)2
mp-1192640,Na2Nb4Se4O19
mp-1193109,NaCaAsO4
mp-1193468,NaMnVO4
mp-1193700,Na3H5(SeO4)4
mp-1194338,NaBOF2
mp-1194433,K3NaOs2O9
mp-1194479,Na3Y(CO3)3
mp-1194561,NaSc(SeO3)2
mp-1194641,Na3U6TiF30
mp-1194849,Na3MoO4F
mp-1194950,Na3U6AlF30
mp-1194955,Na3Gd(CO3)3
mp-1195001,Na5Li(Mo3O10)3
mp-1195227,NaY(Te2O5)2
mp-1195277,Na2Mo2Se2O11
mp-1195518,Na3Tm(SiO3)3
mp-1195700,Na3HoSi2O7
