material_id,pretty_formula
mp-1534,YS
mp-1186055,Na
mp-112,Y
mp-10226,NaYS2
mp-648,Na2S
mp-1186055,Na
mp-10226,NaYS2
mp-1534,YS
mp-1186055,Na
mp-1029605,Na2MnN2
mp-22003,NaN3
mp-1186055,Na
mp-1029605,Na2MnN2
mp-9981,Mn2N
mp-1186055,Na
mp-505622,Mn4N
mp-1186055,Na
mp-35,Mn
mp-505622,Mn4N
mp-9981,Mn2N
mp-1186055,Na
mp-10419,Na4ReN3
mp-1186055,Na
mp-1186901,Re
mp-22003,NaN3
mp-10419,Na4ReN3
mp-1186055,Na
mp-541291,Na3MoN3
mp-1186055,Na
mp-129,Mo
mp-22003,NaN3
mp-541291,Na3MoN3
mp-1186055,Na
mp-1079585,Nb2N
mp-1186055,Na
mp-75,Nb
mp-1079585,Nb2N
mp-2634,NbN
mp-1186055,Na
mp-1030657,NaNbN2
mp-2634,NbN
mp-1186055,Na
mp-1030657,NaNbN2
mp-22003,NaN3
mp-1186055,Na
mp-983509,Na3Cd
mp-655,Na3As
mp-1186055,Na
mp-2532,PrTe
mp-1186055,Na
mp-1059256,Pr
mp-2784,Na2Te
mp-2532,PrTe
mp-1186055,Na
mp-30794,Na15Sn4
mp-1363,Na2Au
mp-1186055,Na
mp-1186122,NaCd2Rh
mp-1186055,Na
mp-74,Rh
mp-983509,Na3Cd
mp-1186122,NaCd2Rh
mp-1186055,Na
mp-2271,NaPt2
mp-1186055,Na
mp-682,NaF
mp-7956,Na3Sb
mp-1266,Na2Se
mp-1186055,Na
mp-1186055,Na
mp-11698,Tb
mp-22916,NaBr
mp-1186055,Na
mp-143,Tm
mp-22916,NaBr
mp-1186055,Na
mp-145,Lu
mp-22916,NaBr
mp-1186055,Na
mp-144,Ho
mp-22916,NaBr
mp-1186055,Na
mp-99,Er
mp-22916,NaBr
mp-1186055,Na
mp-905,LaF3
mp-26,La
mp-1220826,NaLaF4
mp-1186055,Na
mp-682,NaF
mp-1220826,NaLaF4
mp-1186055,Na
mp-905,LaF3
mp-718,SnPd3
mp-1186055,Na
mp-1186074,Na3Pd
mp-1220866,NaSn2Pd3
mp-30794,Na15Sn4
mp-1186055,Na
mp-1220866,NaSn2Pd3
mp-718,SnPd3
mp-1186055,Na
mp-1186055,Na
mp-613989,Pu
mp-682,NaF
mp-27838,Na3Bi
mp-1266,Na2Se
mp-1186055,Na
mp-27838,Na3Bi
mp-2784,Na2Te
mp-1186055,Na
mp-542573,ThB4
mp-1186055,Na
mp-37,Th
mp-1756,ThB6
mp-542573,ThB4
mp-1186055,Na
mp-1221215,Na3ThB24
mp-1756,ThB6
mp-1186055,Na
mp-262,Na3B20
mp-1221215,Na3ThB24
mp-1186055,Na
mp-648,Na2S
mp-1186055,Na
mp-50,Ta
mp-1266,Na2Se
mp-1186055,Na
mp-146,V
mp-1363,Na2Au
mp-1206794,LiAu
mp-1186055,Na
mp-11247,Li3Au
mp-1206794,LiAu
mp-1186055,Na
mp-567395,Li15Au4
mp-1186055,Na
mp-135,Li
mp-567395,Li15Au4
mp-11247,Li3Au
mp-1186055,Na
mp-2402,NaSi
mp-1363,Na2Au
mp-1186055,Na
mp-1363,Na2Au
mp-29657,NaGe
mp-1186055,Na
mp-14407,Rb7NaGe8
mp-29657,NaGe
mp-1186055,Na
mp-14407,Rb7NaGe8
mp-1186899,Rb
mp-1186055,Na
mp-2271,NaPt2
mp-1266,Na2Se
mp-1186055,Na
mp-648,Na2S
mp-1186055,Na
mp-44,U
mp-7956,Na3Sb
mp-1186055,Na
mp-13,Fe
mp-983509,Na3Cd
mp-21895,Na15Pb4
mp-1186055,Na
mp-21199,Na3(GePt)4
mp-1186055,Na
mp-2271,NaPt2
mp-29657,NaGe
mp-21199,Na3(GePt)4
mp-1186055,Na
mp-542680,Na3In2Au
mp-1363,Na2Au
mp-1186055,Na
mp-31430,Na2In
mp-542680,Na3In2Au
mp-1186055,Na
mp-1186055,Na
mp-10740,Pa
mp-682,NaF
mp-983509,Na3Cd
mp-1186055,Na
mp-22862,NaCl
mp-31430,Na2In
mp-2784,Na2Te
mp-1186055,Na
mp-1186055,Na
mp-2286,Li2Se
mp-135,Li
mp-28603,NaLiSe
mp-1266,Na2Se
mp-1186055,Na
mp-28603,NaLiSe
mp-1186055,Na
mp-2286,Li2Se
mp-28614,NaBPt3
mp-1186055,Na
mp-2271,NaPt2
mp-28614,NaBPt3
mp-505055,Na3B5Pt9
mp-1186055,Na
mp-262,Na3B20
mp-505055,Na3B5Pt9
mp-1186055,Na
mp-541787,Na8Hg3
mp-648,Na2S
mp-1186055,Na
mp-1363,Na2Au
mp-1266,Na2Se
mp-1186055,Na
mp-1186074,Na3Pd
mp-1186055,Na
mp-22862,NaCl
mp-30794,Na15Sn4
mp-7956,Na3Sb
mp-1186055,Na
mp-30795,Na2Tl
mp-30794,Na15Sn4
