material_id,pretty_formula,theoretical,band_gap,density,e_above_hull,icsd_ids
mp-1138,LiF,False,8.720,2.530,0.000,"[52234, 18012, 53839, 44879, 41409, 62361, 44272, 181799]"
mp-11347,TbF3,False,7.948,7.164,0.000,"[167471, 167472, 167473, 200956, 167474]"
mp-3700,LiYF4,False,7.837,3.808,0.000,"[27896, 96727, 73709, 39563]"
mp-18511,NdF3,False,7.806,6.338,0.000,[63049]
mp-561430,LiLuF4,False,7.764,6.111,0.000,[152948]
mp-2542,BeO,False,7.463,2.967,0.000,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-555932,RbEr3F10,False,7.282,6.591,0.000,[418211]
mp-2741,CaF2,False,7.248,3.090,0.000,"[53978, 76045, 181244, 52754, 60370, 60368, 28730, 44937, 82707, 246961, 655133, 60559, 44618, 60369, 40938, 41413, 181020, 656448, 60371]"
mp-7104,CsCaF3,False,7.234,3.970,0.000,"[290340, 290449, 290448, 45309, 290342, 290341, 247961]"
mp-18040,KPrF4,False,7.143,4.446,0.000,[281289]
mp-3448,KMgF3,False,6.954,3.002,0.000,"[192409, 40477, 40476, 56096, 28949, 94089]"
mp-28726,KYF4,False,6.910,3.355,0.000,[66701]
mp-981,SrF2,False,6.776,4.134,0.000,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]"
mp-13230,K3YF6,False,6.699,2.722,0.000,[416296]
mp-5926,KCaF3,False,6.650,2.609,0.000,"[181644, 181649, 153629, 153628, 181648, 181646, 181645, 181647, 181643]"
mp-1029,BaF2,False,6.624,4.695,0.000,"[236606, 41649, 64717, 53980, 181246, 236587, 64718, 183922]"
mp-31212,K2MgF4,False,6.454,2.727,0.000,[33519]
mp-37722,KBH4,False,6.268,1.201,0.000,"[160985, 99264, 160984]"
mp-24123,Rb(BH)6,False,5.642,1.600,0.000,"[20015, 98617]"
mp-24239,K(BH)6,False,5.639,1.166,0.000,"[98616, 36148]"
mp-560114,Er3O2F5,False,5.614,8.077,0.000,[415814]
mp-568662,BaCl2,False,5.612,3.394,0.000,[2191]
mp-17673,Lu3O2F5,False,5.605,8.719,0.000,[80365]
mp-24136,Cs(BH)6,False,5.480,1.818,0.000,"[423177, 92501]"
mp-23432,BaClF,False,5.443,4.355,0.000,"[183925, 35493, 35489, 201519, 35488, 35490, 35491, 201514, 201515, 201517, 201518, 2350, 201516, 155004, 85319, 35487, 35492]"
