material_id,pretty_formula,FullWindow
mp-2538,Y5Si3,True
mp-2652,Y2O3,True
mp-1187739,Y,True
mp-9972,YSi,True
mp-9905,Ba2Si,True
mp-1067235,BaSi,True
mp-1619,Ba3Si4,True
mp-1477,BaSi2,True
mp-17612,Ba2SiO4,True
mp-1342,BaO,True
mp-3952,BaY2O4,True
mp-1001835,LiB,True
mp-1960,Li2O,True
mp-954,BaB6,True
mp-1018134,Li,True
mp-1222413,LiB3,True
mp-6499,BaLiBO3,True
mp-755417,Ba3(BO3)2,True
mp-27275,Li3BO3,True
mp-1095642,Eu2Ge,True
mp-21394,EuO,True
mp-1057315,Eu,True
mp-20712,EuGe,True
mp-1188934,Eu5Ge3,True
mp-784,KZn13,True
mp-1184905,K,True
mp-984,BN,True
mp-827,KN3,True
mp-736,Li3P,True
mp-28395,B6P,True
mp-3933,Mg2PN3,True
mp-1265,MgO,True
mp-1559,Mg3N2,True
mp-2514,Mg3P2,True
mp-129,Mo,True
mp-8,Re,True
mp-1623,ErS,True
mp-12671,Er2SO2,True
mp-1184115,Er,True
mp-679,Er2O3,True
mp-573697,CsCl,True
mp-1184151,Cs,True
mp-551835,Ba2I2O,True
mp-29909,Ba4I6O,True
mp-23260,BaI2,True
mp-865027,Mn3Ge,True
mp-35,Mn,True
mp-13,Fe,True
mp-23193,KCl,True
mp-67,Sc,True
mp-145,Lu,True
mp-23251,KBr,True
mp-614603,CsI,True
mp-571222,CsBr,True
mp-38,Pr,True
mp-567332,Ce,True
mp-10658,Dy,True
mp-23295,RbCl,True
mp-1179656,Rb,True
mp-30,Cu,True
mp-101,Ir,True
mp-23715,BaH2,True
mp-643047,Ba3(H6Ir)2,True
mp-74,Rh,True
mp-75,Nb,True
mp-569851,Ho10Si17,True
mp-12899,HoSi,True
mp-812,Ho2O3,True
mp-1072114,HoOF,True
mp-13236,Ho5Si3,True
mp-10659,Ho,True
mp-14093,TbOF,True
mp-1924,TbSi,True
mp-11347,TbF3,True
mp-1056,Tb2O3,True
mp-206,Tb5Si3,True
mp-11698,Tb,True
mp-1077398,TbSi2,True
mp-1753,ThAs,True
mp-643,ThO2,True
mp-37,Th,True
mp-1207669,TmOF,True
mp-1066975,TmSi,True
mp-1767,Tm2O3,True
mp-1189863,Tm5Si3,True
mp-1018122,Tm,True
mp-560114,Er3O2F5,True
mp-31167,Er5Si3,True
mp-378,ErSi,True
mp-1072193,ErOF,True
mp-216,Sc2O3,True
mp-1709,U2Ti,True
mp-72,Ti,True
mp-44,U,True
mp-569744,UAl2,True
mp-134,Al,True
mp-569304,C,True
mp-90,Cr,True
mp-146,V,True
mp-91,W,True
mp-1903,BaAl4,True
mp-555218,Ba4Br6O,True
mp-4202,BaAl2O4,True
mp-567701,Ba21Al40,True
mp-27456,BaBr2,True
mp-1079891,Ba2Br2O,True
mp-560978,Ba4Al2O7,True
mp-2631,Ba4Al5,True
mp-570400,Ba7Al10,True
mp-1199246,Ba5B3BrO9,True
mp-710,SmP,True
