material_id,pretty_formula
mp-1029,BaF2
mp-1045,Nd2O3
mp-1056,Tb2O3
mp-1153,Li2S
mp-1173671,Na3PO4
mp-11737,Li4SiO4
mp-1265,MgO
mp-15318,Rb2NaHoF6
mp-16705,Pr2O3
mp-17183,Na2BeSiO4
mp-18510,Sr2SiO4
mp-218,Sm2O3
mp-22003,NaN3
mp-22862,NaCl
mp-22867,RbBr
mp-22898,KI
mp-22903,RbI
mp-22904,CaCl2
mp-2292,La2O3
mp-23193,KCl
mp-23251,KBr
mp-23260,BaI2
mp-23268,NaI
mp-23295,RbCl
mp-23702,LiH2N
mp-2542,BeO
mp-2652,Y2O3
mp-2741,CaF2
mp-3094,SrAl2O4
mp-31417,Nd3TaO7
mp-3397,Ba2TiO4
mp-352,HfO2
mp-3637,YOF
mp-3700,LiYF4
mp-38725,NaBH4
mp-4202,BaAl2O4
mp-4481,Ca2SiO4
mp-4571,CaZrO3
mp-463,KF
mp-5586,NaErO2
mp-568662,BaCl2
mp-571222,CsBr
mp-573697,CsCl
mp-5926,KCaF3
mp-614603,CsI
mp-6406,Na2MgSiO4
mp-661,AlN
mp-679,Er2O3
mp-743,RbN3
mp-812,Ho2O3
mp-905,LaF3
mp-9212,NaAlO2
mp-981,SrF2
mp-984,BN
