material_id,pretty_formula
mp-1020648,NaLaSiO4
mp-1029,BaF2
mp-1045,Nd2O3
mp-1056,Tb2O3
mp-10572,NaPN2
mp-1072114,HoOF
mp-1072193,ErOF
mp-1072208,DyOF
mp-1079891,Ba2Br2O
mp-1114456,Rb2NaScF6
mp-11347,TbF3
mp-1138,LiF
mp-1153,Li2S
mp-1173671,Na3PO4
mp-11737,Li4SiO4
mp-1180133,NaCaH6Ir
mp-1182061,BaNaH6Ir
mp-1192338,Na5Sm4Si4O16F
mp-1192370,Na5Pr4Si4O16F
mp-1192521,Na5Nd4Si4O16F
mp-1192906,Ba4Ta2O9
mp-1196869,Ba3Al2O6
mp-1198935,K2Na2Sm4Ta2O13
mp-1199246,Ba5B3BrO9
mp-1200960,K2Na2Sm4Nb2O13
mp-1201301,K2Hf2O5
mp-1201345,Ba5B3ClO9
mp-1201519,K2Na2Nd4Nb2O13
mp-1207669,TmOF
mp-1209986,NaLiEr2F8
mp-1209991,NaLiLu2F8
mp-1210003,NaLiHo2F8
mp-1210006,NaLiTm2F8
mp-1210364,Na2Sm2B2O7
mp-1210472,Na3La(BO3)2
mp-1210775,LuOF
mp-1210818,LuF3
mp-1212889,DyF3
mp-1216,YbO
mp-1218249,SrLa4Si3O13
mp-1220764,NaHfScO4
mp-1220826,NaLaF4
mp-1220915,NaSmF4
mp-1220948,NaPrF4
mp-1220999,NaNdF4
mp-1221034,NaGdF4
mp-1227232,Ca6Al7ClO16
mp-1227337,Ca6Al7O16F
mp-1228113,Ba5P3O12F
mp-1265,MgO
mp-12671,Er2SO2
mp-13019,NaLa2TaO6
mp-13042,NaSr3TaO6
mp-13774,NaNdSiO4
mp-13815,Rb2NaErF6
mp-13816,Cs2NaErF6
mp-13925,Cs2NaYF6
mp-13926,Rb2NaYF6
mp-14093,TbOF
mp-1427,Lu2O3
mp-14726,Na4TiO4
mp-14964,Pr3TaO7
mp-15318,Rb2NaHoF6
mp-16432,Sr3(BO3)2
mp-16705,Pr2O3
mp-17183,Na2BeSiO4
mp-17612,Ba2SiO4
mp-1767,Tm2O3
mp-17673,Lu3O2F5
mp-17850,K3NaTh2O6
mp-17891,NaYSiO4
mp-17904,Nd2TiO5
mp-18480,Na3Ca2TaO6
