material_id,pretty_formula
mp-1534,YS
mp-10172,Na
mp-1187739,Y
mp-10226,NaYS2
mp-648,Na2S
mp-2271,NaPt2
mp-1029595,Na3OsN2
mp-22003,NaN3
mp-49,Os
mp-10419,Na4ReN3
mp-8,Re
mp-33090,V2N
mp-1018027,VN
mp-1029711,NaVN2
mp-1188283,V8N
mp-146,V
mp-541291,Na3MoN3
mp-129,Mo
mp-1079585,Nb2N
mp-75,Nb
mp-2634,NbN
mp-1030657,NaNbN2
mp-1185570,Mg149Pb
mp-21895,Na15Pb4
mp-1186271,NaMg149
mp-113,Tc
mp-682,NaF
mp-2532,PrTe
mp-38,Pr
mp-2784,Na2Te
mp-30794,Na15Sn4
mp-1363,Na2Au
mp-30352,NaAg2
mp-31430,Na2In
mp-867297,AcIn3
mp-985305,Ac3In
mp-862690,Ac
mp-1186111,NaAcIn2
mp-983509,Na3Cd
mp-74,Rh
mp-11544,Yb2Pb
mp-972364,Yb
mp-7956,Na3Sb
mp-1266,Na2Se
mp-50,Ta
mp-13,Fe
mp-22916,NaBr
mp-1018122,Tm
mp-718,SnPd3
mp-1186074,Na3Pd
mp-1220866,NaSn2Pd3
mp-571261,Pu
mp-27838,Na3Bi
mp-541787,Na8Hg3
mp-30795,Na2Tl
mp-655,Na3As
mp-30,Cu
mp-570050,Yb2Sn
mp-21199,Na3(GePt)4
mp-29657,NaGe
mp-11534,Np
mp-22862,NaCl
mp-2286,Li2Se
mp-1018134,Li
mp-28603,NaLiSe
mp-950,NaZn13
mp-90,Cr
mp-4276,NaSi2Pd3
mp-2402,NaSi
mp-697068,SiPd2
mp-20622,SiPd3
mp-28614,NaBPt3
mp-505055,Na3B5Pt9
mp-262,Na3B20
mp-2074,Li3Sb
mp-5077,NaLi2Sb
mp-5339,CsNaTe
mp-1184151,Cs
mp-582067,Hf3As
mp-103,Hf
mp-1190267,Hf3As2
mp-2352,Na2O
mp-1079438,Ta2N
mp-1279,TaN
mp-5475,NaTaN2
mp-571095,Na7Ga13
mp-567833,EuSn
mp-1213070,Eu2Sn
mp-1057315,Eu
mp-155,Gd
mp-23268,NaI
mp-44,U
mp-867200,Pm
mp-864806,NaAcHg2
mp-2861,CaTl
mp-865051,NaCa2Tl
mp-132,Ca
mp-865076,NaCd2Pt
mp-12723,CaAu
mp-30367,Ca5Au2
mp-30368,Ca5Au3
mp-571264,Ca5Au4
mp-865090,NaAcTl2
mp-1002136,LaAu
mp-1103395,La2Au
mp-26,La
mp-734,LaHg
mp-371,La3Tl
mp-11488,LaTl
mp-865102,NaLaTl2
mp-11467,NdHg
mp-123,Nd
mp-11469,PrHg
mp-1185637,Mg149Sn
mp-865625,Na2MgSn
mp-1084808,YbAu
mp-570119,Yb7Au3
mp-570527,Yb5Au4
mp-568944,Yb5Au3
mp-1190038,Tm5Tl3
mp-867943,Na3H7Os
mp-23870,NaH
mp-1179656,Rb
mp-656,LuS
mp-145,Lu
mp-9035,NaLuS2
mp-1766,TmS
mp-9076,NaTmS2
mp-87,Be
mp-1610,TbS
mp-11698,Tb
mp-999126,NaTbS2
mp-1561,TbSe
mp-999127,NaTbSe2
mp-1476,ScS
mp-67,Sc
mp-999460,NaScS2
mp-814,DySe
mp-10658,Dy
mp-999488,NaDySe2
mp-510404,GdSe
mp-2470,DyS
mp-999490,NaDyS2
mp-1827,SrGa4
mp-9775,NaSrAs
mp-15698,Sr5As3
mp-30667,Sr8Ga7
mp-1187073,Sr
mp-182,SrGa2
mp-2970,Na4GeO4
mp-8780,Cr2N
mp-1183691,CrN
mp-1029705,Na15Cr7N19
mp-755293,Sr4Sb2O
mp-2472,SrO
mp-2585,Sr5Sb3
mp-1623,ErS
mp-12671,Er2SO2
mp-1184115,Er
mp-679,Er2O3
mp-5586,NaErO2
mp-3613,NaErS2
mp-201,Yb5Sb3
mp-1857,YbCd
mp-1187653,YbCd3
mp-1367,Mg2Si
mp-573697,CsCl
mp-33,Ru
mp-571222,CsBr
mp-614603,CsI
mp-567332,Ce
mp-23295,RbCl
mp-1188441,TiCu4
mp-742,Ti2Cu
mp-2078,TiCu
mp-72,Ti
mp-2643,Ti3Cu4
mp-12546,TiCu3
mp-2404,CaAl2
mp-134,Al
mp-1227708,Ca16Sb11
mp-17564,Ca5Sb3
mp-9925,Ca2Sb
mp-1190736,Ca8Al3
mp-16705,Pr2O3
mp-1205021,Pr5Ir3
mp-946,PrIr2
mp-1104160,Pr5Ir2
mp-1106395,Pr3Ir
mp-8470,NaPrO2
mp-101,Ir
mp-23193,KCl
mp-1184905,K
mp-35,Mn
mp-865782,Yb3SiO
mp-1216,YbO
mp-10651,YbSi
mp-1077404,YbSi2
mp-1207599,Yb2Si
mp-4533,Na2SiO3
mp-7500,Na4SiO4
mp-5122,Na3AlP2
mp-582799,EuAl4
mp-20111,EuAl2
mp-1205409,Eu3(AlP2)2
mp-20300,EuP
mp-1193394,NaEu2AlP3
mp-1598,Na3P
mp-754829,Na4VO4
mp-316,MnV
mp-27569,Na14Mn2O9
mp-19391,NaVO2
mp-864984,MnV3
mp-674332,U17O31
mp-2011,UP
mp-1597,UO2
mp-5327,Na4UO5
mp-674333,Na3PO4
mp-34842,Na3UO4
mp-30975,Na3BO3
mp-19839,LaGa2
mp-2350,LaS
mp-672217,La5Ga3
mp-1002133,LaGa
mp-710,SmP
mp-218,Sm2O3
mp-86,Sm
mp-754027,NaSmO2
mp-554098,Ti6O
mp-1199934,Ti3As
mp-1201836,Ti5As3
mp-1215,Ti2O
mp-14726,Na4TiO4
mp-28017,Na8Ti5O14
mp-2591,Ti3O
mp-1071163,TiO
mp-744,HoP
mp-812,Ho2O3
mp-10659,Ho
mp-755617,NaHoO2
mp-1138,LiF
mp-674459,NaErF4
mp-1209986,NaLiEr2F8
mp-683,Pr2C3
mp-569304,C
mp-569335,Sm2C3
mp-1219177,Sm2C
mp-1198712,Y5Ir3
mp-2762,YIr2
mp-2652,Y2O3
mp-1207785,Y3Ir
mp-30980,NaYO2
mp-1201760,Er5Ir3
mp-2713,ErIr
mp-1495,ErIr2
mp-1189478,Er3Ir
mp-578604,NaCrO2
mp-570421,Sm2B5
mp-8546,SmB4
mp-6996,SmB6
mp-408,Mg2Ge
mp-1265,MgO
mp-864941,MgSc2
mp-1185790,Mg3Sc
mp-1185631,Mg149Sc
mp-2292,La2O3
mp-7283,LaB4
mp-2680,LaB6
mp-1210472,Na3La(BO3)2
mp-755586,NaLaO2
mp-600561,LiRh
mp-1001787,LiRh3
mp-2014,DyP
mp-2345,Dy2O3
mp-752672,NaDyO2
mp-2147,SrGe
mp-30950,Sr3GeO
mp-2576,Sr2Ge
mp-985586,Na3BrO
mp-1220826,NaLaF4
mp-1106373,Sm5Si3
mp-1447,SmSe
mp-1025489,SmSi
mp-13955,SmSi2
mp-978,Sr2Sn
mp-1698,SrSn
mp-17720,Sr5Sn3
mp-13042,NaSr3TaO6
mp-8957,Na5TaO5
mp-1190061,Eu5Si3
mp-21009,EuSe
mp-21279,EuSi
mp-1072248,EuSi2
mp-542583,EuTe
mp-20712,EuGe
mp-1095642,Eu2Ge
mp-1188934,Eu5Ge3
mp-542573,ThB4
mp-37,Th
mp-1756,ThB6
mp-1221215,Na3ThB24
mp-1221229,Na4Eu2SiP4
mp-20587,EuS
mp-2823,NdP
mp-1045,Nd2O3
mp-8128,NaNdO2
mp-11247,Li3Au
mp-567395,Li15Au4
mp-2542,BeO
mp-28559,Na6Be8O11
mp-28588,Na2BeO2
mp-14324,K2Na4Be2O5
mp-1199056,RbGe
mp-11854,Er5Ge3
mp-1203572,Er11Ge10
mp-1711,Er3Ge4
mp-28595,KNaSe
mp-20685,Cr3Ge
mp-24747,Na3H6Rh
mp-10740,Pa
mp-29566,CsNaGe2
mp-616559,Ti2S
mp-1224756,Hf14Cu51
mp-30581,Hf2Cu
mp-1200988,Hf7Cu10
mp-7353,Hf3Cu8
mp-29210,Li2Ga
mp-1960,Li2O
mp-1205930,Li5Ga4
mp-9568,Li3Ga2
mp-7656,Na5GaO4
mp-27618,Na8Ga2O7
mp-540945,Na2Li3GaO4
mp-542681,Na3In2Ag
mp-1213975,CaB4
mp-2605,CaO
mp-865,CaB6
mp-3575,Ca3(BO3)2
mp-22937,Na4I2O
mp-23,Ni
mp-11908,Lu5Si3
mp-1427,Lu2O3
mp-1001612,LuSi
mp-755311,NaLuO2
mp-1106300,Nd3Ru
mp-1103979,Nd5Ru2
mp-1102217,NdRu2
mp-27191,Zr9S2
mp-193,Zr2Cu
mp-131,Zr
mp-1197374,Zr2S
mp-1216441,Zr14Cu51
mp-1188077,Zr7Cu10
mp-1221,V3Ge
mp-54,Co
mp-984,BN
mp-28630,Na3BN2
mp-752658,Y2SeO2
mp-999448,NaYSe2
mp-2637,YSe
mp-7806,Cr3P
mp-19879,PPd3
mp-3744,NaNbO2
mp-5477,Na5NbO5
mp-27247,Na3NbO4
mp-1225049,K18Na46Tl31
mp-1240,HoS
mp-5694,NaHoS2
mp-567290,LaN
mp-2154,CeP
mp-2563,CeSe
mp-11820,BaNa2
mp-2686,Ca2N
mp-1009657,CaN2
mp-1001,BaN2
mp-844,Ca3N2
mp-6645,Ba14Na14CaN6
mp-8868,Ba3NaN
mp-1892,Ba2N
mp-2524,NdGa2
mp-1453,NdSe
mp-1448,NdGa
mp-1203103,Nd3Ga2
mp-981,SrF2
mp-16839,Na3WN3
mp-91,W
mp-510557,CsN3
mp-931,ThP
mp-643,ThO2
mp-1672,CaS
mp-2251,Li3N
mp-569025,Ba19Na29Li13
mp-567643,Ba12Na15Li8N6
mp-645662,Ba14Na14LiN6
mp-1158,LuPd3
mp-1103963,Lu3Pd4
mp-2205,LuPd
mp-1019519,Ba2NaO
mp-1342,BaO
mp-8584,NaErSe2
mp-862942,NaPmAu2
mp-862943,NaPmHg2
mp-867199,Pm3Tl
mp-862949,NaPmTl2
mp-864803,NaAcAu2
mp-21412,Ce3Tl
mp-1206755,CeTl
mp-1540,HoTl
mp-1181055,Ho5Tl3
mp-23222,Li3Bi
mp-865101,NaLi2Bi
mp-865108,NaSmHg2
mp-2541,SmTl
mp-319,Sm2Tl
mp-2364,PaO2
mp-865120,NaPaO3
mp-1079938,TlPd3
mp-865126,NaTlPd2
mp-8658,CsNaSe
mp-867318,Eu3Tl
mp-866047,NaEuTl2
mp-978278,Na(BH)6
mp-2252,ScB2
mp-24237,ScH2
mp-38725,NaBH4
mp-8094,Ba2Hg
mp-2197,BaHg
mp-1210753,Li2Al
mp-736,Li3P
mp-16506,Li3Al2
mp-1067,LiAl
mp-10890,LiAl3
mp-9719,Na2LiAlP2
mp-976072,NaAc2Pb
mp-861939,Ac3Sn
mp-976076,NaAc2Sn
mp-464,HoSe
mp-999474,NaHoSe2
mp-32635,Sr3P2
mp-13275,NaSrP
mp-21394,EuO
mp-827,KN3
mp-743,RbN3
mp-242,SrB6
mp-10811,NaSr4(BN2)3
mp-10564,SrN2
mp-29973,SrN
mp-1245,Sr2N
mp-1820,YbS
mp-2390,YbP
mp-1187909,Yb3P
mp-865027,Mn3Ge
mp-863707,KNa2Bi
mp-23251,KBr
mp-18511,NdF3
mp-1220948,NaPrF4
mp-1114456,Rb2NaScF6
mp-22903,RbI
mp-22867,RbBr
mp-1180133,NaCaH6Ir
mp-23713,CaH2
mp-570436,CaIr2
mp-707836,Na3H6Ir
mp-570356,Ca5Ir
mp-1182061,BaNaH6Ir
mp-23715,BaH2
mp-643047,Ba3(H6Ir)2
mp-1463,LaIr2
mp-1104303,La3Ir2
mp-1199235,La5Ir3
mp-1104396,La5Ir2
mp-1753,ThAs
mp-1185635,Mg149Tl
mp-1865,UN
mp-1776,UN2
mp-32590,U4N7
mp-32742,U16N25
mp-1187695,V3Cr
mp-1216394,VCr
mp-1187696,VCr3
mp-1018276,CeGa
mp-2209,CeGa2
mp-1096,CeS
mp-862696,CeGa3
mp-19920,Ce3Ga
mp-1186974,Sc3Tl
mp-559,YPd3
mp-1104019,Y3Pd4
mp-1066136,YPd
mp-1207777,Y3Pd
mp-227,SmCu5
mp-1077154,SmCu2
mp-1220915,NaSmF4
mp-980769,SmCu
mp-865934,YbF2
mp-1937,YbCu
mp-567538,YbCu2
mp-1607,YbCu5
mp-2747,TbPd3
mp-1104088,Tb3Pd4
mp-1056,Tb2O3
mp-1080451,TbPd
mp-6964,NaTbO2
mp-982,TmPd3
mp-1104675,Tm3Pd4
mp-1767,Tm2O3
mp-348,TmPd
mp-754825,NaTmO2
mp-1078920,LaCu
mp-1560,LaTe
mp-2051,LaCu2
mp-2613,LaCu5
mp-1194443,LaCu13
mp-1979,HoPd3
mp-1104206,Ho3Pd4
mp-1087502,HoPd
mp-561430,LiLuF4
mp-1209991,NaLiLu2F8
mp-675798,NaHoF4
mp-1210003,NaLiHo2F8
mp-1210006,NaLiTm2F8
mp-30579,ErCu5
mp-1024991,ErCu2
mp-1955,ErCu
mp-797,DyPd3
mp-1104399,Dy3Pd4
mp-12543,Dy3Pd2
mp-2226,DyPd
mp-2825,ErPd3
mp-1104774,Er3Pd4
mp-12545,Er3Pd2
