entry_id,pretty_formula
mp-2606,BaPd5
mp-2,Pd
mp-1687,BaPd2
mp-1008505,BaPd
mp-122,Ba
mp-867870,SmAl3
mp-581770,Sm4Al23Ni6
mp-134,Al
mp-2593,AlNi3
mp-1075,SmNi5
mp-23,Ni
mp-1105945,Sm3Ni
mp-1025458,SmAl2Ni
mp-69,Sm
mp-999145,SmNi
mp-978951,SmAl
mp-2358,SmAl2
mp-622209,Al3Ni
mp-1057,Al3Ni2
mp-11945,SmAl4Ni
mp-573541,Sm3(AlNi3)2
mp-1095619,SmNi3
mp-1487,AlNi
mp-16514,Al3Ni5
mp-1208898,SmAl3Ni
mp-1402,SmNi2
mp-1200995,Sm2Ni7
mp-1208873,SmAl3Ni2
mp-16515,Al4Ni3
mp-1328,SrRh2
mp-74,Rh
mp-1063245,Sr2Rh
mp-76,Sr
mp-1066577,NpPt
mp-11534,Np
mp-1186410,NpPt3
mp-126,Pt
mp-11526,TmNi5
mp-16517,TmAl2Ni
mp-768,TmAl3
mp-1216573,TmAlNi4
mp-1576,TmNi2
mp-1190028,TmAl3Ni2
mp-1087523,TmAlNi
mp-1191848,Tm3(AlNi3)2
mp-11525,TmNi
mp-16721,TmAl
mp-143,Tm
mp-858,TmAl2
mp-16518,TmAl4Ni
mp-1069611,Tm2AlNi2
mp-1069825,PrAl3Cu
mp-12553,PrAl3
mp-1189,PrAl2
mp-593,Al4Cu9
mp-2500,AlCu
mp-12802,AlCu3
mp-2462,PrCu5
mp-30,Cu
mp-1071904,PrCu2
mp-862763,Pr(Al2Cu)4
mp-985806,Al2Cu
mp-1078692,PrAlCu
mp-568417,PrAl
mp-1059256,Pr
mp-1095464,YAlPd
mp-1207714,Y2(Al3Pd)3
mp-669546,AlPd
mp-2322,YAl2
mp-1498,Al21Pd8
mp-865527,YAl3
mp-1078242,YAlPd2
mp-1066136,YPd
mp-1104019,Y3Pd4
mp-11230,Y2Al
mp-10901,Al3Pd2
mp-605663,AlPd5
mp-559,YPd3
mp-2824,AlPd2
mp-1078938,YAl2Pd5
mp-1207777,Y3Pd
mp-112,Y
mp-607,CeRu2
mp-33,Ru
mp-542569,AlRu
mp-570629,Ce4Ru3
mp-604008,CeAlRu
mp-2088,CeAl2
mp-28,Ce
mp-10910,Al2Ru
mp-1078316,Ce2AlRu2
mp-865967,Ce5Al2Ru3
mp-31364,Ce(Al5Ru)2
mp-17880,Al13Ru4
mp-567554,Ce2(Al5Ru)3
mp-31079,Ce3(Al3Ru)4
mp-570369,Ce16Ru9
mp-16529,Al6Ru
mp-567305,CeAl3
mp-1982,Al21Pt8
mp-2404,CaAl2
mp-1190736,Ca8Al3
mp-1102631,CaAlPt
mp-1078362,Ca2AlPt2
mp-842,CaPt2
mp-10904,AlPt
mp-10905,Al3Pt2
mp-16960,AlPt2
mp-1080448,AlPt3
mp-30481,CaPt5
mp-1103570,Ca5Pt2
mp-1064227,Ca
mp-1502,Al2Pt
mp-1501,Al3Pt5
mp-984698,Ca3Pt2
mp-1937,YbCu
mp-969,YbAl2
mp-162,Yb
mp-1607,YbCu5
mp-1215553,YbAlCu5
mp-567538,YbCu2
mp-1215672,YbAl7Cu5
mp-1215808,Yb(AlCu)6
mp-1078543,YbAlCu
mp-1104848,Yb(Al2Cu)4
mp-977428,YbAl2Cu
mp-1206051,NdAl2Ni
mp-1078757,NdAlNi
mp-123,Nd
mp-400,NdAl2
mp-16513,NdAl3
mp-1824,NdNi5
mp-1220177,NdAlNi4
mp-1095561,NdNi3
mp-864637,NdAl
mp-1069330,Nd2AlNi2
mp-1188200,Nd3Ni
mp-999339,NdNi
mp-12174,HfNi3
mp-1078767,HfAlNi
mp-12657,HfAl2
mp-568718,HfAl3
mp-5748,HfAlNi2
mp-1025223,Hf4Al3
mp-103,Hf
mp-1018056,HfNi
mp-1044,UIr3
mp-101,Ir
mp-1885,AlIr
mp-1079219,UAlIr
mp-1207966,U2(Al3Ir)3
mp-44,U
mp-2294,Al3Ir
mp-569744,UAl2
mp-1105762,UIr
mp-12003,Al9Ir2
mp-11029,Y(Al2Cu)4
mp-1216017,YAl7Cu5
mp-1216210,Y(AlCu)6
mp-2797,YCu5
mp-1079361,YAlCu
mp-2698,YCu2
mp-1080443,YCu
mp-865990,Y3Al7Cu2
mp-1206143,PrAl2Ni
mp-1079699,PrAlNi
mp-11352,PrAl5Ni2
mp-2370,PrNi5
mp-1219687,PrAlNi4
mp-10897,PrAl2Ni3
mp-11799,PrNi
mp-1106122,Pr3Ni
mp-1102445,PrNi3
mp-1095484,PrAl4Ni
mp-1079890,Al2CuIr
mp-1791,Al5Rh2
mp-669,ThAl2
mp-364,AlRh
mp-2509,ThRh3
mp-1080785,ThAlRh
mp-12755,ThRh
mp-1306,ThAl3
mp-568337,ThRh2
mp-1107,Th7Rh3
mp-37,Th
mp-1651,Th2Al
mp-1645,Al9Rh2
mp-1223820,Hf2Al3Cu
mp-10887,HfAlCu2
mp-1224756,Hf14Cu51
mp-30581,Hf2Cu
mp-1200988,Hf7Cu10
mp-7353,Hf3Cu8
mp-865411,GdAl3
mp-568693,Gd(Al3Ni)3
mp-21305,GdNi5
mp-1224779,GdAlNi4
mp-1212604,GdAl3Ni2
mp-1101090,GdAlNi
mp-542632,GdNi
mp-155,Gd
mp-1078585,GdAl
mp-19923,GdAl2
mp-1095605,GdAl4Ni
mp-669713,Gd2Ni7
mp-543019,GdNi2
mp-580327,Gd3(AlNi3)2
mp-630019,GdAl2Ni
mp-1184417,Gd3Al
mp-865382,V3Ru
mp-214,ZrRu
mp-1395,VRu
mp-1102307,Zr2V3Ru
mp-146,V
mp-131,Zr
mp-971788,VRu3
mp-1913,ErPt3
mp-1102457,ErAlPt
mp-1025444,ErPt
mp-1104136,Er3Pt4
mp-1195885,Er5Pt4
mp-30610,Er2Pt
mp-31475,Er4(Al8Pt3)3
mp-1208,ErAl2
mp-862656,ErAl3
mp-1102875,Er2Al
mp-99,Er
mp-1188739,ErAl
mp-1234,LuAl2
mp-1102691,LuAlPt
mp-2805,LuAl3
mp-790,LuPt3
mp-1104877,Lu3Pt4
mp-1025438,LuPt
mp-1102319,Lu2Pt
mp-16508,Lu3Al2
mp-145,Lu
mp-16507,LuAl
mp-1202267,Lu5Pt4
mp-1103109,LaAlPt
