entry_id,pretty_formula
mp-1007636,KLuS2
mp-1184905,K
mp-145,Lu
mp-1022,K2S
mp-14018,K3As
mp-126,Pt
mp-8700,K2Au3
mp-569940,K3Bi
mp-8426,K2Se
mp-11534,Np
mp-1747,K2Te
mp-90,Cr
mp-1201270,KErF4
mp-99,Er
mp-1211695,K3ErF6
mp-463,KF
mp-17371,K2ErF5
mp-72,Ti
mp-23193,KCl
mp-1212012,K10Tl7
mp-784,KZn13
mp-2,Pd
mp-113,Tc
mp-23251,KBr
mp-2364,PaO2
mp-10740,Pa
mp-1206970,KPaO3
mp-971,K2O
mp-2732,PRh2
mp-74,Rh
mp-12098,K(PRh)2
mp-28424,K4P3
mp-76,Sr
mp-613989,Pu
mp-865934,YbF2
mp-162,Yb
mp-1211645,K3TmF6
mp-1202753,KTmF4
mp-143,Tm
mp-1211536,K2TmF5
mp-1211691,K2TbF5
mp-11698,Tb
mp-24084,KH
mp-69,Sm
mp-134,Al
mp-123,Nd
mp-22898,KI
mp-54,Co
mp-1217,KSi
mp-13,Fe
mp-131,Zr
mp-28,Ce
mp-1223845,K(SiPd)4
mp-697068,SiPd2
mp-20622,SiPd3
mp-505071,Si2Pd9
mp-30,Cu
mp-542374,KSn
mp-505622,Mn4N
mp-35,Mn
mp-9981,Mn2N
mp-1029804,KMnN2
mp-827,KN3
mp-1202778,K3Cd16
mp-2146,KGe
mp-91,W
mp-568052,K2Ga3
mp-44,U
mp-11462,KHg
mp-29584,K4BeAs2
mp-87,Be
mp-14017,K3Sb
mp-50,Ta
mp-34232,K(AsRh)2
mp-129,Mo
mp-103,Hf
mp-582929,K8In11
mp-7643,K2AgSb
mp-12735,KAg2
mp-49,Os
mp-2512,AsPd5
mp-1183069,Ac
mp-705522,Sr28In11
mp-20074,SrIn2
mp-655461,SrIn
mp-2286,Li2Se
mp-135,Li
mp-8756,KLiSe
mp-976876,K2PtC2
mp-28930,KC8
mp-1064227,Ca
mp-1185557,Mg149Bi
mp-1185536,KMg149
mp-1079585,Nb2N
mp-75,Nb
mp-2634,NbN
