entry_id,pretty_formula
mp-1534,YS
mp-1186055,Na
mp-112,Y
mp-10226,NaYS2
mp-648,Na2S
mp-1029605,Na2MnN2
mp-22003,NaN3
mp-9981,Mn2N
mp-505622,Mn4N
mp-35,Mn
mp-10419,Na4ReN3
mp-1186901,Re
mp-541291,Na3MoN3
mp-129,Mo
mp-1079585,Nb2N
mp-75,Nb
mp-2634,NbN
mp-1030657,NaNbN2
mp-983509,Na3Cd
mp-655,Na3As
mp-2532,PrTe
mp-1059256,Pr
mp-2784,Na2Te
mp-30794,Na15Sn4
mp-1363,Na2Au
mp-1186122,NaCd2Rh
mp-74,Rh
mp-2271,NaPt2
mp-682,NaF
mp-7956,Na3Sb
mp-1266,Na2Se
mp-11698,Tb
mp-22916,NaBr
mp-143,Tm
mp-145,Lu
mp-144,Ho
mp-99,Er
mp-905,LaF3
mp-26,La
mp-1220826,NaLaF4
mp-718,SnPd3
mp-1186074,Na3Pd
mp-1220866,NaSn2Pd3
mp-613989,Pu
mp-27838,Na3Bi
mp-542573,ThB4
mp-37,Th
mp-1756,ThB6
mp-1221215,Na3ThB24
mp-262,Na3B20
mp-50,Ta
mp-146,V
mp-1206794,LiAu
mp-11247,Li3Au
mp-567395,Li15Au4
mp-135,Li
mp-2402,NaSi
mp-29657,NaGe
mp-14407,Rb7NaGe8
mp-1186899,Rb
mp-44,U
mp-13,Fe
mp-21895,Na15Pb4
mp-21199,Na3(GePt)4
mp-542680,Na3In2Au
mp-31430,Na2In
mp-10740,Pa
mp-22862,NaCl
mp-2286,Li2Se
mp-28603,NaLiSe
mp-28614,NaBPt3
mp-505055,Na3B5Pt9
mp-541787,Na8Hg3
mp-30795,Na2Tl
mp-90,Cr
mp-950,NaZn13
mp-20622,SiPd3
mp-697068,SiPd2
mp-4276,NaSi2Pd3
mp-505071,Si2Pd9
mp-2074,Li3Sb
mp-5077,NaLi2Sb
mp-5339,CsNaTe
mp-1184151,Cs
mp-582067,Hf3As
mp-103,Hf
mp-1190267,Hf3As2
mp-542681,Na3In2Ag
mp-30352,NaAg2
mp-571095,Na7Ga13
mp-1240,HoS
mp-5694,NaHoS2
mp-567833,EuSn
mp-1213070,Eu2Sn
mp-1057315,Eu
mp-155,Gd
mp-23268,NaI
mp-8584,NaErSe2
mp-862942,NaPmAu2
mp-867200,Pm
mp-865090,NaAcTl2
mp-1183069,Ac
mp-1540,HoTl
mp-1181055,Ho5Tl3
mp-865097,NaHgPd2
mp-1103395,La2Au
mp-1002136,LaAu
mp-865098,NaLaAu2
mp-734,LaHg
mp-865099,NaLaHg2
mp-23222,Li3Bi
mp-865101,NaLi2Bi
mp-865108,NaSmHg2
mp-69,Sm
mp-2541,SmTl
mp-319,Sm2Tl
mp-11374,DyTl
mp-1181553,Dy5Tl3
mp-1184067,Dy
mp-11467,NdHg
mp-123,Nd
mp-1054,ErTl
mp-1105965,Er5Tl3
mp-999306,PrAu
mp-2714,Pr2Au
mp-2364,PaO2
mp-865120,NaPaO3
mp-2352,Na2O
mp-1533,Nd3Tl
mp-2816,Nd2Tl
mp-571405,NdTl
mp-865122,NaNdTl2
mp-2434,SrTl
mp-865128,NaSr2Tl
mp-76,Sr
mp-1185637,Mg149Sn
mp-865625,Na2MgSn
mp-1186271,NaMg149
mp-8658,CsNaSe
mp-1598,Na3P
mp-91,W
mp-656,LuS
mp-9035,NaLuS2
mp-1766,TmS
mp-9076,NaTmS2
mp-87,Be
mp-134,Al
mp-976072,NaAc2Pb
mp-861939,Ac3Sn
mp-976076,NaAc2Sn
mp-342,SmTe
mp-1476,ScS
mp-67,Sc
mp-999460,NaScS2
mp-814,DySe
mp-999488,NaDySe2
mp-510404,GdSe
mp-2470,DyS
mp-999490,NaDyS2
mp-30667,Sr8Ga7
mp-32635,Sr3P2
mp-182,SrGa2
mp-13275,NaSrP
mp-1827,SrGa4
mp-9775,NaSrAs
mp-15698,Sr5As3
mp-1188283,V8N
mp-1018027,VN
mp-1029711,NaVN2
mp-1623,ErS
mp-12671,Er2SO2
mp-679,Er2O3
mp-5586,NaErO2
mp-3613,NaErS2
mp-113,Tc
mp-573697,CsCl
mp-28,Ce
mp-201,Yb5Sb3
mp-1857,YbCd
mp-162,Yb
mp-1187653,YbCd3
mp-1217591,YbCd6
mp-614603,CsI
mp-571222,CsBr
mp-1188441,TiCu4
mp-30,Cu
mp-742,Ti2Cu
mp-2078,TiCu
mp-72,Ti
mp-2643,Ti3Cu4
mp-1106300,Nd3Ru
mp-1045,Nd2O3
mp-1103979,Nd5Ru2
mp-1102217,NdRu2
mp-33,Ru
mp-8128,NaNdO2
mp-13520,Na2ZnGe
mp-1753,ThAs
mp-643,ThO2
mp-1709,U2Ti
mp-1225049,K18Na46Tl31
mp-1202778,K3Cd16
mp-1184905,K
mp-2011,UP
mp-1597,UO2
mp-5327,Na4UO5
