material_id,pretty_formula,band_gap,density,e_above_hull,theoretical,icsd_ids
mp-2542,BeO,7.460,2.967,0.000,False,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-981,SrF2,6.753,4.134,0.000,False,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]"
mp-23193,KCl,5.044,1.904,0.000,False,"[240508, 240509, 240513, 240528, 240526, 162799, 240502, 240505, 240520, 240529, 22156, 52242, 53825, 240527, 240511, 240519, 187219, 18014, 240507, 240524, 240525, 154214, 28938, 240506, 240503, 240522, 240515, 240521, 240523, 240518, 240504, 240530, 44281, 240510, 240512, 165593, 240516, 53841]"
mp-573697,CsCl,4.849,3.175,0.000,False,"[52274, 61515]"
mp-23295,RbCl,4.839,2.672,0.000,False,"[18016, 22166, 53829, 61538, 162798, 23761, 44285, 53844]"
mp-567744,SrBr2,4.470,3.756,0.000,False,[15972]
mp-643,ThO2,4.440,9.884,0.000,False,"[28778, 647528, 647527, 61585, 246706, 105550, 647529, 647530, 647523, 77691, 647525, 61586, 77690, 601173, 647531, 236586, 647524, 53999, 28685]"
mp-571222,CsBr,4.258,3.485,0.000,False,[61516]
mp-22867,RbBr,4.193,3.164,0.000,False,"[44286, 53830, 18017, 22167, 53845]"
mp-2652,Y2O3,4.056,4.892,0.000,False,"[193377, 237970, 193375, 193376, 193374, 187274, 41936, 160890, 290965, 86814, 81861, 66242, 85355, 82420, 290963, 16394, 86817, 78581, 186675, 153500, 193042, 181871, 155173, 184530, 185295, 23811, 290961, 26190, 27772, 647653, 181825, 80033, 86815, 77081, 86813, 151761, 66730, 33648, 66243, 41267, 151760, 290960, 192862, 290964]"
mp-661,AlN,4.039,3.201,0.000,False,"[608626, 608627, 602460, 190420, 44107, 54697, 161881, 82790, 602459, 191772, 183638, 185441, 42001, 34475, 44106, 608624, 41480, 163953, 31169, 181362, 34236, 41482, 67767, 41542]"
mp-1427,Lu2O3,4.023,9.495,0.000,False,"[193361, 194467, 428543, 642475, 151762, 40471, 642477, 96211, 33659, 168341]"
mp-1767,Tm2O3,3.980,8.919,0.000,False,"[647578, 33657, 78582, 184541, 90669, 61270, 647581]"
mp-29909,Ba4I6O,3.979,4.813,0.000,False,[280584]
mp-679,Er2O3,3.964,8.654,0.000,False,"[39185, 55832, 39187, 53406, 39521, 94888, 180843, 96210, 33656, 184540, 39189, 630890, 630897, 186592, 39190, 39186, 39188, 27992, 27774]"
mp-812,Ho2O3,3.950,8.404,0.000,False,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]"
mp-2345,Dy2O3,3.925,8.144,0.000,False,"[630047, 82421, 630042, 61269, 248579, 184538, 185242, 248578, 185606, 96208, 27994, 180837, 41269, 66736]"
mp-1056,Tb2O3,3.901,7.837,0.000,False,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]"
mp-614603,CsI,3.857,3.555,0.000,False,[61517]
mp-22898,KI,3.851,2.972,0.000,False,"[53843, 44283, 52244, 22158, 53827]"
mp-218,Sm2O3,3.782,6.962,0.000,False,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]"
mp-22903,RbI,3.777,3.360,0.000,False,"[53831, 61536, 22168, 44287, 53846]"
mp-1045,Nd2O3,3.708,6.396,0.000,False,"[191535, 645662, 96204, 645664, 645657, 184534]"
mp-16705,Pr2O3,3.659,6.090,0.000,False,"[647301, 184533, 647290, 96203]"
mp-2605,CaO,3.630,3.287,0.000,False,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]"
mp-2292,La2O3,3.532,5.840,0.000,False,"[641600, 184531, 641602, 96201]"
mp-1216,YbO,3.473,11.723,0.000,False,"[77710, 151764]"
mp-23260,BaI2,3.443,4.899,0.000,False,"[24366, 15707]"
mp-18337,Be3N2,3.313,2.703,0.000,False,"[616348, 412667]"
mp-4511,La2SO2,3.080,5.700,0.000,False,"[31640, 31614, 260145, 154583, 14280]"
mp-23713,CaH2,3.008,1.959,0.000,False,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]"
mp-865934,YbF2,6.735,7.541,0.000,True,[]
