facet
"{'mp-131', 'mp-135', 'mp-2286'}"
"{'mp-135', 'mp-573471', 'mp-28'}"
"{'mp-135', 'mp-23703', 'mp-1197547'}"
"{'mp-135', 'mp-28', 'mp-2074'}"
"{'mp-135', 'mp-23222', 'mp-28'}"
"{'mp-135', 'mp-708', 'mp-26'}"
"{'mp-757', 'mp-135', 'mp-1018766'}"
"{'mp-135', 'mp-708', 'mp-1018766'}"
"{'mp-1077063', 'mp-135', 'mp-26'}"
"{'mp-1077063', 'mp-135', 'mp-1105962'}"
"{'mp-135', 'mp-1105962', 'mp-1018768'}"
"{'mp-135', 'mp-23222', 'mp-1018768'}"
"{'mp-135', 'mp-980757', 'mp-69'}"
"{'mp-135', 'mp-980757', 'mp-2074'}"
"{'mp-135', 'mp-23222', 'mp-112'}"
"{'mp-2251', 'mp-135', 'mp-33'}"
"{'mp-1188283', 'mp-146', 'mp-135'}"
"{'mp-1188283', 'mp-4604', 'mp-135'}"
"{'mp-2251', 'mp-135', 'mp-4604'}"
"{'mp-2251', 'mp-135', 'mp-2074'}"
"{'mp-2251', 'mp-135', 'mp-49'}"
"{'mp-135', 'mp-155', 'mp-23222'}"
"{'mp-135', 'mp-1078961', 'mp-11698'}"
"{'mp-135', 'mp-1078961', 'mp-1777'}"
"{'mp-135', 'mp-1138', 'mp-567395'}"
"{'mp-162', 'mp-135', 'mp-1095265'}"
"{'mp-135', 'mp-23222', 'mp-1095265'}"
"{'mp-135', 'mp-1057315', 'mp-1095425'}"
"{'mp-135', 'mp-1095425', 'mp-2074'}"
"{'mp-135', 'mp-864647', 'mp-103'}"
"{'mp-135', 'mp-1097065', 'mp-2828'}"
"{'mp-135', 'mp-2828', 'mp-1224388'}"
"{'mp-135', 'mp-864647', 'mp-1224388'}"
"{'mp-2251', 'mp-135', 'mp-1097065'}"
"{'mp-135', 'mp-1057315', 'mp-1095380'}"
"{'mp-135', 'mp-23222', 'mp-1095380'}"
"{'mp-975904', 'mp-135', 'mp-574275'}"
"{'mp-135', 'mp-1885', 'mp-279'}"
"{'mp-135', 'mp-11512', 'mp-1885'}"
"{'mp-135', 'mp-11512', 'mp-568404'}"
"{'mp-135', 'mp-1204352', 'mp-112'}"
"{'mp-135', 'mp-1204352', 'mp-11420'}"
"{'mp-135', 'mp-29210', 'mp-11420'}"
"{'mp-135', 'mp-1138', 'mp-976408'}"
"{'mp-1153', 'mp-135', 'mp-862658'}"
"{'mp-135', 'mp-510430', 'mp-23222'}"
"{'mp-135', 'mp-510430', 'mp-1646'}"
"{'mp-135', 'mp-510430', 'mp-574275'}"
"{'mp-975904', 'mp-135', 'mp-1646'}"
"{'mp-10740', 'mp-135', 'mp-1960'}"
"{'mp-135', 'mp-1183069', 'mp-574275'}"
"{'mp-135', 'mp-867227', 'mp-1777'}"
"{'mp-135', 'mp-567395', 'mp-981935'}"
"{'mp-135', 'mp-574275', 'mp-981935'}"
"{'mp-135', 'mp-19923', 'mp-568404'}"
"{'mp-135', 'mp-1185392', 'mp-155'}"
"{'mp-135', 'mp-1078585', 'mp-19923'}"
"{'mp-135', 'mp-1185392', 'mp-1078585'}"
"{'mp-135', 'mp-867200', 'mp-861947'}"
"{'mp-135', 'mp-983460', 'mp-29210'}"
"{'mp-135', 'mp-983460', 'mp-861947'}"
"{'mp-135', 'mp-867227', 'mp-1934'}"
"{'mp-135', 'mp-1185421', 'mp-23'}"
"{'mp-135', 'mp-867252', 'mp-1934'}"
"{'mp-135', 'mp-867252', 'mp-1185421'}"
"{'mp-135', 'mp-1934', 'mp-976408'}"
"{'mp-600561', 'mp-135', 'mp-2509'}"
"{'mp-135', 'mp-1107', 'mp-37'}"
"{'mp-12755', 'mp-135', 'mp-1107'}"
"{'mp-12755', 'mp-135', 'mp-1185462'}"
"{'mp-135', 'mp-1185462', 'mp-2509'}"
"{'mp-20084', 'mp-135', 'mp-600561'}"
"{'mp-20084', 'mp-135', 'mp-1742'}"
"{'mp-135', 'mp-1185609', 'mp-155'}"
"{'mp-135', 'mp-1185609', 'mp-1742'}"
"{'mp-135', 'mp-145', 'mp-573471'}"
"{'mp-135', 'mp-1190768', 'mp-69'}"
"{'mp-135', 'mp-1190768', 'mp-573471'}"
"{'mp-1191877', 'mp-155', 'mp-135'}"
"{'mp-1191877', 'mp-573471', 'mp-135'}"
"{'mp-135', 'mp-144', 'mp-30735'}"
"{'mp-135', 'mp-1192002', 'mp-573471'}"
"{'mp-135', 'mp-1192002', 'mp-30735'}"
"{'mp-135', 'mp-15820', 'mp-144'}"
"{'mp-135', 'mp-15820', 'mp-1777'}"
"{'mp-135', 'mp-1138', 'mp-37'}"
"{'mp-135', 'mp-1138', 'mp-573471'}"
"{'mp-135', 'mp-145', 'mp-1105989'}"
"{'mp-135', 'mp-1205878', 'mp-1777'}"
"{'mp-1205878', 'mp-1105989', 'mp-135'}"
"{'mp-135', 'mp-862658', 'mp-1777'}"
"{'mp-72', 'mp-135', 'mp-2286'}"
"{'mp-135', 'mp-113', 'mp-1960'}"
"{'mp-1191159', 'mp-1059256', 'mp-135'}"
"{'mp-1191159', 'mp-573471', 'mp-135'}"
"{'mp-135', 'mp-1960', 'mp-867227'}"
"{'mp-135', 'mp-2545', 'mp-1646'}"
"{'mp-162', 'mp-135', 'mp-1211433'}"
"{'mp-135', 'mp-1211433', 'mp-2545'}"
"{'mp-1188310', 'mp-143', 'mp-135'}"
"{'mp-1777', 'mp-1205941', 'mp-135'}"
"{'mp-1188310', 'mp-1205941', 'mp-135'}"
"{'mp-135', 'mp-29720', 'mp-862658'}"
"{'mp-1269', 'mp-135', 'mp-69'}"
"{'mp-1153', 'mp-135', 'mp-1269'}"
"{'mp-135', 'mp-44', 'mp-570935'}"
"{'mp-1153', 'mp-135', 'mp-23222'}"
"{'mp-975904', 'mp-135', 'mp-2074'}"
"{'mp-135', 'mp-976280', 'mp-99'}"
"{'mp-135', 'mp-7396', 'mp-981935'}"
"{'mp-135', 'mp-862658', 'mp-1222617'}"
"{'mp-135', 'mp-1934', 'mp-1222617'}"
"{'mp-135', 'mp-981935', 'mp-1646'}"
"{'mp-135', 'mp-29210', 'mp-981935'}"
"{'mp-135', 'mp-1197547', 'mp-1777'}"
"{'mp-757', 'mp-135', 'mp-981935'}"
"{'mp-135', 'mp-7396', 'mp-1197547'}"
