facet
"{'mp-10172', 'mp-1187739', 'mp-2652', 'mp-11820', 'mp-2538'}"
"{'mp-10172', 'mp-9972', 'mp-11820', 'mp-2652', 'mp-2538'}"
"{'mp-10172', 'mp-9905', 'mp-9972', 'mp-2652', 'mp-1067235'}"
"{'mp-10172', 'mp-9905', 'mp-9972', 'mp-2652', 'mp-11820'}"
"{'mp-10172', 'mp-2652', 'mp-1067235', 'mp-9972', 'mp-1619'}"
"{'mp-10172', 'mp-1477', 'mp-2652', 'mp-9972', 'mp-1619'}"
"{'mp-10172', 'mp-1477', 'mp-2652', 'mp-1619', 'mp-17612'}"
"{'mp-10172', 'mp-2652', 'mp-1067235', 'mp-1619', 'mp-17612'}"
"{'mp-10172', 'mp-9905', 'mp-2652', 'mp-1067235', 'mp-17612'}"
"{'mp-10172', 'mp-1342', 'mp-30980', 'mp-2352', 'mp-7500'}"
"{'mp-10172', 'mp-1342', 'mp-30980', 'mp-17612', 'mp-7500'}"
"{'mp-10172', 'mp-30980', 'mp-2652', 'mp-17612', 'mp-7500'}"
"{'mp-10172', 'mp-2402', 'mp-9972', 'mp-2652', 'mp-752573'}"
"{'mp-10172', 'mp-1477', 'mp-9972', 'mp-2652', 'mp-752573'}"
"{'mp-10172', 'mp-560889', 'mp-1477', 'mp-2652', 'mp-17612'}"
"{'mp-10172', 'mp-560889', 'mp-2652', 'mp-17612', 'mp-7500'}"
"{'mp-10172', 'mp-9905', 'mp-1019519', 'mp-2652', 'mp-11820'}"
"{'mp-10172', 'mp-3952', 'mp-30980', 'mp-2652', 'mp-17612'}"
"{'mp-10172', 'mp-1342', 'mp-3952', 'mp-30980', 'mp-17612'}"
"{'mp-10172', 'mp-1342', 'mp-3952', 'mp-1019519', 'mp-17612'}"
"{'mp-10172', 'mp-9905', 'mp-3952', 'mp-1019519', 'mp-17612'}"
"{'mp-10172', 'mp-9905', 'mp-3952', 'mp-2652', 'mp-17612'}"
"{'mp-10172', 'mp-9905', 'mp-3952', 'mp-1019519', 'mp-2652'}"
"{'mp-10172', 'mp-560889', 'mp-17891', 'mp-4533', 'mp-752573'}"
"{'mp-10172', 'mp-560889', 'mp-17891', 'mp-1477', 'mp-752573'}"
"{'mp-10172', 'mp-17891', 'mp-1477', 'mp-2652', 'mp-752573'}"
