material_id,pretty_formula,band_gap,density,e_above_hull,theoretical,icsd_ids,FullWindow
mp-1138,LiF,8.716,2.530,0.000,False,"[52234, 18012, 53839, 44879, 41409, 62361, 44272, 181799]",True
mp-18511,NdF3,7.669,6.338,0.000,False,[63049],True
mp-2542,BeO,7.460,2.967,0.000,False,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]",True
mp-2741,CaF2,7.115,3.090,0.000,False,"[53978, 76045, 181244, 52754, 60370, 60368, 28730, 44937, 82707, 246961, 655133, 60559, 44618, 60369, 40938, 41413, 181020, 656448, 60371]",True
mp-981,SrF2,6.753,4.134,0.000,False,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]",True
mp-1029,BaF2,6.623,4.695,0.000,False,"[236606, 41649, 64717, 53980, 181246, 236587, 64718, 183922]",True
mp-682,NaF,6.204,2.693,0.000,False,"[262837, 29128, 41410, 44276, 41438, 53840, 52238, 53821, 43611, 262838]",True
mp-27275,Li3BO3,5.147,2.092,0.000,False,[9105],True
mp-3536,MgAl2O4,5.111,3.465,0.000,False,"[24492, 39162, 24766, 39163, 162259, 182859, 167484, 290115, 39164, 79000, 31375, 185608, 31376, 26845, 56116, 31373, 26846, 52388, 201174, 161055, 86506, 39161, 657031, 40030, 172280, 655149, 157768, 22354]",True
mp-3637,YOF,4.954,5.056,0.000,False,"[184004, 30623, 14282]",True
mp-1960,Li2O,4.917,1.963,0.000,False,"[57411, 642216, 22402, 173193, 180569, 54368, 642219, 173206, 60431, 173180]",True
mp-9488,SmOF,4.693,7.048,0.000,False,[81948],True
mp-15960,Li5AlO4,4.662,2.184,0.000,False,[42697],True
mp-17612,Ba2SiO4,4.629,5.230,0.000,False,"[291355, 291359, 6246, 28476]",True
mp-3427,LiAlO2,4.590,2.530,0.000,False,"[430357, 430358, 430359, 430184, 23815, 30249]",True
