material_id,pretty_formula,band_gap,density,e_above_hull,theoretical,icsd_ids,FullWindow
mp-1138,LiF,8.716,2.530,0.000,False,"[52234, 18012, 53839, 44879, 41409, 62361, 44272, 181799]",True
mp-3700,LiYF4,7.827,3.808,0.000,False,"[27896, 96727, 73709, 39563]",True
mp-561430,LiLuF4,7.761,6.111,0.000,False,[152948],True
mp-11347,TbF3,7.751,7.164,0.000,False,"[167471, 167472, 167473, 200956, 167474]",True
mp-18511,NdF3,7.669,6.338,0.000,False,[63049],True
mp-2542,BeO,7.460,2.967,0.000,False,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]",True
mp-555932,RbEr3F10,7.282,6.591,0.000,False,[418211],True
mp-2741,CaF2,7.115,3.090,0.000,False,"[53978, 76045, 181244, 52754, 60370, 60368, 28730, 44937, 82707, 246961, 655133, 60559, 44618, 60369, 40938, 41413, 181020, 656448, 60371]",True
mp-3448,KMgF3,6.954,3.002,0.000,False,"[192409, 40477, 40476, 56096, 28949, 94089]",True
mp-981,SrF2,6.753,4.134,0.000,False,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]",True
mp-1029,BaF2,6.623,4.695,0.000,False,"[236606, 41649, 64717, 53980, 181246, 236587, 64718, 183922]",True
mp-31212,K2MgF4,6.410,2.727,0.000,False,[33519],True
mp-17673,Lu3O2F5,5.639,8.719,0.000,False,[80365],True
mp-560114,Er3O2F5,5.619,8.077,0.000,False,[415814],True
mp-568662,BaCl2,5.438,3.394,0.000,False,[2191],True
mp-1072193,ErOF,5.189,8.532,0.000,False,[184012],True
mp-27275,Li3BO3,5.147,2.092,0.000,False,[9105],True
mp-1072114,HoOF,5.100,8.377,0.000,False,[184011],True
mp-23193,KCl,5.044,1.904,0.000,False,"[240508, 240509, 240513, 240528, 240526, 162799, 240502, 240505, 240520, 240529, 22156, 52242, 53825, 240527, 240511, 240519, 187219, 18014, 240507, 240524, 240525, 154214, 28938, 240506, 240503, 240522, 240515, 240521, 240523, 240518, 240504, 240530, 44281, 240510, 240512, 165593, 240516, 53841]",True
mp-1072208,DyOF,5.032,8.141,0.000,False,[184010],True
mp-3637,YOF,4.954,5.056,0.000,False,"[184004, 30623, 14282]",True
mp-14093,TbOF,4.944,7.861,0.000,False,"[184008, 28890, 184009]",True
mp-1960,Li2O,4.917,1.963,0.000,False,"[57411, 642216, 22402, 173193, 180569, 54368, 642219, 173206, 60431, 173180]",True
mp-573697,CsCl,4.849,3.175,0.000,False,"[52274, 61515]",True
mp-23295,RbCl,4.839,2.672,0.000,False,"[18016, 22166, 53829, 61538, 162798, 23761, 44285, 53844]",True
mp-3575,Ca3(BO3)2,4.823,3.007,0.000,False,"[23664, 1894]",True
mp-9488,SmOF,4.693,7.048,0.000,False,[81948],True
mp-17612,Ba2SiO4,4.629,5.230,0.000,False,"[291355, 291359, 6246, 28476]",True
mp-9172,Li4TiO4,4.559,2.498,0.000,False,[75164],True
mp-5634,NdOF,4.531,6.514,0.000,False,"[95656, 95658, 95659, 184005, 95655, 95660, 95657]",True
mp-984,BN,4.482,1.956,0.000,False,"[240999, 24644, 168893, 240996, 186246, 168892, 167799, 35538, 162870, 168894, 183256]",True
mp-18510,Sr2SiO4,4.470,4.373,0.000,False,[36041],True
