material_id,pretty_formula
mp-1185557,Mg149Bi
mp-31286,K3Bi
mp-1184905,K
mp-1094122,Mg
mp-1029869,K15Mo7N19
mp-129,Mo
mp-827,KN3
mp-8700,K2Au3
mp-542374,KSn
mp-22898,KI
mp-8426,K2Se
mp-90,Cr
mp-11462,KHg
mp-23193,KCl
mp-1201270,KErF4
mp-1184115,Er
mp-1211695,K3ErF6
mp-463,KF
mp-17371,K2ErF5
mp-1202753,KTmF4
mp-1018122,Tm
mp-1211645,K3TmF6
mp-1211536,K2TmF5
mp-1212012,K10Tl7
mp-784,KZn13
mp-1187073,Sr
mp-1747,K2Te
mp-2,Pd
mp-14018,K3As
mp-101,Ir
mp-2364,PaO2
mp-10740,Pa
mp-1206970,KPaO3
mp-971,K2O
mp-91,W
mp-23251,KBr
mp-21526,KPb
mp-1211691,K2TbF5
mp-11698,Tb
mp-1212010,K2DyF5
mp-10658,Dy
mp-1211654,K3DyF6
mp-113,Tc
mp-24084,KH
mp-134,Al
mp-123,Nd
mp-14017,K3Sb
mp-13,Fe
mp-567332,Ce
mp-1223451,KCeF4
mp-1299,SiPt2
mp-126,Pt
mp-1223832,K(SiPt)4
mp-1217,KSi
mp-1223845,K(SiPd)4
mp-697068,SiPd2
mp-20622,SiPd3
mp-505071,Si2Pd9
mp-1079938,TlPd3
mp-1246385,K2MnN2
mp-9981,Mn2N
mp-505622,Mn4N
mp-35,Mn
mp-1202778,K3Cd16
mp-155,Gd
mp-582929,K8In11
mp-8,Re
mp-1185584,Mg149Cl
mp-1201758,KGe
mp-23,Ni
mp-568052,K2Ga3
mp-44,U
mp-74,Rh
mp-29484,K4HgAs2
mp-29584,K4BeAs2
mp-87,Be
mp-131,Zr
mp-75,Nb
mp-50,Ta
mp-34232,K(AsRh)2
mp-504498,K2CdPb
mp-571261,Pu
mp-1022,K2S
mp-54,Co
mp-30,Cu
mp-1185628,Mg149Sb
mp-7089,KMgSb
mp-569535,Ca2Bi
mp-132,Ca
mp-27145,Ca5Bi3
mp-773137,KCaBi
mp-2512,AsPd5
mp-2286,Li2Se
mp-1018134,Li
mp-8756,KLiSe
mp-12735,KAg2
mp-1007636,KLuS2
mp-145,Lu
mp-1079585,Nb2N
mp-2634,NbN
mp-1029504,KNbN2
mp-1080848,KVN2
mp-1018027,VN
mp-33090,V2N
mp-1188283,V8N
mp-146,V
mp-1087476,K2Mg5Sn3
mp-1185637,Mg149Sn
mp-11534,Np
mp-1184119,CuPd3
mp-1018029,CuPd
mp-580357,Cu3Pd
mp-1179656,Rb
mp-1971,HoCu
mp-1240,HoS
mp-10659,Ho
mp-30584,HoCu2
mp-15786,KHoS2
mp-30585,HoCu5
mp-72,Ti
mp-33,Ru
mp-1206920,K(PIr)2
mp-28424,K4P3
mp-2732,PRh2
mp-12098,K(PRh)2
mp-972364,Yb
mp-1211665,K3LuF6
mp-768368,K4I2O
mp-554146,K14In4O13
mp-28171,K3IO
mp-667326,K5InO4
mp-86,Sm
mp-18073,K7TaAs4
mp-30794,Na15Sn4
mp-10172,Na
mp-1211956,K2Na4ZnSn2
mp-26,La
mp-1195947,K23(Sn3Au4)3
mp-37,Th
