material_id,pretty_formula
mp-2538,Y5Si3
mp-2652,Y2O3
mp-1187739,Y
mp-9972,YSi
mp-9905,Ba2Si
mp-1067235,BaSi
mp-1619,Ba3Si4
mp-1477,BaSi2
mp-17612,Ba2SiO4
mp-1342,BaO
mp-3952,BaY2O4
mp-1001835,LiB
mp-1960,Li2O
mp-954,BaB6
mp-1018134,Li
mp-1222413,LiB3
mp-6499,BaLiBO3
mp-755417,Ba3(BO3)2
mp-27275,Li3BO3
mp-1095642,Eu2Ge
mp-21394,EuO
mp-1057315,Eu
mp-20712,EuGe
mp-1188934,Eu5Ge3
mp-784,KZn13
mp-1184905,K
mp-984,BN
mp-827,KN3
mp-736,Li3P
mp-28395,B6P
mp-3933,Mg2PN3
mp-1265,MgO
mp-1559,Mg3N2
mp-2514,Mg3P2
mp-129,Mo
mp-8,Re
mp-1623,ErS
mp-12671,Er2SO2
mp-1184115,Er
mp-679,Er2O3
mp-573697,CsCl
mp-1184151,Cs
mp-551835,Ba2I2O
mp-29909,Ba4I6O
mp-23260,BaI2
mp-865027,Mn3Ge
mp-35,Mn
mp-13,Fe
mp-23193,KCl
mp-67,Sc
mp-145,Lu
mp-23251,KBr
mp-614603,CsI
mp-571222,CsBr
mp-38,Pr
mp-567332,Ce
mp-10658,Dy
mp-23295,RbCl
mp-1179656,Rb
mp-30,Cu
mp-101,Ir
mp-23715,BaH2
mp-643047,Ba3(H6Ir)2
mp-74,Rh
mp-75,Nb
mp-569851,Ho10Si17
mp-12899,HoSi
mp-812,Ho2O3
mp-1072114,HoOF
mp-13236,Ho5Si3
mp-10659,Ho
mp-14093,TbOF
mp-1924,TbSi
mp-11347,TbF3
mp-1056,Tb2O3
mp-206,Tb5Si3
mp-11698,Tb
mp-1077398,TbSi2
mp-1753,ThAs
mp-643,ThO2
mp-37,Th
mp-1207669,TmOF
mp-1066975,TmSi
mp-1767,Tm2O3
mp-1189863,Tm5Si3
mp-1018122,Tm
mp-560114,Er3O2F5
mp-31167,Er5Si3
mp-378,ErSi
mp-1072193,ErOF
mp-216,Sc2O3
mp-1709,U2Ti
mp-72,Ti
mp-44,U
mp-569744,UAl2
mp-134,Al
mp-569304,C
mp-90,Cr
mp-146,V
mp-91,W
mp-1903,BaAl4
mp-555218,Ba4Br6O
mp-4202,BaAl2O4
mp-567701,Ba21Al40
mp-27456,BaBr2
mp-1079891,Ba2Br2O
mp-560978,Ba4Al2O7
mp-2631,Ba4Al5
mp-570400,Ba7Al10
mp-1199246,Ba5B3BrO9
mp-710,SmP
mp-218,Sm2O3
mp-86,Sm
mp-637224,Pu2O3
mp-24720,PuH2
mp-571261,Pu
mp-1959,PuO2
mp-1045,Nd2O3
mp-123,Nd
mp-674332,U17O31
mp-1865,UN
mp-1776,UN2
mp-32590,U4N7
mp-32742,U16N25
mp-1597,UO2
mp-1334,Y2C
mp-24650,YH2
mp-9459,Y4C5
mp-1200885,Y4C7
mp-1200613,Y3C4
mp-23063,Ba4Cl6O
mp-568662,BaCl2
mp-1201345,Ba5B3ClO9
mp-33,Ru
mp-54,Co
mp-1186974,Sc3Tl
mp-227,SmCu5
mp-1077154,SmCu2
mp-980769,SmCu
mp-1216,YbO
mp-2391,YbPd3
mp-1104397,Yb5Pd2
mp-972364,Yb
mp-2547,YbPd
mp-1105057,Yb3Pd4
mp-1138,LiF
mp-561430,LiLuF4
mp-1787,NdMg3
mp-1327,NdMg
mp-1025059,LaAg2
mp-1560,LaTe
mp-1948,LaAg
mp-26,La
mp-2825,ErPd3
mp-1104774,Er3Pd4
mp-12545,Er3Pd2
mp-851,ErPd
mp-567415,Nd2B5
mp-1632,NdB4
mp-1929,NdB6
mp-2384,LaP
mp-2292,La2O3
mp-1185642,Mg149Zn
mp-680671,Mg4Zn7
mp-1367,Mg2Si
mp-978269,MgZn2
mp-15698,Sr5As3
mp-1187073,Sr
mp-1934,LiZn
mp-1153,Li2S
mp-975799,LiZn3
mp-2661,SrSi
mp-1727,SrSi2
mp-1106,Sr2Si
mp-746,Sr5Si3
mp-1199934,Ti3As
mp-1201836,Ti5As3
mp-10047,Ca5As3
mp-1563,CaSi
mp-2517,Ca2Si
mp-132,Ca
mp-793,Ca5Si3
mp-2700,CaSi2
mp-1345,CaP
mp-1214132,Ca4SiP4
mp-542573,ThB4
mp-1756,ThB6
mp-11649,Ca3SiO
mp-23713,CaH2
mp-2605,CaO
mp-20211,Mn3Si
mp-680339,Mn4Si7
mp-4481,Ca2SiO4
mp-1431,MnSi
mp-2741,CaF2
mp-5473,CaMgSi
mp-1184449,CaMg149
mp-2432,CaMg2
mp-1039148,CaMg
mp-1079146,Th3Si2
mp-21238,ThSi
mp-1217,KSi
mp-7497,ThSi2
mp-504812,Hf3P
mp-352,HfO2
mp-103,Hf
mp-20672,Hf3P2
mp-9953,HfP
mp-504659,Hf2P
mp-1211649,K4HfO4
mp-557753,K3PO4
mp-974482,K4Hf5O12
mp-1201301,K2Hf2O5
mp-87,Be
mp-1145,TiB2
mp-1077503,TiSi2
mp-3397,Ba2TiO4
mp-505527,Ti5Si4
mp-2108,Ti5Si3
mp-7092,TiSi
mp-1071163,TiO
mp-1215,Ti2O
mp-1025170,Ti3B4
mp-11750,Ti6Si2B
mp-554098,Ti6O
mp-7857,TiB
mp-2591,Ti3O
mp-30666,Sc3Ga2
mp-11411,ScGa
mp-1200767,Sc3Ga5
mp-932,ScGa3
mp-1102043,LaOs2
mp-49,Os
mp-11247,Li3Au
mp-567395,Li15Au4
mp-10961,La5Si3
mp-567258,LaZn2
mp-7083,LaSi
mp-12724,SrZn
mp-2615,LaZn
mp-569426,SrZn2
mp-9556,SrZnSi
mp-30949,Sr3SiO
mp-2472,SrO
mp-861620,LaZn4
mp-18510,Sr2SiO4
mp-2062,LaSi2
mp-30709,La2Zn17
mp-18026,SrZn11
mp-672707,SrZn13
mp-1200584,La3Zn22
mp-571191,LaZn11
mp-1218375,Sr2Zn5Si3
mp-1435,SrZn5
mp-1218249,SrLa4Si3O13
mp-14208,LiYSi
mp-1223129,Li4SiO4
mp-7020,LiYO2
mp-1201871,Li7Si3
mp-29720,Li21Si5
mp-1314,Li12Si7
mp-672287,Li13Si4
mp-2011,UP
mp-1199056,RbGe
mp-27757,Be4B
mp-2542,BeO
mp-11854,Er5Ge3
mp-1203572,Er11Ge10
mp-1711,Er3Ge4
mp-1198083,Gd5Ge4
mp-504886,Gd2O3
mp-155,Gd
mp-19918,GdGe
mp-21256,Mn7C3
mp-1849,Mn2P
mp-542830,Mn23C6
mp-1427,Lu2O3
mp-10688,CeO
mp-2154,CeP
mp-542313,Ce2O3
mp-2629,Ce7O12
mp-50,Ta
mp-1216441,Zr14Cu51
mp-193,Zr2Cu
mp-131,Zr
mp-1188077,Zr7Cu10
mp-1224756,Hf14Cu51
mp-30581,Hf2Cu
mp-1200988,Hf7Cu10
mp-7353,Hf3Cu8
mp-1472,ZrB2
mp-1515,ZrSi2
mp-893,ZrSi
mp-1215377,Zr4O
mp-1278,Zr2Si
mp-22447,Zr3P
mp-561418,Zr3O
mp-647729,Zr14P9
mp-11345,ZrP
mp-583740,Zr7P4
mp-1207024,Zr3Si2
mp-1185594,Mg149In
mp-1213975,CaB4
mp-865,CaB6
mp-3575,Ca3(BO3)2
mp-11908,Lu5Si3
mp-1001612,LuSi
mp-1096,CeS
mp-3972,Ce2SO2
mp-1106300,Nd3Ru
mp-1103979,Nd5Ru2
mp-1102217,NdRu2
mp-1103990,EuC6
mp-504731,EuF2
mp-778,Fe2P
mp-7822,Sc5Si3
mp-9969,ScSi
mp-619,UB4
mp-1514,UB2
mp-22319,UB12
mp-1221,V3Ge
mp-1104,LaMg
mp-1094174,LaMg3
mp-23703,LiH
mp-973391,LiSiB6
mp-8298,Sr4P2O
mp-32635,Sr3P2
mp-1109,Sr5Al9
mp-981,SrF2
mp-3393,Sr3Al2O6
mp-2775,SrAl4
mp-3094,SrAl2O4
mp-13972,Sm2SeO2
mp-1447,SmSe
mp-5380,Ca4P2O
mp-18350,V3P
mp-684675,V12P7
mp-20541,V2P
mp-1203324,Zr3Ge
mp-17706,Zr5Ge3
mp-1200749,Zr5Ge4
mp-1025513,ZrGe
mp-1269,SmS
mp-2748,CeAs
mp-1894,WC
mp-2599,NdN
mp-2593,AlNi3
mp-23,Ni
mp-16514,Al3Ni5
mp-1487,AlNi
mp-622209,Al3Ni
mp-1057,Al3Ni2
mp-16515,Al4Ni3
mp-510557,CsN3
mp-28366,Gd2B5
mp-1105563,GdB4
mp-22266,GdB6
mp-567833,EuSn
mp-1213070,Eu2Sn
mp-510430,Li13In3
mp-31324,Li2In
mp-21293,Li3In2
mp-867226,Li3In
mp-1158,LuPd3
mp-1103963,Lu3Pd4
mp-2205,LuPd
mp-2686,Ca2N
mp-1009657,CaN2
mp-1001,BaN2
